Trial Number,TrialTypeN1S2,Nvalue,Svalue,KeyPressZsmallMgreater,ReactionTime,Accuracy
1,1,7,90,0,14.8577,1
2,1,21,75,1,0.78785,1
3,1,7,75,0,0.47399,1
4,1,15,25,1,1.9083,1
5,1,10,35,0,1.2663,1
6,1,15,65,1,1.3337,1
7,2,7,90,0,1.348,0
8,2,21,75,1,0.86027,1
9,1,18,35,1,0.85175,1
10,2,7,75,0,1.0302,0
11,2,15,25,1,0.67602,0
12,2,10,35,0,1.0371,1
13,1,10,18,0,0.83951,1
14,2,15,65,0,1.1662,0
15,2,18,35,1,0.64096,0
16,2,10,18,0,0.58856,1
17,2,15,75,1,1.3344,1
18,1,15,75,0,1.1189,0
19,1,10,75,0,0.74518,1
20,1,21,18,1,1.0175,1
21,2,10,75,0,0.74888,0
22,2,21,18,1,1.3096,0
23,2,21,90,1,0.77673,1
24,1,21,90,1,0.63462,1
25,2,7,18,0,0.82521,1
26,2,7,65,0,1.0516,0
27,2,15,35,0,1.3915,1
28,1,7,18,0,1.485,1
29,2,18,75,1,13.3197,1
30,1,7,65,0,4.9117,1
31,2,21,25,0,1.6027,1
32,2,18,25,0,2.332,1
33,2,10,65,0,2.0831,0
34,2,4,35,0,1.8764,1
35,1,15,35,1,1.253,1
36,1,18,75,1,1.3274,1
37,2,4,18,0,1.5762,1
38,1,21,25,1,2.2547,1
39,2,10,25,0,3.8249,1
40,1,18,25,1,1.3488,1
41,2,10,90,1,1.1152,1
42,1,10,65,0,1.7317,1
43,2,7,35,0,3.3418,1
44,1,4,35,1,1.5305,0
45,2,4,65,0,0.88847,0
46,2,15,90,1,0.96709,1
47,2,7,25,0,0.72697,1
48,2,4,75,0,0.76321,0
49,1,4,18,0,0.74108,1
50,2,18,18,1,1.5416,0
51,1,10,25,0,2.9066,1
52,2,21,65,1,1.88,1
53,2,4,90,0,1.5097,0
54,1,10,90,0,1.6457,1
55,1,7,35,0,1.9016,1
56,1,4,65,0,2.7086,1
57,1,15,90,0,1.2308,0
58,1,7,25,0,0.80006,1
59,1,4,75,0,0.61702,1
60,2,21,35,0,1.4421,1
61,1,18,18,1,1.3461,1
62,2,18,65,1,1.068,1
63,1,21,65,1,1.225,1
64,2,18,90,1,1.0103,1
65,2,15,18,0,0.80251,1
66,2,4,25,0,0.74847,1
67,1,4,90,0,2.0337,1
68,1,21,35,1,1.7796,1
69,1,18,65,1,1.0978,1
70,1,18,90,1,1.0941,1
71,1,15,18,1,0.76958,1
72,1,4,25,0,0.8561,1
