Trial Number,TrialTypeN1S2,Nvalue,Svalue,KeyPressZsmallMgreater,ReactionTime,Accuracy
1,1,15,35,1,3.4253,1
2,1,7,18,0,1.4705,1
3,1,10,90,0,4.0655,1
4,2,15,35,0,2.8806,1
5,1,4,90,0,2.6133,1
6,1,18,18,1,2.853,1
7,2,7,18,0,2.0715,1
8,1,4,35,0,2.3426,1
9,1,18,75,1,8.6214,1
10,2,10,90,1,2.0884,1
11,1,18,90,1,3.3144,1
12,1,18,35,1,2.35,1
13,1,15,18,0,6.8677,0
14,2,4,90,1,3.0226,1
15,2,18,18,0,2.2498,1
16,2,4,35,1,3.5061,0
17,2,18,75,1,4.376,1
18,1,15,65,0,1.8905,0
19,1,4,18,0,4.825,1
20,2,18,90,1,1.8799,1
21,1,4,25,0,2.6266,1
22,2,18,35,0,5.4025,1
23,2,15,18,0,1.4847,1
24,1,21,25,1,1.6102,1
25,2,15,65,0,2.445,0
26,1,7,75,0,1.3293,1
27,1,4,75,0,0.70912,1
28,1,10,25,0,0.9139,1
29,1,15,90,0,1.1236,0
30,1,10,35,0,0.79794,1
31,1,7,65,0,1.7804,1
32,1,21,75,1,0.80568,1
33,2,4,18,0,0.82354,1
34,1,7,35,0,1.2876,1
35,2,4,25,0,0.55222,1
36,2,21,25,0,1.6137,1
37,1,7,25,0,1.6157,1
38,1,7,90,0,1.7087,1
39,1,21,18,1,2.3763,1
40,2,7,75,1,2.3003,1
41,1,10,65,0,1.5964,1
42,1,10,18,0,1.8802,1
43,1,21,35,1,7.4611,1
44,2,4,75,0,1.7109,0
45,2,10,25,0,2.3906,1
46,2,15,90,1,1.5532,1
47,2,10,35,0,1.6452,1
48,2,7,65,0,1.936,0
49,2,21,75,1,1.899,1
50,2,7,35,0,1.5077,1
51,2,7,25,0,3.7447,1
52,1,4,65,0,1.7329,1
53,2,7,90,1,1.3431,1
54,2,21,18,0,2.1922,1
55,1,21,90,1,1.1056,1
56,2,10,65,0,1.1419,0
57,2,10,18,0,0.8047,1
58,1,10,75,0,4.1173,1
59,1,21,65,1,4.0362,1
60,1,15,25,0,8.0463,0
61,1,18,65,0,7.8222,0
62,1,15,75,0,4.1393,0
63,2,21,35,1,1.2926,0
64,2,4,65,0,1.687,0
65,2,21,90,1,2.0478,1
66,2,10,75,1,3.9661,1
67,2,21,65,1,3.804,1
68,2,15,25,0,1.2401,1
69,2,18,65,0,2.0469,0
70,1,18,25,1,2.4381,1
71,2,15,75,1,2.908,1
72,2,18,25,1,4.4973,0
