Trial Number,TrialTypeN1S2,Nvalue,Svalue,KeyPressZ0lessm1greater,ReactionTime,Accuracy
1,1,10,25,0,2.9222,1
2,2,10,25,0,3.1841,1
3,2,7,90,1,1.5815,1
4,2,21,90,1,1.7045,1
5,1,7,90,0,1.6363,1
6,2,4,75,1,2.1197,1
7,2,10,90,1,1.2096,1
8,1,21,90,1,3.0107,1
9,1,4,75,0,2.1882,1
10,1,10,90,0,3.3026,1
11,1,18,25,1,2.8704,1
12,2,18,25,0,2.3767,1
13,1,4,35,0,1.5405,1
14,1,7,75,0,1.1823,1
15,1,15,18,1,1.817,1
16,1,21,35,1,1.3375,1
17,1,15,90,1,1.4233,1
18,2,4,35,0,1.6068,1
19,2,7,75,1,1.3836,1
20,2,15,18,1,2.3448,0
21,1,18,35,1,3.9928,1
22,2,21,35,0,2.2785,1
23,2,15,90,1,1.299,1
24,1,15,35,1,2.7153,1
25,2,18,35,0,2.117,1
26,1,21,18,1,0.91352,1
27,2,15,35,1,1.6717,0
28,2,21,18,0,2.4242,1
29,2,21,65,1,1.4337,1
30,2,10,65,1,1.5113,1
31,2,10,18,0,3.0372,1
32,1,21,65,1,1.3475,1
33,2,7,35,0,1.9758,1
34,2,18,65,1,2.0799,1
35,1,10,65,1,2.0422,0
36,2,4,25,0,1.2968,1
37,1,10,18,1,1.8569,0
38,2,7,65,1,2.2352,1
39,1,7,35,0,3.1701,1
40,1,18,65,1,1.4661,1
41,2,15,65,1,0.84123,1
42,1,4,25,0,1.6312,1
43,2,4,90,1,0.92537,1
44,2,4,18,0,1.6285,1
45,1,7,65,0,2.6681,1
46,1,15,65,1,2.1284,1
47,1,4,90,0,1.1926,1
48,2,15,25,1,1.3501,0
49,2,18,90,1,2.8367,1
50,2,18,75,1,1.4136,1
51,1,4,18,0,0.87598,1
52,1,15,25,1,1.2046,1
53,2,10,35,0,4.1332,1
54,2,7,25,0,3.5916,1
55,1,18,90,1,4.4687,1
56,1,18,75,1,1.4632,1
57,2,10,75,1,1.0125,1
58,1,10,35,1,2.0963,0
59,2,7,18,1,1.2621,0
60,1,7,25,0,2.5254,1
61,1,10,75,1,2.6324,0
62,1,7,18,0,1.3841,1
63,1,21,25,1,1.2401,1
64,1,15,75,1,0.79828,1
65,2,21,25,0,2.7774,1
66,1,18,18,1,1.037,1
67,2,15,75,1,1.1359,1
68,2,18,18,0,2.2381,1
69,1,21,75,1,1.1203,1
70,2,21,75,1,1.3207,1
71,1,4,65,0,1.2627,1
72,2,4,65,1,0.93363,1
