Trial Number,TrialTypeN1S2,Nvalue,Svalue,KeyPressZsmallMgreater,ReactionTime,Accuracy
1,1,10,90,0,9.3648,1
2,1,15,65,1,3.6899,1
3,2,10,90,0,3.3302,0
4,1,10,18,0,6.6538,1
5,1,4,75,0,1.2552,1
6,2,15,65,1,5.4057,1
7,1,18,25,1,3.7137,1
8,1,21,75,1,3.468,1
9,2,10,18,0,4.6404,1
10,2,4,75,0,1.2022,0
11,1,7,25,0,1.7139,1
12,1,18,18,1,3.943,1
13,1,15,90,1,3.9922,1
14,2,18,25,1,2.9908,0
15,1,21,18,1,0.69606,1
16,1,21,90,1,2.0216,1
17,2,21,75,1,0.77561,1
18,2,7,25,0,2.0112,1
19,1,4,18,0,1.2285,1
20,2,18,18,1,1.134,0
21,2,15,90,1,5.1675,1
22,2,21,18,1,1.146,0
23,2,21,90,1,1.0964,1
24,1,10,75,0,3.7421,1
25,1,21,65,1,2.3208,1
26,1,15,35,1,3.3688,1
27,1,10,35,0,3.2473,1
28,2,4,18,0,0.65417,1
29,2,10,75,0,2.4159,0
30,1,4,25,0,0.64226,1
31,2,21,65,1,1.0352,1
32,2,15,35,1,3.0409,0
33,2,10,35,0,2.5829,1
34,2,4,25,0,0.53113,1
35,2,21,25,1,2.58,0
36,1,21,25,1,0.78402,1
37,1,18,75,0,2.5151,0
38,1,21,35,1,0.67197,1
39,1,7,90,1,1.3584,0
40,1,10,65,0,3.2224,1
41,1,7,65,0,1.7526,1
42,2,18,75,1,2.7387,1
43,1,7,18,0,1.1994,1
44,2,21,35,0,2.3238,1
45,2,7,90,1,1.4902,1
46,2,10,65,1,1.3262,1
47,2,7,65,1,1.9432,1
48,1,15,75,1,3.5003,1
49,2,7,18,0,1.9559,1
50,1,4,35,0,1.5297,1
51,2,15,75,1,1.0116,1
52,2,4,35,0,1.2858,1
53,2,18,90,1,0.90771,1
54,2,7,75,1,0.9565,1
55,1,18,90,1,1.1421,1
56,2,4,65,1,0.98969,1
57,2,10,25,0,0.91806,1
58,2,7,35,0,0.98894,1
59,2,18,65,1,0.83504,1
60,2,15,18,0,0.69366,1
61,2,15,25,0,0.77503,1
62,1,7,75,0,1.0017,1
63,1,4,65,0,1.2471,1
64,1,10,25,0,3.3858,1
65,1,7,35,0,0.78754,1
66,1,18,65,0,0.88819,0
67,2,4,90,1,1.032,1
68,1,15,18,1,1.3367,1
69,1,15,25,1,0.9053,1
70,2,18,35,0,2.2492,1
71,1,4,90,0,1.8883,1
72,1,18,35,1,0.81459,1
