Trial Number,TrialTypeN1S2,Nvalue,Svalue,KeyPressZsmallMgreater,ReactionTime,Accuracy
1,1,10,90,0,4.3345,1
2,1,10,18,0,3.0765,1
3,1,4,65,0,1.2521,1
4,2,10,90,1,1.4796,1
5,2,10,18,1,2.7616,0
6,1,10,65,0,2.8327,1
7,2,4,65,0,1.7264,0
8,1,7,25,0,2.4792,1
9,1,18,35,1,1.7779,1
10,2,10,65,1,1.2779,1
11,1,10,75,0,2.1599,1
12,2,7,25,0,1.6891,1
13,2,18,35,1,1.4728,0
14,2,10,75,1,0.98587,1
15,2,7,65,1,2.3071,1
16,1,7,65,0,1.3864,1
17,2,10,35,0,1.717,1
18,2,4,18,0,1.7234,1
19,2,7,35,0,1.424,1
20,1,10,35,0,2.4487,1
21,2,18,18,1,2.0936,0
22,2,15,18,0,1.4035,1
23,2,15,25,0,3.619,1
24,2,21,65,1,0.84296,1
25,1,4,18,0,1.2759,1
26,1,7,35,0,1.0573,1
27,1,18,18,1,1.4061,1
28,1,15,18,1,0.91127,1
29,2,18,75,1,1.0603,1
30,2,10,25,0,2.4857,1
31,2,4,75,1,2.534,1
32,2,7,75,1,1.0303,1
33,1,15,25,1,1.3205,1
34,1,21,65,1,1.3646,1
35,1,18,75,1,0.65763,1
36,1,10,25,0,1.5602,1
37,1,4,75,0,0.9172,1
38,2,15,35,1,1.3172,0
39,2,21,25,1,1.9273,0
40,2,15,65,1,0.88308,1
41,1,7,75,0,1.2615,1
42,2,21,75,1,0.82324,1
43,1,15,35,1,2.2256,1
44,2,4,90,1,1.6143,1
45,1,21,25,1,1.3713,1
46,1,15,65,1,0.93381,1
47,1,21,75,1,1.5135,1
48,2,18,25,1,1.9256,0
49,1,4,90,0,1.5395,1
50,2,4,35,0,1.633,1
51,1,18,25,1,1.1152,1
52,2,15,90,1,0.81198,1
53,2,15,75,1,1.1672,1
54,1,4,35,0,1.0125,1
55,2,7,18,0,2.4504,1
56,2,7,90,1,1.7046,1
57,2,21,18,0,1.8045,1
58,2,21,35,1,1.2265,0
59,1,15,90,1,1.7309,1
60,2,21,90,1,0.8936,1
61,1,15,75,1,1.3871,1
62,1,7,18,0,0.71822,1
63,2,4,25,0,1.8491,1
64,1,7,90,0,1.2782,1
65,1,21,18,1,0.93438,1
66,2,18,65,1,0.81738,1
67,1,21,35,1,1.2984,1
68,2,18,90,1,1.0045,1
69,1,21,90,1,1.0592,1
70,1,4,25,0,1.0312,1
71,1,18,65,1,0.88841,1
72,1,18,90,1,0.84925,1
