Trial Number,TrialTypeN1S2,Nvalue,Svalue,KeyPressZsmallMgreater,ReactionTime,Accuracy
1,1,4,25,0,3.9051,1
2,1,4,18,0,2.0672,1
3,1,18,35,1,2.168,1
4,1,21,75,1,1.5532,1
5,1,7,65,0,1.3465,1
6,2,4,25,0,1.2537,1
7,1,18,75,1,0.79718,1
8,2,4,18,0,0.91758,1
9,2,18,35,1,2.6832,0
10,2,21,75,1,0.94818,1
11,2,7,65,1,0.88686,1
12,1,21,35,1,1.2152,1
13,2,18,75,1,0.71383,1
14,2,21,35,0,2.7817,1
15,1,10,90,1,0.66011,0
16,1,7,90,0,2.8379,1
17,2,10,90,1,1.377,1
18,2,7,90,1,0.67046,1
19,2,18,18,1,1.1677,0
20,2,15,75,1,1.1172,1
21,2,7,18,0,1.4067,1
22,1,18,18,1,1.898,1
23,1,15,75,1,1.0387,1
24,1,7,18,0,0.80322,1
25,2,7,75,1,0.75501,1
26,2,15,65,1,0.69016,1
27,2,4,90,0,1.583,0
28,2,21,18,0,2.861,1
29,1,7,75,0,1.4846,1
30,1,15,65,1,1.1486,1
31,1,4,90,0,2.0169,1
32,1,21,18,1,2.8082,1
33,2,15,90,1,1.314,1
34,2,10,35,0,2.921,1
35,1,15,90,1,1.3109,1
36,1,10,35,0,2.8889,1
37,1,21,90,1,0.95552,1
38,2,21,90,1,0.63278,1
39,1,4,35,0,0.7921,1
40,2,4,35,0,0.66498,1
41,1,15,18,1,1.0721,1
42,2,15,18,0,1.6254,1
43,1,4,65,0,1.5049,1
44,2,4,65,1,0.93811,1
45,1,21,65,1,1.9295,1
46,1,4,75,0,1.7812,1
47,2,21,65,1,2.2238,1
48,1,21,25,1,1.012,1
49,1,15,35,1,0.94093,1
50,1,18,25,1,0.49463,1
51,2,4,75,1,1.1118,1
52,1,18,65,1,0.93154,1
53,2,21,25,1,1.4552,0
54,2,15,35,1,1.1859,0
55,1,10,65,1,1.7181,0
56,1,7,25,0,0.7649,1
57,2,18,25,1,1.2346,0
58,2,18,65,1,1.3384,1
59,2,10,65,1,1.1586,1
60,2,7,25,0,0.71589,1
61,2,7,35,0,0.88681,1
62,1,7,35,0,1.0374,1
63,1,10,75,1,2.5342,0
64,2,10,75,1,1.3166,1
65,2,10,25,0,2.1789,1
66,1,10,25,0,1.1424,1
67,1,15,25,1,1.8029,1
68,1,18,90,1,1.7294,1
69,2,15,25,0,1.9698,1
70,1,10,18,0,1.8872,1
71,2,18,90,1,1.1919,1
72,2,10,18,0,1.628,1
