Trial Number,TrialTypeN1S2,Nvalue,Svalue,KeyPressZsmallMgreater,ReactionTime,Accuracy
1,1,10,18,0,3.7467,1
2,1,15,25,0,2.475,0
3,1,10,90,1,0.89636,0
4,2,10,18,0,0.70442,1
5,1,4,18,0,0.50279,1
6,2,15,25,0,0.71561,1
7,2,10,90,1,0.48361,1
8,1,21,35,0,0.69517,0
9,2,4,18,0,0.86389,1
10,1,15,75,1,2.8234,1
11,2,21,35,0,3.0093,1
12,2,15,75,1,1.762,1
13,2,15,90,1,0.80101,1
14,1,15,90,0,0.57658,0
15,2,21,65,0,0.63981,0
16,2,10,25,0,1.6834,1
17,1,21,65,1,1.4964,1
18,2,4,75,1,2.7726,1
19,2,15,18,0,1.5181,1
20,1,10,25,0,0.71092,1
21,1,4,75,0,1.0129,1
22,1,15,18,1,2.1937,1
23,2,4,25,0,1.8991,1
24,1,4,25,0,1.5758,1
25,1,18,90,1,0.81607,1
26,1,21,75,1,0.72037,1
27,1,15,35,0,1.5852,0
28,2,18,90,1,0.86646,1
29,2,21,75,1,1.171,1
30,2,15,35,1,4.6632,0
31,2,18,25,0,2.3499,1
32,2,21,90,1,0.97303,1
33,1,18,25,1,0.88674,1
34,2,15,65,1,1.4267,1
35,1,21,90,1,0.78683,1
36,1,15,65,0,0.76579,0
37,1,4,35,0,0.70018,1
38,2,4,35,0,1.8846,1
39,1,18,18,1,0.94088,1
40,1,7,75,0,1.6093,1
41,2,18,18,1,0.8245,0
42,2,7,75,0,0.7378,0
43,1,21,18,1,0.66791,1
44,2,21,18,0,1.0471,1
45,2,4,65,0,0.97652,0
46,2,10,65,1,0.46186,1
47,2,18,65,1,0.82627,1
48,2,21,25,0,2.2837,1
49,2,18,35,1,0.8731,0
50,1,4,65,1,0.55546,0
51,1,10,65,0,2.2546,1
52,2,7,90,1,1.2404,1
53,2,7,18,0,0.6965,1
54,2,7,25,0,1.9198,1
55,1,18,65,1,0.78553,1
56,1,21,25,1,1.569,1
57,2,10,35,0,1.226,1
58,1,18,35,1,3.6678,1
59,1,7,90,0,2.7651,1
60,1,7,18,0,2.2187,1
61,1,7,25,0,0.68074,1
62,2,18,75,1,2.2306,1
63,2,7,65,0,3.2103,0
64,1,10,35,0,2.3251,1
65,2,4,90,1,1.4078,1
66,1,18,75,1,1.1595,1
67,2,7,35,0,1.7157,1
68,2,10,75,1,2.2928,1
69,1,7,65,0,1.3947,1
70,1,4,90,0,1.2301,1
71,1,7,35,0,1.1184,1
72,1,10,75,1,2.6962,0
