Trial Number,TrialTypeN1S2,Nvalue,Svalue,KeyPressZ0lessm1greater,ReactionTime,Accuracy
1,2,21,25,0,1.0076,1
2,1,21,25,1,0.89738,1
3,2,15,18,0,1.0698,1
4,1,15,18,1,0.7622,1
5,2,7,18,0,1.1401,1
6,2,15,65,1,0.94459,1
7,2,15,35,1,1.2876,0
8,2,4,90,0,1.4496,0
9,1,7,18,0,1.2926,1
10,1,15,65,1,1.142,1
11,2,7,75,1,1.7025,1
12,1,15,35,1,1.2977,1
13,2,18,18,0,1.0161,1
14,2,10,25,0,1.2717,1
15,1,4,90,0,1.2555,1
16,1,7,75,0,0.93066,1
17,1,18,18,1,0.73359,1
18,1,10,25,0,0.8646,1
19,1,21,18,1,0.57233,1
20,2,21,18,0,1.3111,1
21,2,18,90,1,0.81839,1
22,2,7,35,1,1.9134,0
23,2,4,35,0,0.9749,1
24,2,18,35,0,0.85934,1
25,2,4,18,0,0.91449,1
26,1,18,90,1,0.82959,1
27,2,21,35,1,1.9773,0
28,2,10,18,0,0.84332,1
29,2,21,75,1,1.0736,1
30,2,18,65,1,0.60179,1
31,2,7,65,0,1.5058,0
32,1,7,35,0,0.87854,1
33,2,21,65,1,0.90756,1
34,2,4,25,0,1.0163,1
35,2,15,75,1,0.92861,1
36,2,4,75,1,1.0928,1
37,1,4,35,0,0.65454,1
38,1,18,35,1,0.67625,1
39,2,15,25,0,1.0286,1
40,1,4,18,0,0.74708,1
41,2,4,65,0,1.0452,0
42,2,10,90,1,0.95326,1
43,1,21,35,1,0.93235,1
44,1,10,18,1,1.0533,0
45,1,21,75,1,0.67395,1
46,2,10,65,0,0.93907,0
47,1,18,65,1,0.65194,1
48,1,7,65,0,1.3295,1
49,2,15,90,1,0.83064,1
50,1,21,65,1,0.82888,1
51,2,21,90,1,1.4372,1
52,1,4,25,0,0.83696,1
53,1,15,75,0,0.7458,0
54,1,4,75,0,1.0703,1
55,2,18,25,0,1.3854,1
56,1,15,25,1,1.039,1
57,2,10,35,0,0.71333,1
58,1,4,65,0,0.71909,1
59,1,10,90,0,1.009,1
60,2,7,90,1,1.0788,1
61,1,10,65,1,1.2142,0
62,2,7,25,0,1.7267,1
63,1,15,90,1,0.68536,1
64,1,21,90,1,0.85883,1
65,1,18,25,1,0.47494,1
66,2,18,75,1,0.97672,1
67,1,10,35,0,0.77036,1
68,1,7,90,0,1.5141,1
69,2,10,75,1,1.483,1
70,1,7,25,0,0.69035,1
71,1,18,75,1,0.73463,1
72,1,10,75,1,0.5099,0
