Trial Number,TrialTypeN1S2,Nvalue,Svalue,KeyPressZsmallMgreater,ReactionTime,Accuracy
1,1,21,25,0,5.9468,0
2,1,7,18,0,5.0004,1
3,2,21,25,0,3.2301,1
4,1,18,75,0,2.9583,0
5,2,7,18,0,8.7436,1
6,2,18,75,1,2.1972,1
7,1,15,65,1,2.3783,1
8,2,15,65,1,1.4557,1
9,2,10,90,1,0.85513,1
10,1,10,90,1,1.1281,0
11,1,4,35,0,0.87423,1
12,2,4,35,0,0.72357,1
13,1,15,25,1,1.4608,1
14,2,15,25,0,1.1065,1
15,2,7,90,1,1.3575,1
16,1,7,90,0,1.3564,1
17,1,18,75,1,1.4968,1
18,1,21,35,1,1.5272,1
19,1,4,65,0,1.2268,1
20,2,18,75,1,1.3081,1
21,2,21,35,0,3.1855,1
22,1,10,18,0,1.9269,1
23,2,4,65,0,1.0028,0
24,2,10,18,0,1.1747,1
25,2,4,75,0,0.98857,0
26,2,21,90,1,1.0458,1
27,1,4,75,0,1.1963,1
28,1,21,90,0,1.2067,0
29,1,15,25,0,1.7052,0
30,1,7,35,0,0.94393,1
31,1,10,18,0,1.5414,1
32,2,15,25,0,1.2172,1
33,1,18,65,1,1.2905,1
34,1,4,25,0,1.1504,1
35,1,15,65,1,1.5016,1
36,2,7,35,0,1.8424,1
37,2,10,18,0,0.97958,1
38,1,21,35,1,1.7581,1
39,2,18,65,1,1.0489,1
40,2,4,25,0,1.196,1
41,2,15,65,1,1.5669,1
42,2,21,35,0,3.0639,1
43,2,18,90,1,0.73357,1
44,1,18,90,1,0.53538,1
45,2,10,75,1,1.4689,1
46,2,7,18,0,0.98175,1
47,2,10,75,1,0.74609,1
48,1,10,75,0,1.4475,1
49,1,7,18,0,0.66999,1
50,2,7,18,0,0.96775,1
51,1,10,75,1,1.8455,0
52,2,21,90,1,1.0497,1
53,2,18,35,0,1.4882,1
54,1,7,18,0,1.2324,1
55,2,15,65,1,1.0837,1
56,2,4,25,0,0.53794,1
57,1,21,90,1,0.92608,1
58,1,18,35,1,1.1205,1
59,2,21,90,1,0.75017,1
60,2,10,65,1,1.2729,1
61,2,4,75,0,1.1582,0
62,1,15,65,1,1.2508,1
63,1,4,25,0,1.1841,1
64,1,21,90,1,1.1527,1
65,1,10,65,0,1.2206,1
66,1,4,75,1,0.73979,0
67,2,18,18,0,1.612,1
68,1,18,18,1,1.2818,1
69,1,15,25,1,1.1072,1
70,1,7,35,0,1.2039,1
71,2,15,25,0,1.258,1
72,2,7,35,0,2.4369,1
