Trial Number,TrialTypeN1S2,Nvalue,Svalue,KeyPressZsmallMgreater,ReactionTime,Accuracy
1,2,7,90,1,3.4073,1
2,1,7,90,0,1.2336,1
3,2,21,18,0,0.83923,1
4,1,21,18,1,1.719,1
5,1,15,90,1,4.7296,1
6,2,15,90,1,1.3189,1
7,1,4,65,0,0.88354,1
8,1,15,35,1,1.2604,1
9,1,15,18,1,0.83204,1
10,1,18,35,1,0.66606,1
11,2,4,65,0,0.94384,0
12,1,18,65,1,2.1756,1
13,1,10,35,0,2.4399,1
14,2,15,35,0,1.4126,1
15,2,15,18,0,0.89071,1
16,1,18,25,1,2.9969,1
17,1,7,65,0,1.1181,1
18,2,18,35,0,1.1696,1
19,1,21,90,1,1.128,1
20,2,18,65,1,2.6474,1
21,2,10,35,0,2.0892,1
22,2,18,25,0,0.88539,1
23,2,7,65,1,1.5417,1
24,1,21,75,1,0.98412,1
25,1,4,25,0,1.6586,1
26,2,21,90,1,0.89122,1
27,1,4,35,0,0.87365,1
28,1,10,75,0,6.1527,1
29,1,7,25,0,0.56892,1
30,2,21,75,1,0.77192,1
31,1,15,25,0,0.72219,0
32,2,4,25,0,0.64973,1
33,2,4,35,0,0.602,1
34,2,10,75,1,1.0371,1
35,1,10,65,0,2.2648,1
36,1,15,65,1,1.2102,1
37,1,21,35,1,0.50028,1
38,1,10,25,0,0.7201,1
39,1,21,25,1,0.84331,1
40,1,18,18,1,0.87645,1
41,2,7,25,0,0.62235,1
42,2,15,25,0,0.49263,1
43,2,10,65,1,1.248,1
44,1,10,18,0,2.6193,1
45,2,15,65,0,1.4147,0
46,2,21,35,0,1.063,1
47,1,4,90,0,1.5056,1
48,2,10,25,0,0.87078,1
49,1,7,35,0,1.0115,1
50,1,18,90,1,3.2961,1
51,2,21,25,0,0.89917,1
52,2,18,18,0,0.46834,1
53,1,10,90,0,1.7719,1
54,2,10,18,0,0.53768,1
55,2,4,90,0,0.82468,0
56,1,7,75,0,4.9274,1
57,1,4,75,0,1.178,1
58,2,7,35,0,0.95074,1
59,2,18,90,1,0.744,1
60,1,18,75,1,1.8715,1
61,2,10,90,1,1.1924,1
62,1,4,18,0,0.65538,1
63,2,7,75,1,1.8601,1
64,1,21,65,1,1.1273,1
65,2,4,75,0,0.74971,0
66,2,18,75,1,1.054,1
67,2,4,18,0,0.68393,1
68,2,21,65,1,0.98603,1
69,1,7,18,0,0.51764,1
70,2,7,18,0,1.3404,1
71,2,15,75,1,2.0342,1
72,1,15,75,1,0.95575,1
