Trial Number,TrialTypeN1S2,Nvalue,Svalue,KeyPressZsmallMgreater,ReactionTime,Accuracy
1,2,10,18,1,1.4326,0
2,1,10,18,0,8.1974,1
3,2,18,65,1,5.0089,1
4,1,18,65,1,5.4681,1
5,1,21,65,1,4.5725,1
6,2,21,65,1,5.0931,1
7,2,15,65,1,5.5763,1
8,2,18,18,0,11.3964,1
9,1,15,65,1,10.6153,1
10,2,18,25,0,2.2297,1
11,1,18,18,0,0.65895,0
12,2,18,90,1,3.3596,1
13,2,10,25,0,1.5852,1
14,2,15,18,0,2.7041,1
15,1,18,25,1,8.2206,1
16,1,18,90,1,9.2847,1
17,2,7,35,0,4.9498,1
18,2,4,65,0,8.0039,0
19,1,10,25,1,6.2198,0
20,1,15,18,1,1.7338,1
21,1,7,35,1,3.3074,0
22,2,21,25,1,0.77101,0
23,1,4,65,0,5.4599,1
24,2,7,90,1,2.2537,1
25,1,21,25,1,1.7904,1
26,1,7,90,1,8.1314,0
27,1,4,35,0,6.529,1
28,1,21,18,1,1.8654,1
29,2,4,35,0,1.507,1
30,2,21,18,1,1.642,0
31,1,4,75,0,3.6965,1
32,1,18,75,1,1.802,1
33,2,4,75,0,1.582,0
34,2,18,75,1,0.61432,1
35,1,4,90,0,0.79173,1
36,1,21,75,1,0.64709,1
37,1,10,65,1,0.80242,0
38,1,18,35,1,5.3834,1
39,2,4,90,0,0.73833,0
40,1,7,25,0,1.0995,1
41,2,21,75,1,2.9713,1
42,2,10,65,1,3.9396,1
43,1,7,65,0,2.5878,1
44,1,7,75,0,5.1665,1
45,2,18,35,1,0.58918,0
46,1,15,90,1,0.52099,1
47,1,15,75,1,1,1
48,2,7,25,0,1.7338,1
49,2,7,65,0,0.68169,0
50,1,10,90,1,0.55131,0
51,2,7,75,1,2.0291,1
52,1,21,35,1,0.51378,1
53,2,15,90,1,0.46679,1
54,2,15,75,1,0.65792,1
55,1,10,75,1,0.47913,0
56,1,10,35,1,0.74434,0
57,1,15,25,1,0.61649,1
58,2,10,90,1,0.78761,1
59,2,21,35,1,0.50211,0
60,2,10,75,1,0.75558,1
61,2,10,35,1,2.4025,0
62,1,4,25,0,1.0465,1
63,1,21,90,1,0.59427,1
64,2,15,25,1,1.2898,0
65,2,4,25,0,1.6794,1
66,2,21,90,1,2.1927,1
67,1,7,18,1,1.1372,0
68,2,7,18,1,1.2083,0
69,2,15,35,0,1.9692,1
70,1,15,35,1,1.3808,1
71,2,4,18,0,1.0028,1
72,1,4,18,0,5.2407,1
