Trial Number,TrialTypeN1S2,Nvalue,Svalue,KeyPressZsmallMgreater,ReactionTime,Accuracy
1,1,21,25,0,3.6938,0
2,1,4,35,0,2.0722,1
3,2,21,25,0,1.0792,1
4,2,4,35,0,0.97478,1
5,2,7,25,0,0.89197,1
6,1,7,25,0,0.58631,1
7,1,21,90,1,1.3183,1
8,2,21,90,1,0.75229,1
9,1,10,90,0,1.2568,1
10,1,18,35,1,0.80957,1
11,2,10,90,1,0.95086,1
12,2,18,35,1,1.4198,0
13,2,21,18,0,2.0088,1
14,1,21,18,0,0.67322,0
15,2,18,90,1,0.65166,1
16,1,18,90,1,0.45817,1
17,1,15,25,0,0.80379,0
18,2,15,25,1,0.41761,0
19,2,10,18,0,0.42151,1
20,1,10,18,0,0.73365,1
21,1,10,25,0,0.58274,1
22,1,15,75,1,0.38387,1
23,1,15,90,1,0.59452,1
24,2,10,25,0,0.69119,1
25,1,10,35,0,0.68079,1
26,1,7,65,1,0.50908,0
27,2,15,75,1,0.75547,1
28,2,15,90,1,0.74355,1
29,2,10,35,0,0.59953,1
30,1,15,65,1,1.1594,1
31,1,4,75,0,1.1193,1
32,2,7,65,1,0.71066,1
33,2,15,65,1,0.68627,1
34,2,4,75,1,1.1292,1
35,1,7,90,0,1.1968,1
36,1,7,75,1,0.91143,0
37,2,7,90,1,0.59936,1
38,1,21,65,0,1.3772,0
39,1,10,75,1,0.88068,0
40,2,7,75,1,0.50839,1
41,2,21,65,0,0.9936,0
42,1,4,18,0,0.82428,1
43,2,10,75,1,0.81957,1
44,2,4,18,0,0.61606,1
45,1,4,65,0,1.1367,1
46,1,10,65,1,0.79316,0
47,1,7,18,0,0.62687,1
48,2,4,65,0,0.86211,0
49,2,10,65,1,0.88147,1
50,1,4,90,1,0.78282,0
51,2,7,18,0,0.80129,1
52,2,4,90,1,0.66246,1
53,2,21,75,1,0.65001,1
54,2,18,75,1,0.37735,1
55,2,18,65,1,0.4818,1
56,2,15,18,1,0.42949,0
57,1,21,75,1,0.47092,1
58,2,15,35,0,1.7774,1
59,1,18,75,1,0.57196,1
60,1,18,65,1,0.42274,1
61,2,21,35,0,0.58431,1
62,2,18,18,1,0.32242,0
63,1,15,18,0,0.4404,0
64,2,4,25,1,0.45762,0
65,1,15,35,1,0.8898,1
66,1,21,35,1,0.43987,1
67,1,18,18,1,0.4257,1
68,2,7,35,1,0.45121,0
69,1,4,25,0,0.61972,1
70,2,18,25,1,1.526,0
71,1,7,35,1,1.0319,0
72,1,18,25,1,1.3799,1
