Trial Number,TrialTypeN1S2,Nvalue,Svalue,KeyPressZsmallMgreater,ReactionTime,Accuracy
1,1,4,35,0,2.4659,1
2,2,4,35,0,1.1503,1
3,2,21,75,1,7.1556,1
4,2,15,75,1,3.3438,1
5,2,21,65,1,0.99325,1
6,2,21,18,0,4.1115,1
7,1,21,75,1,0.98732,1
8,1,15,75,1,22.6223,1
9,2,7,75,1,5.1591,1
10,2,10,75,0,5.9075,0
11,2,4,90,0,6.131,0
12,1,21,65,1,3.6916,1
13,1,21,18,0,9.1334,0
14,1,7,75,0,4.402,1
15,1,10,75,0,1.4162,1
16,1,4,90,0,1.0311,1
17,1,18,75,1,2.1338,1
18,1,7,25,0,3.1655,1
19,1,18,18,1,2.7386,1
20,2,18,75,1,2.365,1
21,2,7,25,0,3.2684,1
22,1,7,65,0,1.6144,1
23,2,18,18,0,3.5205,1
24,1,18,35,0,2.9398,0
25,2,7,65,0,4.3965,0
26,1,7,18,0,1.6035,1
27,2,18,35,0,1.8945,1
28,1,15,65,1,2.8025,1
29,1,4,18,0,1.1192,1
30,1,4,25,0,1.2775,1
31,1,10,18,0,2.0887,1
32,1,4,75,0,0.88746,1
33,2,7,18,0,2.4009,1
34,1,10,25,0,1.6026,1
35,1,10,65,0,1.5207,1
36,1,18,90,1,3.0389,1
37,1,21,25,1,2.6652,1
38,2,15,65,1,2.6684,1
39,2,4,18,0,2.4883,1
40,2,4,25,0,1.4762,1
41,2,10,18,0,0.94796,1
42,2,4,75,0,1.1971,0
43,2,10,25,0,0.90515,1
44,2,10,65,1,1.5522,1
45,1,18,25,0,0.84232,0
46,1,15,18,0,0.88082,0
47,2,18,90,1,1.1255,1
48,2,21,25,0,1.2475,1
49,1,15,90,1,0.91365,1
50,2,18,25,0,1.4868,1
51,2,15,18,0,1.4774,1
52,2,15,90,1,1.2623,1
53,1,7,35,0,2.6511,1
54,2,7,35,0,1.6576,1
55,1,15,25,0,5.1514,0
56,2,15,25,1,0.88171,0
57,1,18,65,1,3.71,1
58,1,15,35,0,1.2512,0
59,2,18,65,1,1.9999,1
60,1,10,35,0,1.1436,1
61,1,21,90,1,2.0237,1
62,2,15,35,0,3.985,1
63,1,4,65,0,1.4352,1
64,1,7,90,0,1.1928,1
65,2,10,35,0,1.3591,1
66,1,10,90,0,2.1408,1
67,2,21,90,1,1.4583,1
68,2,4,65,0,2.9092,0
69,2,7,90,1,2.1145,1
70,2,10,90,1,2.5822,1
71,1,21,35,0,0.78127,0
72,2,21,35,0,1.6684,1
