Trial Number,TrialTypeN1S2,Nvalue,Svalue,KeyPressZsmallMgreater,ReactionTime,Accuracy
1,1,21,35,1,7.0579,1
2,2,21,35,1,5.306,0
3,2,10,90,0,5.296,0
4,1,10,90,0,6.9612,1
5,2,15,18,1,1.8891,0
6,1,15,18,1,3.6849,1
7,1,15,65,1,8.9449,1
8,1,18,25,1,4.3905,1
9,2,15,65,0,2.2132,0
10,2,18,25,1,1.5397,0
11,1,18,35,1,3.1488,1
12,2,18,35,0,2.4109,1
13,1,4,18,0,1.5202,1
14,2,4,18,1,2.2177,0
15,1,21,75,1,3.7175,1
16,2,21,75,1,4.6811,1
17,1,4,35,0,2.1736,1
18,2,4,35,1,3.1901,0
19,1,15,75,1,2.2179,1
20,2,15,75,1,2.299,1
21,2,10,18,1,3.967,0
22,1,10,18,0,1.9948,1
23,2,4,65,1,2.9207,1
24,1,4,65,0,5.2692,1
25,2,10,75,0,3.5236,0
26,2,7,25,1,2.3992,0
27,2,21,18,1,3.913,0
28,2,15,90,0,1.6923,0
29,1,10,75,0,6.2341,1
30,1,7,25,0,4.0538,1
31,1,21,18,1,1.2353,1
32,1,15,90,1,2.3135,1
33,1,4,25,0,2.6479,1
34,1,15,25,1,4.5163,1
35,1,7,65,0,3.3473,1
36,1,15,35,1,1.8286,1
37,2,4,25,1,2.6053,0
38,2,15,25,0,6.2902,1
39,1,18,18,1,4.7165,1
40,1,10,25,0,3.9831,1
41,1,7,90,0,2.9438,1
42,2,7,65,0,1.5221,0
43,2,15,35,1,1.6271,0
44,1,7,75,0,1.6168,1
45,1,21,65,1,1.7357,1
46,2,18,18,1,2.1003,0
47,2,10,25,0,1.5328,1
48,2,7,90,0,4.7315,0
49,1,4,75,0,2.4079,1
50,2,7,75,1,3.2432,1
51,1,10,65,0,3.834,1
52,2,21,65,1,2.1516,1
53,1,18,90,1,2.0439,1
54,2,4,75,1,2.8262,1
55,2,10,65,0,1.1104,0
56,1,21,25,1,1.5416,1
57,1,7,35,0,3.7822,1
58,2,18,90,1,1.4739,1
59,2,21,25,0,2.2334,1
60,2,7,35,1,2.6624,0
61,1,18,75,0,1.9437,0
62,1,21,90,1,4.6729,1
63,2,18,75,1,1.2754,1
64,2,21,90,0,4.1473,0
65,2,10,35,0,5.2574,1
66,2,18,65,1,2.6478,1
67,1,10,35,0,2.6257,1
68,1,18,65,1,7.2958,1
69,1,7,18,0,1.8428,1
70,1,4,90,0,4.1445,1
71,2,7,18,0,1.634,1
72,2,4,90,1,1.8655,1
