Trial Number,TrialTypeN1S2,Nvalue,Svalue,KeyPressZsmallMgreater,ReactionTime,Accuracy
1,1,21,75,1,1.1637,1
2,2,21,75,1,1.4229,1
3,2,4,65,1,1.4456,1
4,1,4,65,0,1.4502,1
5,2,15,90,1,0.93916,1
6,2,15,65,1,1.1775,1
7,2,10,18,0,0.88019,1
8,1,15,90,1,1.1219,1
9,2,4,90,1,1.2498,1
10,1,15,65,1,1.2472,1
11,1,10,18,0,0.52653,1
12,2,7,35,0,0.93757,1
13,2,21,25,0,0.53375,1
14,1,4,90,1,0.54753,0
15,1,7,35,0,1.0597,1
16,1,21,25,0,0.53801,0
17,2,18,75,1,0.55245,1
18,2,15,75,0,1.6274,0
19,1,18,75,1,1.2971,1
20,1,15,75,1,1.2077,1
21,2,15,35,0,0.68764,1
22,1,15,35,0,0.75247,0
23,1,4,18,0,0.89476,1
24,1,18,35,0,0.84933,0
25,2,4,18,0,0.46508,1
26,1,18,65,1,2.0098,1
27,2,18,35,0,0.7394,1
28,2,18,65,1,0.74807,1
29,2,21,35,0,0.66781,1
30,2,7,18,0,0.59488,1
31,1,21,35,1,1.4102,1
32,1,7,18,0,0.66816,1
33,1,7,65,1,1.4546,0
34,1,10,65,0,2.2145,1
35,2,7,65,1,1.0918,1
36,2,10,65,1,1.1214,1
37,2,10,90,1,1.0722,1
38,1,10,90,1,0.73313,0
39,2,7,25,0,0.52784,1
40,2,18,18,0,0.49499,1
41,1,7,25,0,0.90014,1
42,1,18,18,0,0.53528,0
43,2,10,35,0,1.5957,1
44,2,21,90,1,0.52586,1
45,2,7,75,1,0.73969,1
46,1,10,35,0,0.45178,1
47,2,4,25,0,0.69249,1
48,1,21,90,1,0.70156,1
49,1,7,75,1,0.99646,0
50,1,4,25,0,0.7069,1
51,1,21,18,0,0.5403,0
52,2,21,18,0,0.53437,1
53,1,10,75,1,1.4124,0
54,1,15,25,0,0.44108,0
55,2,10,75,1,0.96821,1
56,1,4,35,0,0.5266,1
57,2,15,25,0,0.55727,1
58,1,21,65,1,0.50447,1
59,1,10,25,0,0.81541,1
60,2,4,35,1,1.2032,0
61,1,18,25,0,1.5378,0
62,2,21,65,1,1.4871,1
63,2,10,25,0,0.69901,1
64,1,4,75,1,1.1641,0
65,2,18,25,0,0.55428,1
66,1,15,18,0,0.48466,0
67,2,4,75,1,0.95464,1
68,1,18,90,1,1.0588,1
69,2,15,18,0,0.50827,1
70,2,18,90,1,1.3368,1
71,1,7,90,1,1.3634,0
72,2,7,90,1,0.45311,1
