Trial Number,TrialTypeN1S2,Nvalue,Svalue,KeyPressZsmallMgreater,ReactionTime,Accuracy
1,1,10,75,0,4.4142,1
2,2,10,75,1,3.1943,1
3,2,7,90,1,2.1668,1
4,2,4,90,1,3.0469,1
5,2,10,25,0,2.0927,1
6,2,21,75,1,2.8159,1
7,1,7,90,0,1.8694,1
8,1,4,90,0,1.3076,1
9,2,15,75,1,2.1317,1
10,2,15,25,0,2.3142,1
11,1,10,25,0,2.4744,1
12,1,21,75,1,2.6655,1
13,2,7,75,1,2.7838,1
14,1,15,75,1,3.0871,1
15,1,15,25,1,20.7841,1
16,2,18,35,0,2.5639,1
17,2,15,90,1,1.9622,1
18,2,4,75,1,1.6823,1
19,1,7,75,0,3.5337,1
20,2,15,35,0,1.9446,1
21,1,18,35,1,2.0843,1
22,1,15,90,1,6.6126,1
23,1,4,75,0,1.4009,1
24,1,15,35,1,9.99,1
25,2,4,18,0,1.3212,1
26,1,4,18,0,1.2609,1
27,2,18,90,1,1.2875,1
28,2,15,18,0,2.7102,1
29,1,18,90,1,3.7554,1
30,1,15,18,1,6.7668,1
31,1,21,18,1,1.7489,1
32,1,18,65,1,1.6806,1
33,1,7,18,0,1.1852,1
34,1,18,75,1,1.1137,1
35,2,21,18,0,1.5177,1
36,1,4,65,0,1.5604,1
37,1,21,25,1,1.2458,1
38,2,18,65,1,2.2818,1
39,2,7,18,0,1.1935,1
40,2,18,75,1,1.7939,1
41,1,18,18,1,1.8395,1
42,2,4,65,0,3.5168,0
43,2,21,25,0,2.6645,1
44,2,18,18,0,1.3889,1
45,1,10,35,0,2.2329,1
46,2,10,35,0,1.8909,1
47,2,7,25,0,2.6572,1
48,2,10,65,1,1.6494,1
49,2,21,90,1,1.1527,1
50,1,7,25,0,0.7582,1
51,1,10,65,0,1.3941,1
52,1,21,90,1,1.1329,1
53,2,10,90,1,1.3847,1
54,2,4,35,0,1.0896,1
55,2,7,35,0,0.78766,1
56,1,10,90,0,2.8364,1
57,2,7,65,0,1.4279,0
58,2,21,65,1,1.0974,1
59,2,4,25,0,2.2735,1
60,2,10,18,0,0.80179,1
61,2,18,25,0,0.97772,1
62,1,4,35,0,0.87288,1
63,1,7,35,0,2.1764,1
64,2,21,35,0,2.0922,1
65,1,7,65,0,1.2249,1
66,1,21,65,1,1.9725,1
67,1,4,25,0,1.2278,1
68,2,15,65,1,2.3346,1
69,1,10,18,0,1.1064,1
70,1,18,25,1,1.2368,1
71,1,21,35,1,0.8743,1
72,1,15,65,1,1.1701,1
