Trial Number,TrialTypeN1S2,Nvalue,Svalue,KeyPressZsmallMgreater,ReactionTime,Accuracy
1,1,7,35,0,6.2582,1
2,2,7,35,0,3.0304,1
3,1,18,25,1,1.5479,1
4,2,18,25,0,3.2893,1
5,1,21,25,1,1.6972,1
6,1,18,18,1,1.9115,1
7,2,21,25,0,4.1703,1
8,1,18,90,0,11.6937,0
9,1,7,75,0,1.7213,1
10,1,15,18,1,5.2169,1
11,1,18,65,0,1.7644,0
12,2,18,18,0,3.536,1
13,2,18,90,1,2.3187,1
14,2,7,75,1,4.3515,1
15,2,15,18,0,2.1068,1
16,2,18,65,0,4.1565,0
17,1,4,65,0,2.3563,1
18,2,4,65,1,3.3245,1
19,1,21,75,1,5.92,1
20,2,21,75,1,3.1232,1
21,1,21,65,1,8.1421,1
22,2,21,65,1,4.8671,1
23,2,21,35,0,3.1461,1
24,1,21,35,1,2.0832,1
25,2,10,25,0,3.1396,1
26,2,18,75,1,2.9386,1
27,1,10,25,0,2.4982,1
28,2,4,75,1,2.3056,1
29,1,18,75,0,3.5146,0
30,1,4,75,0,1.383,1
31,2,15,65,1,4.6893,1
32,1,15,65,0,1.4595,0
33,1,10,90,0,1.0832,1
34,2,10,90,0,0.58541,0
35,2,10,18,0,2.3529,1
36,2,7,25,0,1.161,1
37,2,15,75,1,1.7528,1
38,1,10,18,0,1.4488,1
39,1,7,25,0,0.58657,1
40,1,15,75,0,1.9844,0
41,1,15,90,1,2.8342,1
42,1,18,35,1,1.6152,1
43,2,15,90,1,2.1505,1
44,1,21,18,1,3.2863,1
45,1,4,18,0,0.83215,1
46,2,18,35,0,4.0182,1
47,1,10,35,0,0.94556,1
48,1,10,65,0,1.4378,1
49,1,7,65,0,0.52191,1
50,1,4,25,0,0.56166,1
51,2,21,18,0,1.4582,1
52,2,4,18,0,2.2862,1
53,1,15,25,0,1.3845,0
54,2,10,35,0,1.3726,1
55,1,7,18,0,1.2413,1
56,2,10,65,1,3.0422,1
57,1,7,90,0,1.4439,1
58,2,7,65,1,2.3862,1
59,2,4,25,0,3.0677,1
60,1,21,90,0,2.5179,0
61,1,15,35,0,0.71175,0
62,2,15,25,0,1.1153,1
63,2,7,18,0,1.1753,1
64,1,4,35,0,1.1524,1
65,2,7,90,1,1.4049,1
66,2,21,90,1,2.7945,1
67,2,15,35,0,2.6223,1
68,2,4,35,0,0.96586,1
69,2,10,75,1,2.9228,1
70,2,4,90,1,4.4925,1
71,1,10,75,0,4.1341,1
72,1,4,90,0,0.80319,1
