Trial Number,TrialTypeN1S2,Nvalue,Svalue,KeyPressZsmallMgreater,ReactionTime,Accuracy
1,1,4,65,0,16.8853,1
2,2,4,65,0,6.1721,0
3,1,15,18,1,11.6607,1
4,2,15,18,0,2.8135,1
5,1,7,65,0,3.3117,1
6,2,7,65,1,2.7021,1
7,1,18,65,1,7.2184,1
8,1,4,75,0,1.2816,1
9,1,7,75,1,1.7856,0
10,1,7,18,0,3.7791,1
11,2,18,65,1,1.9074,1
12,1,21,18,1,3.1204,1
13,2,4,75,0,1.51,0
14,1,10,35,1,6.1327,0
15,2,7,75,1,2.3628,1
16,1,15,90,1,4.4767,1
17,1,15,25,0,2.9352,0
18,2,7,18,0,2.0497,1
19,1,21,65,1,1.5983,1
20,1,7,90,0,1.3959,1
21,1,10,75,0,9.493,1
22,1,18,75,1,1.8396,1
23,1,15,65,0,4.0441,0
24,2,21,18,0,1.4143,1
25,1,10,65,0,5.6336,1
26,2,10,35,0,2.9439,1
27,1,18,35,1,1.4275,1
28,1,18,25,1,1.9617,1
29,2,15,90,1,1.8665,1
30,2,15,25,0,1.4362,1
31,1,10,18,0,1.5867,1
32,2,21,65,1,1.0323,1
33,1,21,90,1,0.82875,1
34,2,7,90,0,0.6969,0
35,1,7,25,0,2.9649,1
36,1,21,35,1,0.72727,1
37,1,4,90,0,1.2423,1
38,2,10,75,1,1.8589,1
39,1,21,75,1,2.5856,1
40,2,18,75,1,1.3735,1
41,1,10,25,0,1.4953,1
42,1,4,35,0,0.81386,1
43,2,15,65,1,1.9316,1
44,1,21,25,1,5.0125,1
45,2,10,65,1,10.7118,1
46,2,18,35,0,0.81901,1
47,1,18,18,1,2.1919,1
48,2,18,25,0,0.81598,1
49,2,10,18,0,0.79168,1
50,2,21,90,1,0.63411,1
51,2,7,25,0,1.4791,1
52,1,4,18,0,1.1625,1
53,1,15,75,1,3.6462,1
54,1,18,90,1,1.3794,1
55,2,21,35,0,1.2146,1
56,1,10,90,0,2.1787,1
57,2,4,90,1,4.4885,1
58,2,21,75,1,1.9599,1
59,2,10,25,0,0.9421,1
60,2,4,35,0,1.0826,1
61,2,21,25,0,2.1238,1
62,2,18,18,0,0.66578,1
63,1,7,35,0,2.5852,1
64,2,4,18,0,1.8139,1
65,1,15,35,1,1.2735,1
66,2,15,75,1,0.73223,1
67,2,18,90,1,0.44982,1
68,1,4,25,0,1.1242,1
69,2,10,90,1,1.1853,1
70,2,7,35,0,3.177,1
71,2,15,35,0,7.2359,1
72,2,4,25,0,0.70548,1
