Trial Number,TrialTypeN1S2,Nvalue,Svalue,KeyPressZsmallMgreater,ReactionTime,Accuracy
1,1,21,35,1,2.1264,1
2,2,21,35,0,1.2823,1
3,2,4,90,1,2.0503,1
4,1,4,90,0,1.3522,1
5,2,4,65,1,2.3372,1
6,1,4,65,0,1.1216,1
7,1,10,18,0,1.2463,1
8,2,10,18,0,1.5837,1
9,1,7,65,0,1.3947,1
10,1,18,75,1,0.87596,1
11,2,7,65,1,1.1873,1
12,2,18,75,1,0.80097,1
13,1,18,65,1,0.82752,1
14,1,18,18,1,0.83617,1
15,1,10,65,0,0.98606,1
16,1,7,25,0,0.56594,1
17,1,10,90,0,0.91105,1
18,2,18,65,1,1.1748,1
19,2,18,18,0,1.0371,1
20,2,10,65,1,1.2349,1
21,1,4,18,0,0.89921,1
22,2,7,25,0,1.5381,1
23,1,15,75,1,0.85955,1
24,2,10,90,1,1.0057,1
25,2,4,18,0,1.3892,1
26,2,15,75,1,1.6048,1
27,1,7,18,0,0.77996,1
28,1,15,65,1,1.3582,1
29,1,21,18,1,0.73377,1
30,2,7,18,0,0.62948,1
31,2,15,65,1,1.6867,1
32,1,10,35,0,1.3171,1
33,2,21,18,0,0.94225,1
34,1,4,25,0,0.97677,1
35,2,10,35,0,1.6768,1
36,1,18,35,1,1.0893,1
37,1,15,25,1,1.4678,1
38,1,21,25,1,0.66035,1
39,1,21,75,1,0.80893,1
40,2,4,25,0,1.4029,1
41,2,18,35,0,1.0295,1
42,2,15,25,0,0.96202,1
43,2,21,25,0,0.94258,1
44,1,21,65,1,1.3058,1
45,1,7,75,0,0.71918,1
46,1,21,90,1,0.72663,1
47,2,21,75,1,0.85867,1
48,2,21,65,1,0.64322,1
49,1,10,25,0,1.6201,1
50,2,7,75,1,1.3343,1
51,2,21,90,1,1.0455,1
52,2,10,25,0,0.71512,1
53,1,18,25,1,0.86443,1
54,1,18,90,1,0.59133,1
55,2,18,25,0,1.2652,1
56,2,18,90,1,0.763,1
57,2,7,35,0,1.3199,1
58,2,7,90,1,0.89291,1
59,1,7,35,0,1.2388,1
60,1,7,90,0,0.69809,1
61,1,4,35,0,0.68247,1
62,2,4,35,0,1.3464,1
63,2,15,18,0,0.96029,1
64,1,15,18,0,0.6561,0
65,1,15,35,1,1.6438,1
66,1,10,75,0,1.0511,1
67,2,15,35,0,1.0896,1
68,2,10,75,1,1.2921,1
69,2,4,75,0,1.8177,0
70,2,15,90,1,1.2414,1
71,1,4,75,0,1.0591,1
72,1,15,90,0,1.5548,0
