Trial Number,TrialTypeN1S2,Nvalue,Svalue,KeyPressZsmallMgreater,ReactionTime,Accuracy
1,1,21,25,1,4.4833,1
2,2,21,25,0,4.311,1
3,2,10,25,0,3.9044,1
4,2,7,65,1,3.1692,1
5,2,10,90,0,2.4388,0
6,1,10,25,0,2.8099,1
7,2,21,35,0,4.1597,1
8,2,18,25,1,1.4252,0
9,1,7,65,1,1.4855,0
10,1,10,90,1,0.72629,0
11,1,21,35,1,1.2158,1
12,2,7,35,0,1.9305,1
13,1,18,25,1,1.2646,1
14,2,10,35,0,1.7666,1
15,1,7,35,0,2.3478,1
16,2,7,90,1,1.0286,1
17,1,10,35,0,5.2702,1
18,2,15,75,1,0.86869,1
19,1,7,90,0,1.5386,1
20,2,10,65,1,2.3322,1
21,1,15,75,1,2.652,1
22,2,18,18,1,1.3396,0
23,2,4,18,1,1.1804,0
24,1,10,65,0,1.6293,1
25,2,15,90,0,2.2411,0
26,1,18,18,1,3.4892,1
27,1,4,18,0,1.0653,1
28,2,15,35,0,1.5278,1
29,2,4,90,1,1.7513,1
30,1,15,90,1,1.8361,1
31,1,15,35,1,1.1652,1
32,2,21,65,1,2.0309,1
33,1,4,90,0,1.311,1
34,2,21,18,1,1.4584,0
35,1,21,65,1,3.0202,1
36,2,15,65,1,1.2855,1
37,2,18,75,1,2.3654,1
38,1,21,18,1,1.1663,1
39,1,15,65,1,1.239,1
40,2,18,65,1,1.4037,1
41,2,18,35,1,0.97529,0
42,1,18,75,1,1.9981,1
43,2,7,75,1,1.5254,1
44,1,18,65,1,1.3709,1
45,2,7,25,0,1.7841,1
46,1,18,35,1,1.1386,1
47,1,7,75,0,1.6303,1
48,1,7,25,0,1.1821,1
49,2,15,18,0,1.2164,1
50,1,15,18,0,1.3258,0
51,1,4,35,0,1.1562,1
52,1,10,75,0,0.98475,1
53,1,7,18,0,0.89038,1
54,2,4,35,0,0.96595,1
55,2,10,75,1,2.9924,1
56,1,4,25,0,1.2823,1
57,2,7,18,0,1.8815,1
58,2,4,25,0,3.6843,1
59,1,21,90,1,1.6428,1
60,1,10,18,0,1.719,1
61,2,21,90,1,1.2348,1
62,2,10,18,0,1.5219,1
63,1,18,90,1,1.7883,1
64,1,21,75,1,2.1837,1
65,2,18,90,1,1.9474,1
66,2,21,75,1,1.2482,1
67,1,4,65,0,1.2719,1
68,1,15,25,0,7.6064,0
69,2,4,65,0,2.556,0
70,2,15,25,0,3.3359,1
71,1,4,75,0,1.4667,1
72,2,4,75,0,0.92534,0
