Trial Number,TrialTypeN1S2,Nvalue,Svalue,KeyPressZsmallMgreater,ReactionTime,Accuracy
1,2,18,90,1,4.7918,1
2,2,10,65,1,15.1808,1
3,2,4,18,0,2.3412,1
4,2,21,35,0,2.8148,1
5,2,15,35,0,2.2463,1
6,2,4,25,0,1.5747,1
7,2,15,18,0,2.2652,1
8,2,15,25,0,1.4078,1
9,1,18,90,1,6.9755,1
10,2,18,65,1,3.0793,1
11,1,10,65,0,4.7778,1
12,2,4,90,1,2.3328,1
13,1,4,18,0,2.9916,1
14,1,21,35,1,3.3387,1
15,2,15,75,1,2.0634,1
16,2,18,18,0,3.4728,1
17,2,7,75,1,3.8322,1
18,2,21,25,0,1.8917,1
19,1,15,35,1,5.348,1
20,1,4,25,0,1.4787,1
21,1,15,18,1,4.4997,1
22,1,15,25,1,3.2425,1
23,1,18,65,1,6.3844,1
24,2,7,25,0,1.402,1
25,2,10,25,0,1.5968,1
26,2,18,75,1,1.663,1
27,1,4,90,0,1.4725,1
28,2,4,75,1,2.7909,1
29,2,10,90,1,1.8564,1
30,2,21,65,1,1.7191,1
31,2,10,18,0,3.9353,1
32,2,21,75,1,1.3578,1
33,1,15,75,1,3.9476,1
34,2,15,65,1,3.3824,1
35,1,18,18,1,2.46,1
36,2,21,90,1,1.918,1
37,1,7,75,0,2.452,1
38,2,10,75,0,2.0102,0
39,1,21,25,1,1.2131,1
40,2,7,65,0,2.2391,0
41,1,7,25,0,1.2297,1
42,1,10,25,0,1.8496,1
43,2,10,35,0,1.2012,1
44,2,7,90,1,1.2332,1
45,1,18,75,1,2.5777,1
46,2,4,35,0,1.3642,1
47,1,4,75,0,3.9296,1
48,1,10,90,0,0.7848,1
49,1,21,65,1,0.9626,1
50,1,10,18,0,1.0452,1
51,2,7,35,0,1.6597,1
52,2,15,90,1,1.2296,1
53,1,21,75,1,1.5304,1
54,1,15,65,1,2.0908,1
55,1,21,90,1,2.2531,1
56,1,10,75,0,1.3659,1
57,1,7,65,0,0.85581,1
58,1,10,35,0,0.89445,1
59,2,4,65,0,1.2248,0
60,1,7,90,0,1.1649,1
61,2,18,35,0,1.3758,1
62,2,7,18,0,0.96229,1
63,1,4,35,0,0.80529,1
64,1,7,35,0,0.50756,1
65,2,21,18,0,0.94918,1
66,1,15,90,0,3.1322,0
67,1,4,65,0,0.71799,1
68,1,18,35,1,1.619,1
69,1,7,18,0,1.313,1
70,1,21,18,1,1.251,1
71,1,18,25,1,1.1286,1
72,2,18,25,0,1.2092,1
