Trial Number,TrialTypeN1S2,Nvalue,Svalue,time,KeyPressZsmallMgreater,ReactionTime,Accuracy
1,2,18,18,0.068,0,0.42488,1
2,1,18,18,0.068,0,0.38143,0
3,2,18,18,0.5,1,0.42461,0
4,1,18,18,0.5,1,0.29316,1
5,2,10,35,0.068,0,0.43945,1
6,1,10,35,0.068,0,0.76331,1
7,2,10,35,0.5,1,0.3758,0
8,1,10,35,0.5,1,0.3865,0
9,2,18,18,0.5,0,0.74875,1
10,1,18,18,0.5,0,0.37569,0
11,1,18,75,1,1,1.5231,1
12,2,18,75,1,1,0.38591,1
13,2,18,75,0.5,0,0.7138,0
14,2,10,65,1,0,0.33804,0
15,2,21,18,1,1,0.34981,0
16,1,18,75,0.5,1,0.74865,1
17,2,7,90,0.5,1,2.1443,1
18,1,10,65,1,1,2.0429,0
19,1,21,18,1,0,0.40188,0
20,2,10,75,0.5,0,0.33358,0
21,2,4,90,0.5,1,1.4182,1
22,2,21,18,0.068,1,1.4898,0
23,2,4,90,0.5,0,1.4172,0
24,2,4,25,0.068,0,1.0451,1
25,1,7,90,0.5,1,0.50983,0
26,1,10,75,0.5,1,0.32392,0
27,1,4,90,0.5,0,0.62364,1
28,1,21,18,0.068,0,0.35477,0
29,1,4,90,0.5,1,19.2855,0
30,2,21,75,1,1,0.44344,1
31,1,4,25,0.068,0,0.89163,1
32,2,15,25,0.5,0,0.35852,1
33,1,21,75,1,1,1.3145,1
34,1,15,25,0.5,1,0.43665,1
35,1,10,65,0.068,0,0.76536,1
36,1,7,18,1,0,1.5975,1
37,2,10,65,0.068,1,0.75869,1
38,1,15,25,1,1,0.36268,1
39,1,4,25,0.5,1,1.7019,0
40,2,7,18,1,0,0.65219,1
41,2,15,25,1,0,0.37,1
42,1,21,35,1,1,0.41571,1
43,2,4,25,0.5,1,0.56282,0
44,2,21,35,1,0,0.38268,1
45,1,4,90,0.068,0,0.41922,1
46,2,4,90,0.068,1,0.78127,1
47,2,7,75,1,1,0.22093,1
48,1,7,75,1,1,2.6939,0
49,1,7,90,0.068,1,0.7031,0
50,1,7,18,0.068,0,2.3769,1
51,2,7,90,0.068,0,0.84686,0
52,2,7,18,0.068,1,1.3014,0
53,1,21,90,0.5,1,0.35152,1
54,2,21,90,0.5,0,0.12288,0
55,1,7,90,0.068,0,1.5104,1
56,1,4,35,0.068,0,1.5846,1
57,1,15,75,0.5,1,1.8693,1
58,1,15,75,0.068,1,0.43251,1
59,2,7,90,0.068,0,0.96196,0
60,1,21,35,1,0,0.32106,0
61,1,10,65,1,1,0.37402,0
62,1,7,18,0.5,1,0.33932,0
63,2,4,35,0.068,0,0.66559,1
64,2,15,75,0.5,0,0.41975,0
65,1,10,75,0.068,1,0.48763,0
66,1,4,25,1,1,0.78629,0
67,1,15,35,0.068,0,0.59374,0
68,1,15,65,1,0,0.55614,0
69,1,10,65,0.5,1,0.30594,0
70,1,15,35,0.5,1,0.29109,1
71,2,15,75,0.068,0,0.54786,0
72,2,21,35,1,0,0.29059,1
73,2,10,65,1,1,0.33666,1
74,1,18,65,0.068,1,0.37009,1
75,2,7,18,0.5,0,0.39419,1
76,2,10,75,0.068,0,0.54721,0
77,2,4,25,1,1,0.42804,0
78,1,10,65,0.068,1,1.2219,0
79,1,4,35,0.068,0,1.2352,1
80,2,15,35,0.068,0,0.31251,1
81,1,18,90,1,1,0.36284,1
82,1,7,18,0.5,1,0.77649,0
83,1,4,35,1,0,0.67917,1
84,1,10,25,0.5,0,0.34801,1
85,1,4,25,0.068,1,0.71564,0
86,2,15,65,1,1,0.33677,1
87,2,10,65,0.5,0,2.2023,0
88,2,15,35,0.5,0,5.4648,1
89,2,18,65,0.068,0,0.34573,0
90,1,15,25,0.068,1,0.4812,1
91,1,21,25,1,1,1.193,1
92,1,7,18,1,0,0.38499,1
93,1,21,75,0.5,0,0.33277,0
94,2,10,65,0.068,1,0.48927,1
95,2,4,35,0.068,1,0.42768,0
96,1,7,18,0.068,0,1.2603,1
97,2,18,90,1,1,1.1478,1
98,1,10,75,1,0,1.2786,1
99,1,15,65,0.068,1,0.35104,1
100,1,15,65,0.5,0,1.1784,0
101,1,10,35,1,1,0.29263,0
102,1,15,25,0.068,1,0.26287,1
103,1,4,90,0.068,0,0.35654,1
104,2,7,18,0.5,0,0.41143,1
105,1,21,90,0.068,1,0.35114,1
106,2,4,35,1,1,0.32306,0
107,1,21,35,0.5,0,0.4059,0
108,2,10,25,0.5,1,3.3169,0
109,2,4,25,0.068,0,0.3327,1
110,1,4,35,0.5,0,0.49008,1
111,2,15,25,0.068,1,2.0967,0
112,1,18,75,1,1,0.36777,1
113,2,21,25,1,0,4.5336,1
114,2,7,18,1,0,0.27526,1
115,1,7,18,0.5,1,0.36291,0
116,1,15,25,0.5,1,3.3457,1
117,2,21,75,0.5,1,0.49773,1
118,2,7,18,0.068,0,3.5749,1
119,2,10,75,1,0,0.93464,0
120,2,15,65,0.068,1,0.42963,1
121,1,7,90,0.5,1,2.0696,0
122,1,7,75,0.068,0,0.3494,1
123,2,15,65,0.5,0,0.44273,0
124,2,10,35,1,1,0.51988,0
125,2,15,25,0.068,1,0.60236,0
126,2,4,90,0.068,0,0.49532,0
