Trial Number,TrialTypeN1S2,Nvalue,Svalue,time,KeyPressZsmallMgreater,ReactionTime,Accuracy
1,2,21,90,1,1,3.5269,1
2,2,4,90,0.5,1,3.8161,1
3,2,15,90,1,1,0.023831,1
4,1,21,90,1,0,3.4789,0
5,1,4,90,0.5,0,3.6567,1
6,2,10,35,0.5,0,3.1065,1
7,2,10,35,1,0,1.77,1
8,2,7,18,0.068,0,1.6211,1
9,2,4,18,1,0,1.0048,1
10,1,15,90,1,1,3.2676,1
11,2,4,75,0.068,1,2.4014,1
12,1,10,35,0.5,0,2.1035,1
13,1,10,35,1,0,1.7735,1
14,1,7,18,0.068,0,1.4394,1
15,1,4,18,1,0,0.81767,1
16,2,21,25,1,0,1.5231,1
17,1,4,75,0.068,0,1.9348,1
18,1,21,25,1,1,1.0906,1
19,1,7,35,0.5,0,1.9132,1
20,1,10,25,1,0,1.0908,1
21,2,7,35,0.5,0,1.1,1
22,2,10,25,1,0,1.3322,1
23,1,18,65,1,1,1.3283,1
24,2,18,65,1,1,1.2443,1
25,2,18,18,0.068,0,1.1849,1
26,2,7,35,1,0,1.2375,1
27,2,10,75,0.068,1,1.2027,1
28,2,18,75,0.068,1,1.1989,1
29,1,18,18,0.068,1,1.1469,1
30,2,21,25,0.068,0,0.86873,1
31,1,7,35,1,0,1.0325,1
32,2,10,25,0.5,0,1.1697,1
33,2,10,90,1,1,1.0017,1
34,1,10,75,0.068,0,1.6835,1
35,2,4,25,1,0,0.72098,1
36,2,21,75,1,1,1.3266,1
37,1,18,75,0.068,1,0.92089,1
38,2,21,75,0.068,1,0.98755,1
39,2,4,65,1,0,0.69818,0
40,2,10,25,0.068,0,1.4268,1
41,1,21,25,0.068,1,1.5499,1
42,1,10,25,0.5,0,1.0892,1
43,2,7,65,1,1,0.6171,1
44,2,18,65,0.068,1,0.90744,1
45,2,4,18,1,0,0.66582,1
46,1,10,90,1,0,1.9407,1
47,2,18,65,0.5,1,1.1508,1
48,1,4,25,1,0,1.4381,1
49,1,21,75,1,1,1.3564,1
50,1,21,75,0.068,1,2.9363,1
51,2,7,35,0.068,0,1.3616,1
52,2,21,18,1,0,0.82714,1
53,2,7,65,0.068,1,0.96667,1
54,2,4,75,0.5,0,1.3161,0
55,2,7,25,0.068,0,0.84786,1
56,2,21,25,1,0,0.90722,1
57,2,15,65,0.068,1,0.86782,1
58,2,21,90,0.5,1,0.7854,1
59,2,21,35,0.5,0,0.94211,1
60,1,4,65,1,0,1.9143,1
61,1,10,25,0.068,0,2.355,1
62,2,10,90,0.068,1,1.8689,1
63,1,7,65,1,0,0.75153,1
64,2,7,25,1,0,0.83055,1
65,2,7,35,0.068,0,0.71166,1
66,2,4,18,0.068,0,0.60953,1
67,2,4,65,0.068,0,4.1109,0
68,2,21,25,0.068,0,1.0061,1
69,2,10,35,0.068,0,0.71149,1
70,1,18,65,0.068,1,1.1572,1
71,2,18,18,0.5,0,2.563,1
72,1,4,18,1,0,0.88673,1
73,1,18,65,0.5,1,2.7669,1
74,1,7,35,0.068,0,1.5393,1
75,2,18,65,1,1,0.72401,1
76,2,7,25,0.068,0,0.78089,1
77,2,10,75,0.5,1,0.80101,1
78,2,21,25,0.5,0,0.62059,1
79,1,21,18,1,1,0.93805,1
80,1,7,65,0.068,0,1.2323,1
81,1,4,75,0.5,0,0.75076,1
82,1,7,25,0.068,0,1.359,1
83,2,7,65,0.5,0,1.3438,0
84,2,4,25,0.068,0,1.8405,1
85,1,21,25,1,1,0.51675,1
86,1,15,65,0.068,1,2.0595,1
87,2,10,75,1,0,1.6527,0
88,1,21,90,0.5,1,1.0867,1
89,2,15,90,0.068,1,1.0291,1
90,2,7,35,1,0,2.0572,1
91,1,21,35,0.5,1,1.0148,1
92,2,4,25,0.5,0,0.99211,1
93,2,7,25,1,0,1.094,1
94,1,10,90,0.068,0,2.204,1
95,1,7,25,1,0,1.1664,1
96,2,18,75,0.068,1,0.97951,1
97,1,7,35,0.068,0,1.0182,1
98,1,4,18,0.068,0,1.2221,1
99,1,4,65,0.068,0,1.4777,1
100,1,21,25,0.068,1,1.2307,1
101,2,15,90,0.068,1,0.85838,1
102,1,10,35,0.068,0,1.3117,1
103,1,18,18,0.5,1,1.2701,1
104,1,18,65,1,1,1.1053,1
105,1,7,25,0.068,0,1.1942,1
106,2,7,18,0.5,0,1.6878,1
107,2,21,90,0.068,1,1.3566,1
108,2,21,18,0.068,0,1.2568,1
109,2,7,25,0.5,0,0.84392,1
110,1,10,75,0.5,0,1.2864,1
111,1,21,25,0.5,1,1.206,1
112,2,18,75,1,1,1.0567,1
113,1,7,65,0.5,0,9.6149,1
114,2,10,35,1,0,1.0558,1
115,1,4,25,0.068,0,1.034,1
116,2,18,65,1,1,0.85872,1
117,1,10,75,1,0,1.1761,1
118,2,15,18,1,0,1.1328,1
119,1,15,90,0.068,1,1.8767,1
120,2,15,90,0.5,1,0.8631,1
121,2,4,90,0.068,1,1.9224,1
122,2,15,90,0.5,1,0.80391,1
123,2,15,65,1,1,0.71982,1
124,2,21,35,1,0,1.1863,1
125,1,7,35,1,0,0.84219,1
126,1,4,25,0.5,0,1.1382,1
127,1,7,25,1,0,1.1574,1
128,2,10,35,0.068,0,1.8311,1
129,2,18,65,0.068,1,1.1312,1
130,2,15,35,1,0,1.1031,1
131,1,18,75,0.068,1,2.0171,1
132,2,15,90,1,1,1.1515,1
133,2,18,75,0.5,1,1.8527,1
134,2,15,18,0.068,0,2.3658,1
135,1,15,90,0.068,1,5.3992,1
136,1,7,18,0.5,0,0.9697,1
137,2,4,65,0.5,0,1.2811,0
138,2,4,75,1,1,1.5562,1
139,2,15,65,0.5,1,1.0224,1
140,2,7,35,0.5,0,0.98604,1
141,1,21,90,0.068,1,1.28,1
142,2,21,35,0.068,0,1.5267,1
143,1,21,18,0.068,1,1.1675,1
144,2,18,65,0.5,0,1.6199,0
145,1,7,25,0.5,0,0.94332,1
146,2,10,75,1,1,1.0848,1
147,1,18,75,1,1,1.2841,1
148,2,15,35,0.5,0,1.0964,1
149,2,15,90,0.5,1,1.0837,1
150,1,10,35,1,0,1.0423,1
151,1,18,65,1,1,3.0729,1
152,1,15,18,1,1,0.92612,1
153,1,15,90,0.5,1,2.0479,1
154,2,10,75,0.068,1,0.9661,1
155,1,4,90,0.068,0,1.1348,1
156,2,10,35,0.5,0,1.0132,1
157,1,15,90,0.5,1,2.0879,1
158,1,15,65,1,1,1.0878,1
