Trial Number,TrialTypeN1S2,Nvalue,Svalue,time,KeyPressZsmallMgreater,ReactionTime,Accuracy
1,1,15,25,0.068,1,2.89,1
2,2,15,25,0.068,0,2.0657,1
3,2,15,25,0.5,1,0.70676,0
4,1,15,25,0.5,1,2.2069,1
5,1,21,90,0.068,0,2.4922,0
6,2,21,90,0.068,1,0.61382,1
7,1,18,65,0.068,1,1.3156,1
8,1,15,25,0.068,0,0.85717,0
9,2,18,65,0.068,1,0.61503,1
10,2,15,25,0.068,0,1.2404,1
11,2,18,65,0.068,1,0.78231,1
12,1,18,65,0.068,1,1.6223,1
13,2,10,35,0.5,0,0.65691,1
14,2,4,35,0.068,1,2.2992,0
15,1,10,35,0.5,0,1.115,1
16,1,4,35,0.068,0,0.76755,1
17,2,4,18,0.068,0,1.4993,1
18,1,4,18,0.068,0,2.714,1
19,1,10,25,1,1,0.76542,0
20,2,10,25,1,0,1.1722,1
21,2,7,65,1,1,0.81097,1
22,2,21,90,0.5,1,0.79236,1
23,1,7,65,1,1,9.3613,0
24,2,10,25,0.068,0,0.78687,1
25,2,7,75,1,1,0.46215,1
26,1,21,90,0.5,1,0.93881,1
27,1,10,25,0.068,0,1.1821,1
28,2,21,90,1,1,0.59617,1
29,1,7,75,1,0,0.47586,1
30,1,21,90,1,1,1.0788,1
31,2,18,75,0.5,1,0.87252,1
32,2,15,25,1,0,0.88627,1
33,2,15,35,0.068,1,1.0535,0
34,1,18,75,0.5,1,1.0144,1
35,2,4,18,1,0,0.97767,1
36,1,15,25,1,1,53.6715,1
37,2,10,65,0.068,1,1.5924,1
38,2,10,25,1,0,1.0087,1
39,1,15,35,0.068,1,1.2893,1
40,1,4,18,1,0,0.97525,1
41,1,10,65,0.068,1,0.75012,0
42,2,4,35,0.068,0,1.8886,1
43,2,18,75,0.5,1,0.89252,1
44,1,10,25,1,0,2.2449,1
45,2,4,18,1,0,1.2877,1
46,1,4,35,0.068,0,2.4013,1
47,2,21,90,0.5,1,0.74187,1
48,1,18,75,0.5,0,1.6645,0
49,1,4,18,1,0,0.90143,1
50,2,7,75,1,1,0.83191,1
51,2,4,18,0.5,0,1.0446,1
52,2,4,18,0.5,0,0.75829,1
53,1,21,90,0.5,1,0.81896,1
54,1,7,75,1,0,1.0349,1
55,2,18,90,1,1,60.3796,1
56,2,21,90,0.068,1,1.6092,1
57,2,7,75,0.5,0,1.815,0
58,2,18,75,0.068,1,1.7546,1
59,1,4,18,0.5,0,54.1666,1
60,2,10,65,1,1,1.4697,1
61,2,18,65,0.5,1,1.9248,1
62,1,4,18,0.5,0,1.6954,1
63,2,21,65,1,1,1.9346,1
64,2,15,25,0.5,0,5.1731,1
65,2,4,18,0.5,0,2.0285,1
66,2,15,90,1,1,1.3287,1
67,1,18,90,1,1,2.1144,1
68,1,21,90,0.068,0,3.0361,0
69,1,7,75,0.5,0,10.593,1
70,1,18,75,0.068,1,3.1478,1
71,1,10,65,1,0,8.9759,1
72,2,15,35,1,0,1.6359,1
73,2,21,75,0.5,1,1.3583,1
74,1,18,65,0.5,1,3.409,1
75,2,15,35,0.5,0,3.4385,1
