Trial Number,TrialTypeN1S2,Nvalue,Svalue,time,KeyPressZsmallMgreater,ReactionTime,Accuracy
1,1,7,90,1,0,9.9262,1
2,1,10,25,1,0,17.892,1
3,2,7,90,1,1,22.4303,1
4,2,10,25,1,0,11.6224,1
5,1,21,75,1,1,17.0176,1
6,2,21,75,1,1,5.2204,1
7,1,21,25,0.5,1,6.8917,1
8,2,21,25,0.5,1,28.1124,0
9,1,18,65,1,1,10.8272,1
10,1,18,75,1,1,9.8286,1
11,2,18,65,1,1,5.3117,1
12,1,18,75,0.5,1,6.5326,1
13,2,18,75,1,1,5.1616,1
14,1,4,18,0.5,0,4.9559,1
15,1,7,35,0.068,0,4.891,1
16,2,18,75,0.5,1,4.5148,1
17,1,7,90,0.5,0,5.0918,1
18,1,15,25,1,1,3.2753,1
19,1,7,35,0.5,0,4.6728,1
20,2,4,18,0.5,0,8.4835,1
21,1,10,90,1,0,18.9932,1
22,1,18,65,0.5,1,11.2731,1
23,1,10,18,0.5,0,13.1237,1
24,1,7,35,1,0,4.579,1
25,1,21,18,0.068,1,7.8027,1
26,2,7,35,0.068,0,4.9078,1
27,2,7,90,0.5,1,9.4527,1
28,1,10,25,0.5,0,5.3512,1
29,1,7,18,1,0,3.9376,1
30,1,7,18,0.068,0,4.5136,1
31,2,15,25,1,1,12.1478,0
32,1,15,75,0.5,0,3.7209,0
33,1,21,25,1,1,0.93003,1
34,2,7,35,0.5,0,1.6352,1
35,2,10,90,1,1,0.8386,1
36,2,18,65,0.5,1,1.0541,1
37,2,10,18,0.5,0,1.5996,1
38,2,7,35,1,1,9.0214,0
39,1,21,65,0.068,0,4.6136,0
40,2,21,18,0.068,0,1.5562,1
41,2,10,25,0.5,0,2.1778,1
42,2,7,18,1,0,3.8639,1
43,2,7,18,0.068,0,3.5023,1
44,1,7,90,1,1,1.2532,0
45,2,15,75,0.5,1,1.5078,1
46,2,21,25,1,0,0.72342,1
47,2,21,65,0.068,1,3.5112,1
48,1,18,75,0.068,1,1.8296,1
49,1,15,25,0.5,1,1.7635,1
50,1,18,65,1,1,1.1306,1
51,2,7,90,1,0,1.4622,0
52,2,18,75,0.068,0,1.387,0
53,1,4,75,1,0,1.0176,1
54,1,21,75,0.068,1,1.1764,1
55,2,15,25,0.5,1,2.8478,0
56,2,18,65,1,1,0.61829,1
57,2,4,75,1,0,1.3011,0
58,1,18,65,0.068,1,1.3629,1
59,1,15,35,0.5,0,0.82803,0
60,2,21,75,0.068,1,0.87741,1
61,2,18,65,0.068,1,0.82857,1
62,1,4,90,1,0,0.97173,1
63,2,15,35,0.5,1,1.0316,0
64,2,4,90,1,1,1.3997,1
65,1,4,35,1,0,1.5165,1
66,2,4,35,1,0,3.2922,1
67,1,4,90,1,0,2.3871,1
68,2,4,90,1,0,1.3377,0
69,2,7,90,0.068,1,1.0408,1
70,1,7,90,0.068,0,1.4062,1
71,1,15,25,0.068,1,1.1442,1
72,2,15,25,0.068,1,17.7406,0
73,2,4,90,0.068,1,1.0323,1
74,1,4,90,0.068,0,0.93614,1
75,2,15,75,0.068,1,0.99137,1
76,1,15,75,0.068,1,1.2507,1
77,1,15,75,1,0,2.2233,0
78,1,18,65,1,1,0.89003,1
79,2,15,75,1,0,1.1804,0
80,2,18,65,1,1,1.7863,1
81,2,10,18,0.068,0,1.0539,1
82,2,21,65,1,1,0.48335,1
83,2,18,65,0.5,1,0.60841,1
84,2,18,65,0.5,1,0.57995,1
85,2,4,90,0.068,0,0.98089,0
86,1,10,18,0.068,0,0.91623,1
87,1,21,65,1,1,0.48006,1
88,1,18,65,0.5,1,1.0485,1
89,2,10,25,0.068,0,1.0717,1
90,2,4,75,0.5,0,1.649,0
91,1,18,65,0.5,1,1.4312,1
92,1,4,90,0.068,0,1.2786,1
93,1,10,25,0.068,1,0.70605,0
94,1,4,75,0.5,0,2.1459,1
95,2,15,75,0.068,1,0.3046,1
96,1,15,75,0.068,1,0.77645,1
97,2,15,75,0.5,0,0.0030039,0
98,1,15,75,0.5,1,3.4716,1
99,1,21,18,1,1,0.88131,1
100,1,4,18,0.068,0,0.92447,1
101,1,18,65,0.068,1,0.9783,1
102,2,21,18,1,0,0.52279,1
103,2,4,18,0.068,1,0.40817,0
104,1,7,18,0.5,0,0.17296,1
105,1,18,65,0.068,1,1.0853,1
106,2,18,65,0.068,1,1.0409,1
107,2,7,18,0.5,0,0.30485,1
108,2,18,65,0.068,1,0.56637,1
109,1,10,25,1,0,0.0017936,1
110,2,10,25,1,1,2.0548,0
111,2,7,90,0.068,1,1.6953,1
112,2,15,75,1,1,1.3264,1
113,2,4,35,0.5,0,0.63926,1
114,2,4,75,0.068,1,1.1008,1
115,2,18,65,0.5,1,0.79395,1
116,2,21,18,0.5,0,0.78943,1
117,1,7,90,0.068,0,1.8147,1
118,1,15,75,1,1,4.4875,1
119,1,4,35,0.5,0,0.44611,1
120,2,15,75,1,1,0.96181,1
121,2,15,75,0.068,1,0.86884,1
122,2,15,35,1,0,0.36825,1
123,2,21,35,1,0,1.0479,1
124,1,4,75,0.068,1,0.4463,0
125,2,7,35,0.068,0,0.45522,1
126,2,7,90,0.5,0,0.99138,0
127,1,18,65,0.5,1,5.134,1
128,1,21,18,0.5,1,1.4212,1
129,2,15,25,0.5,0,1.231,1
130,1,15,75,1,1,3.426,1
131,1,15,75,0.068,0,2.0175,0
132,1,15,35,1,1,1.6497,1
133,1,21,35,1,1,1.204,1
134,2,18,65,1,1,1.3608,1
135,2,10,25,0.068,0,1.756,1
136,1,7,35,0.068,0,1.6274,1
137,1,7,90,0.5,0,1.4778,1
138,2,18,65,1,1,1.3491,1
139,2,21,90,1,1,1.3623,1
140,1,15,25,0.5,0,2.756,0
141,1,18,65,1,1,1.7781,1
142,1,10,25,0.068,0,1.8,1
143,1,18,65,1,1,0.96433,1
144,2,21,25,0.068,0,2.5533,1
145,1,21,90,1,1,1.7836,1
146,1,21,25,0.068,1,1.5848,1
147,1,4,18,0.068,0,0.98052,1
148,1,10,25,0.068,1,1.2897,0
149,1,21,90,0.5,1,1.1678,1
150,1,10,18,0.068,0,1.4293,1
151,2,4,18,0.068,0,1.605,1
152,2,10,25,0.068,0,2.0844,1
153,2,21,90,0.5,1,0.64706,1
154,2,10,18,0.068,0,1.0955,1
155,2,4,18,0.5,0,1.4703,1
156,2,7,35,1,1,2.271,0
157,2,4,35,0.068,0,2.2117,1
158,1,4,18,0.5,0,1.4115,1
159,1,7,35,1,1,1.037,0
160,2,10,18,1,0,1.4808,1
161,1,4,35,0.068,0,1.6088,1
162,1,10,18,1,1,0.65661,0
163,1,10,90,0.068,0,1.5709,1
164,2,10,90,0.068,1,1.1216,1
165,2,21,35,0.5,0,2.0284,1
166,1,21,35,0.5,1,0.6402,1
167,1,18,65,0.068,0,1.0877,0
168,2,18,65,0.068,1,0.76538,1
169,2,4,90,0.5,0,1.609,0
170,1,4,90,0.5,0,1.1846,1
171,1,10,25,0.5,1,0.62436,0
172,1,18,65,0.5,1,0.83068,1
173,2,10,25,0.5,0,2.0751,1
174,1,21,90,0.068,1,0.95493,1
175,2,18,65,0.5,1,1.9184,1
176,2,21,90,0.068,1,1.0822,1
177,2,10,18,0.5,0,0.57457,1
178,2,4,18,1,0,1.2758,1
179,1,10,18,0.5,1,0.92746,0
180,2,21,35,0.068,1,1.3261,0
181,2,21,65,0.5,1,0.64067,1
182,1,4,18,1,0,1.8196,1
183,1,21,35,0.068,1,2.9327,1
184,1,21,65,0.5,1,0.60301,1
185,2,7,35,0.068,0,1.1175,1
186,1,7,35,0.068,0,2.0898,1
187,1,7,35,0.5,1,1.3721,0
188,1,15,75,0.5,1,0.90084,1
189,1,15,25,0.068,1,0.76545,1
190,1,10,18,1,1,0.33749,0
191,2,7,35,0.5,1,1.3102,0
192,2,15,75,0.5,1,0.79278,1
193,2,15,25,0.068,0,1.6974,1
194,2,10,18,1,0,1.2798,1
195,1,4,90,0.5,0,1.2823,1
196,2,4,90,0.5,1,1.1848,1
197,1,21,75,0.5,1,1.0633,1
198,1,7,35,1,0,2.2322,1
199,1,10,25,1,1,1.073,0
200,2,21,75,0.5,1,1.1784,1
201,1,7,35,0.5,0,1.3331,1
202,2,7,35,1,0,1.214,1
203,2,10,25,1,0,1.7234,1
204,1,4,18,1,0,2.0802,1
205,2,7,35,0.5,0,1.6475,1
206,1,10,25,0.5,1,0.70397,0
207,2,4,18,1,0,1.405,1
208,1,15,35,0.068,1,1.4524,1
209,2,10,25,0.5,0,1.6999,1
210,2,15,35,0.068,1,1.1343,0
211,1,18,65,0.068,1,1.3877,1
212,1,10,90,0.5,0,1.1495,1
213,2,18,65,0.068,1,1.9089,1
214,2,10,90,0.5,1,1.2277,1
215,2,15,25,1,1,1.1956,0
216,1,15,25,1,1,0.66682,1
