Trial Number,TrialTypeN1S2,Nvalue,Svalue,time,KeyPressZsmallMgreater,ReactionTime,Accuracy
1,1,15,18,0.5,0,5.8681,0
2,2,15,18,0.5,1,2.6551,0
3,2,7,75,0.068,0,4.8595,0
4,2,18,25,0.068,0,12.0889,1
5,1,7,75,0.068,1,2.737,0
6,2,21,65,0.068,0,3.8032,0
7,1,18,25,0.068,1,1.0184,1
8,1,21,65,0.068,0,1.0971,0
9,1,21,18,0.5,1,0.76423,1
10,1,4,18,0.068,1,1.6856,0
11,1,18,35,0.5,1,1.1855,1
12,2,21,18,0.5,0,0.57711,1
13,2,4,18,0.068,0,1.8633,1
14,2,18,35,0.5,0,0.9144,1
15,1,10,90,1,1,1.1556,0
16,1,7,25,0.5,0,0.47923,1
17,2,10,90,1,1,2.7197,1
18,2,7,25,0.5,0,2.9619,1
19,2,18,25,1,0,1.3491,1
20,2,10,25,0.5,0,0.80134,1
21,2,21,65,1,0,1.4553,0
22,2,7,25,1,1,0.74472,0
23,1,18,25,1,0,0.38807,0
24,2,4,75,1,1,1.272,1
25,2,18,90,1,0,0.65599,0
26,2,4,65,0.068,1,0.29555,1
27,2,21,35,1,1,2.6896,0
28,2,18,25,1,0,1.0929,1
29,1,10,25,0.5,1,0.3587,0
30,2,18,90,0.5,0,0.74033,0
31,1,21,65,1,1,0.61617,1
32,1,7,25,1,1,2.4121,0
33,1,4,75,1,1,1.1578,0
34,2,7,75,0.068,0,0.94586,0
35,2,18,35,0.5,0,2.3368,1
36,1,18,90,1,1,1.1655,1
37,1,4,65,0.068,1,1.6477,0
38,2,4,35,0.5,0,0.38202,1
39,2,10,75,0.068,0,0.77523,0
40,1,21,35,1,1,1.809,1
41,1,18,25,1,1,0.87028,1
42,2,10,90,1,0,1.069,0
43,1,18,90,0.5,1,0.66777,1
44,2,4,65,1,0,1.3184,0
45,1,7,75,0.068,1,2.3241,0
46,2,10,90,0.5,0,0.67929,0
47,2,15,18,0.068,1,0.54679,0
48,2,21,18,1,0,1.5022,1
49,2,21,75,1,0,0.94528,0
50,1,18,35,0.5,1,0.40445,1
51,1,4,35,0.5,1,3.3068,0
52,1,10,75,0.068,1,0.98648,0
53,1,10,90,1,0,0.41349,1
54,1,4,65,1,1,0.67686,0
55,1,10,90,0.5,1,0.9153,0
56,1,15,18,0.068,1,1.1458,1
57,2,21,75,0.068,0,0.59274,0
58,2,21,75,0.5,1,0.37639,1
59,1,21,18,1,1,3.4216,1
60,2,7,25,0.5,0,0.2544,1
61,2,18,90,0.068,0,1,0
62,2,21,65,0.5,1,1.0884,1
63,1,21,75,1,0,1.9361,0
64,1,21,75,0.068,1,0.79585,1
65,2,15,65,0.068,0,0.89009,0
66,1,21,75,0.5,1,1.6681,1
67,1,7,25,0.5,1,1.6969,0
68,2,10,35,0.5,0,5.442,1
69,1,18,90,0.068,1,1.1671,1
70,2,15,25,1,0,2.2613,1
71,2,4,18,0.5,0,1.159,1
72,2,10,90,1,1,0.91359,1
73,1,21,65,0.5,1,1.0992,1
74,1,15,65,0.068,1,1.0346,1
75,1,10,35,0.5,0,0.45705,1
76,1,15,25,1,1,1.7358,1
77,2,7,90,0.5,0,0.96854,0
78,1,4,18,0.5,1,1.1496,0
79,2,15,25,0.068,0,2.3492,1
80,1,10,90,1,1,2.0663,0
81,2,15,18,0.068,0,0.80634,1
82,1,7,90,0.5,1,1.0216,0
83,1,15,25,0.068,1,0.90953,1
84,1,15,18,0.068,1,0.93889,1
85,1,18,90,0.068,1,0.97205,1
86,2,18,90,0.068,0,0.53608,0
87,1,15,65,1,1,0.88199,1
88,1,21,35,1,0,0.84704,0
89,2,15,65,1,1,1.1427,1
90,2,21,35,1,0,0.89485,1
91,2,7,25,0.068,0,0.63264,1
92,2,4,65,0.5,0,0.70848,0
93,1,7,25,0.068,1,1.0989,0
94,1,4,65,0.5,1,4.8594,0
95,2,18,25,0.068,0,0.57384,1
96,2,15,18,1,1,0.59089,0
97,2,7,75,1,0,0.30596,0
98,2,15,18,0.068,1,0.79203,0
99,1,18,25,0.068,0,0.35022,0
100,1,15,18,1,1,1.5152,1
101,2,4,65,0.5,0,1.1369,0
102,2,10,90,0.5,0,1.2898,0
103,1,7,75,1,1,0.97667,0
104,2,7,75,0.5,0,0.89066,0
105,1,15,18,0.068,1,1.0389,1
106,2,7,25,1,0,0.92791,1
107,2,7,65,0.5,0,0.61136,0
108,1,4,65,0.5,0,0.6019,1
109,1,10,90,0.5,1,0.57443,0
110,1,7,75,0.5,1,1.0501,0
111,1,7,25,1,1,3.0462,0
112,1,7,65,0.5,1,3.1018,0
113,2,4,18,1,0,4.3718,1
114,2,10,75,1,0,1.742,0
115,1,4,18,1,1,1.0727,0
116,1,10,75,1,1,2.0205,0
117,2,10,90,0.5,0,0.56366,0
118,1,10,90,0.5,1,0.84599,0
119,2,7,75,1,0,0.92275,0
120,2,18,35,0.068,1,0.60451,0
121,2,4,18,0.5,0,0.0025134,1
122,1,7,75,1,0,1.2845,1
123,1,18,35,0.068,1,0.57677,1
124,2,4,18,0.068,0,0.64594,1
125,2,18,35,1,1,0.65997,0
126,2,10,25,1,0,0.88672,1
127,1,4,18,0.5,1,0.42729,0
128,2,15,18,0.5,0,0.6466,1
129,2,7,90,1,0,1.905,0
130,1,4,18,0.068,1,2.9787,0
131,2,4,75,0.068,0,4.0196,0
132,1,18,35,1,1,0.79973,1
133,2,21,75,1,0,1.8371,0
134,2,15,18,1,0,0.63125,1
135,1,10,25,1,1,3.5181,0
136,2,10,25,0.068,0,1.2504,1
137,1,15,18,0.5,1,0.69837,1
138,1,7,90,1,0,0.62091,1
139,2,10,75,0.5,0,1.2234,0
140,2,21,35,0.068,0,3.6451,1
141,2,4,65,1,0,3.1114,0
142,1,4,75,0.068,1,3.1847,0
143,2,10,90,0.068,0,0.98709,0
144,1,21,75,1,1,0.86085,1
145,1,15,18,1,1,4.9569,1
146,1,10,25,0.068,1,2.0237,0
147,2,7,65,1,0,1.4129,0
148,1,10,75,0.5,1,1.1429,0
149,1,21,35,0.068,1,1.222,1
150,2,10,35,1,0,0.866,1
151,2,15,25,0.5,0,1.3592,1
152,2,4,18,1,0,5.9271,1
153,2,15,18,0.5,0,1.231,1
154,1,4,65,1,0,0.85863,1
155,2,4,35,0.068,0,0.94464,1
156,1,10,90,0.068,1,0.54599,0
157,1,7,65,1,0,0.54057,1
158,1,10,35,1,1,0.47857,0
