Trial Number,TrialTypeN1S2,Nvalue,Svalue,time,KeyPressZsmallMgreater,ReactionTime,Accuracy
1,2,4,25,0.068,1,11.4582,0
2,1,4,25,0.068,0,1.0099,1
3,1,18,65,1,1,1.2062,1
4,1,21,35,0.068,0,4.3606,0
5,1,10,65,0.5,1,2.9883,0
6,1,21,75,0.5,1,0.66099,1
7,2,18,65,1,0,0.64982,0
8,1,21,90,0.5,1,1.3554,1
9,1,18,35,0.068,1,0.75815,1
10,1,15,90,0.5,1,0.66798,1
11,1,7,65,0.5,0,0.92703,1
12,1,18,25,0.068,1,0.76503,1
13,2,21,35,0.068,0,0.78622,1
14,1,15,18,0.068,1,0.78346,1
15,2,10,65,0.5,1,1.0095,1
16,2,21,75,0.5,1,0.50057,1
17,2,21,90,0.5,1,0.47463,1
18,2,18,35,0.068,1,0.69107,0
19,2,15,90,0.5,1,0.68027,1
20,2,7,65,0.5,0,2.0827,0
21,2,18,25,0.068,0,1.0979,1
22,1,4,65,0.5,1,1.55,0
23,2,15,18,0.068,0,0.91285,1
24,1,4,75,1,0,1.2194,1
25,2,4,65,0.5,1,1.0823,1
26,1,7,90,1,0,1.886,1
27,2,4,75,1,1,0.92774,1
28,1,7,18,0.068,1,1.0292,0
29,1,10,65,0.068,0,0.88957,1
30,2,7,90,1,1,1.6305,1
31,2,7,18,0.068,0,0.96367,1
32,2,10,65,0.068,1,0.67942,1
33,1,21,65,0.5,1,0.70936,1
34,2,21,65,0.5,1,0.48776,1
35,1,10,65,1,1,0.0030845,0
36,2,10,65,1,0,1.7121,0
37,1,15,90,0.068,1,0.67963,1
38,2,15,90,0.068,0,0.60341,0
39,2,21,65,1,1,0.44818,1
40,2,18,75,0.5,1,0.73037,1
41,1,21,65,1,1,0.3586,1
42,1,18,75,0.5,1,0.76068,1
43,2,7,35,0.068,0,0.68439,1
44,1,7,35,0.068,1,0.75342,0
45,2,7,90,0.5,1,0.014289,1
46,1,7,90,0.5,0,0.96366,1
47,1,10,75,0.068,1,0.92977,0
48,2,10,75,0.068,0,1.0551,0
49,2,18,75,1,1,0.91465,1
50,1,18,75,1,1,0.91306,1
51,1,7,65,1,0,0.49587,1
52,1,7,90,0.068,1,0.95975,0
53,2,7,65,1,1,1.213,1
54,2,7,90,0.068,1,0.6963,1
55,1,15,25,0.5,1,2.3161,1
56,1,18,65,0.5,1,1.3663,1
57,2,15,25,0.5,0,0.39297,1
58,2,18,65,0.5,1,0.90945,1
59,2,18,75,1,0,0.72325,0
60,1,18,75,1,1,0.21172,1
61,1,10,90,0.5,1,0.62311,0
62,1,10,75,0.068,1,0.69525,0
63,2,10,90,0.5,1,0.58614,1
64,1,18,25,1,1,0.52997,1
65,2,10,75,0.068,1,1.064,1
66,1,21,90,1,1,0.39474,1
67,2,18,25,1,1,0.34492,0
68,2,21,90,1,1,0.56711,1
69,1,4,25,1,0,0.45765,1
70,1,10,25,0.068,0,0.68056,1
71,2,4,25,1,0,0.96843,1
72,2,10,25,0.068,0,0.64687,1
73,2,15,18,0.5,0,1.4525,1
74,1,15,18,0.5,1,0.80614,1
75,2,7,90,1,1,1.478,1
76,2,21,90,0.068,1,0.90878,1
77,1,7,90,1,0,0.77387,1
78,1,21,90,0.068,1,1.3358,1
79,1,7,18,1,0,1.0874,1
80,1,21,90,1,1,0.28837,1
81,1,4,25,0.5,0,0.57479,1
82,2,7,18,1,0,1.1896,1
83,2,21,90,1,1,0.44771,1
84,1,7,90,0.5,0,0.81569,1
85,2,4,25,0.5,0,1.0252,1
86,2,7,90,0.5,1,1.2335,1
87,1,15,18,0.068,1,1.1234,1
88,1,7,18,0.5,1,0.61497,0
89,2,15,18,0.068,0,1.1337,1
90,1,4,35,1,0,0.68464,1
91,2,7,18,0.5,0,0.98291,1
92,1,10,90,1,1,0.45154,0
93,2,4,35,1,0,0.72007,1
94,1,21,35,1,1,0.34372,1
95,2,10,90,1,1,0.62039,1
96,2,21,35,1,1,1.3992,0
97,1,4,25,1,0,0.61446,1
98,1,4,75,0.068,0,1.5417,1
99,2,4,25,1,1,0.076221,0
100,2,4,75,0.068,0,0.44876,0
101,2,15,18,1,1,0.37987,0
102,2,21,35,0.5,0,0.99681,1
103,1,15,18,1,1,0.5593,1
104,2,7,65,0.068,1,0.7467,1
105,2,21,75,0.068,1,0.60839,1
106,1,21,35,0.5,0,0.84445,0
107,2,10,25,1,1,0.72576,0
108,1,7,65,0.068,0,1.2734,1
109,2,21,18,1,0,1.3338,1
110,2,7,35,1,1,0.97471,0
111,1,21,75,0.068,1,1.6335,1
112,2,21,18,0.5,0,0.86169,1
113,1,10,25,1,1,1.1673,0
114,1,21,18,1,1,2.9382,1
115,1,7,35,1,0,0.9881,1
116,1,21,18,0.5,1,0.77437,1
117,1,18,35,0.5,1,0.86467,1
118,2,18,35,0.5,0,1.0989,1
119,2,21,75,1,1,0.30894,1
120,1,21,75,1,1,0.34112,1
121,2,18,65,0.068,1,0.72168,1
122,1,18,65,0.068,1,1.1795,1
123,1,7,90,0.068,0,0.81332,1
124,2,7,90,0.068,1,0.9076,1
125,2,18,75,0.068,1,0.91947,1
126,1,18,75,0.068,1,0.61956,1
127,2,4,35,0.068,0,0.80981,1
128,2,15,90,1,1,0.9574,1
129,1,4,35,0.068,0,0.69228,1
130,2,15,18,0.068,0,0.95292,1
131,1,15,90,1,1,0.51665,1
132,2,10,90,0.068,1,1.8356,1
133,1,15,18,0.068,0,0.71997,0
134,2,4,35,1,0,1.0045,1
135,1,10,90,0.068,1,1.0705,0
136,1,4,35,1,0,3.2532,1
137,1,4,65,0.068,0,0.83431,1
138,1,10,75,0.5,0,1.5485,1
139,2,4,65,0.068,1,0.88833,1
140,1,7,25,1,0,0.89849,1
141,1,7,35,0.5,0,1.0263,1
142,2,10,75,0.5,1,0.54251,1
143,1,18,25,0.5,1,0.80484,1
144,1,15,18,1,1,0.35331,1
145,2,7,25,1,0,0.29364,1
146,1,10,75,0.5,1,0.57446,0
147,1,21,65,0.068,1,0.73075,1
