Trial Number,TrialTypeN1S2,Nvalue,Svalue,time,KeyPressZsmallMgreater,ReactionTime,Accuracy
1,1,18,90,1,1,0.5497,1
2,1,18,75,0.5,1,0.06424,1
3,2,18,90,1,1,4.5604,1
4,2,18,75,0.5,1,0.011707,1
5,1,10,90,1,1,0.012956,0
6,2,10,90,1,1,1.0333,1
7,1,10,35,1,0,0.15244,1
8,2,10,35,1,0,0.12906,1
9,2,18,18,1,0,0.010571,1
10,2,15,25,0.5,0,0.011059,1
11,1,18,18,1,0,0.012485,0
12,2,21,18,0.5,0,0.17426,1
13,1,15,25,0.5,0,0.65402,0
14,1,21,18,0.5,0,1.3258,0
15,1,21,65,0.5,0,2.897,0
16,2,21,65,0.5,0,1.8055,0
17,2,4,65,0.5,0,0.99994,0
18,1,4,65,0.5,0,1.4136,1
19,1,10,65,0.068,1,3.5936,0
20,1,18,25,1,0,0.041058,0
21,1,15,25,1,0,3.5439,0
22,1,21,35,0.068,0,1.146,0
23,1,10,35,0.068,0,7.0478,1
24,1,4,65,0.5,0,6.4088,1
25,2,10,65,0.068,1,0.2122,1
26,2,18,25,1,0,0.0098096,1
27,2,15,25,1,0,4.0687,1
28,1,7,90,0.5,0,0.15525,1
29,1,4,75,0.5,0,1.4014,1
30,2,21,35,0.068,1,0.58283,0
31,2,10,35,0.068,0,1.1125,1
32,2,4,65,0.5,1,0.0087876,1
33,2,7,90,0.5,1,1.3449,1
34,1,18,90,0.5,1,2.3016,1
35,1,18,75,1,1,3.5689,1
36,2,4,75,0.5,1,4.7027,1
37,1,10,35,0.5,0,0.0092267,1
38,1,4,18,0.5,0,0.010652,1
39,2,18,90,0.5,0,0.79809,0
40,1,18,25,0.5,1,0.78664,1
41,1,21,35,1,1,0.81503,1
42,2,18,75,1,1,1.059,1
43,1,21,65,1,1,0.75646,1
44,1,21,75,0.5,1,0.0061897,1
45,2,10,35,0.5,0,0.076711,1
46,1,10,35,0.068,0,0.40845,1
47,1,4,65,1,1,0.062598,0
48,2,4,18,0.5,1,0.6221,0
49,2,18,25,0.5,1,0.010609,0
50,2,21,35,1,0,0.12601,1
51,1,18,18,0.5,0,0.01069,0
52,1,15,90,0.068,0,0.22605,0
53,1,15,25,0.5,0,0.012682,0
54,2,21,65,1,0,0.011745,0
55,2,21,75,0.5,0,0.1246,0
56,1,15,25,0.068,0,0.39817,0
57,2,10,35,0.068,0,0.18526,1
58,2,4,65,1,1,0.019636,1
59,1,4,65,0.5,1,0.011646,0
60,2,18,18,0.5,0,0.040796,1
61,2,15,90,0.068,1,0.3105,1
62,1,21,75,0.068,1,0.42436,1
63,1,21,65,0.068,1,0.40361,1
64,2,15,25,0.5,0,0.028095,1
65,1,10,35,0.068,1,0.24244,0
66,2,15,25,0.068,0,0.35098,1
67,2,4,65,0.5,0,0.0086685,0
68,2,21,75,0.068,1,0.40511,1
69,1,18,18,0.5,0,0.39692,0
70,2,21,65,0.068,0,0.33019,0
71,1,7,75,1,1,0.12147,0
72,2,10,35,0.068,0,1.2377,1
73,1,4,25,1,0,0.010737,1
74,1,15,90,0.5,1,6.4116,1
75,1,7,90,1,1,2.1071,0
76,2,18,18,0.5,0,0.010542,1
77,1,21,35,0.5,0,1.1279,0
78,2,7,75,1,0,4.9494,0
79,1,4,65,0.068,1,1.1655,0
80,1,21,18,0.068,1,9.6284,1
81,1,21,25,0.068,1,1.5185,1
82,2,4,25,1,0,1.6706,1
83,1,21,75,1,1,0.20347,1
84,1,4,75,1,1,0.11104,0
85,2,15,90,0.5,1,0.015155,1
86,2,7,90,1,1,0.013037,1
87,1,15,25,0.068,1,0.98558,1
88,2,21,35,0.5,1,0.047646,0
89,2,4,65,0.068,0,0.61582,0
90,2,21,18,0.068,0,0.21314,1
91,1,18,25,0.068,0,0.36502,0
92,2,21,25,0.068,0,0.38595,1
93,1,4,25,0.5,0,0.010591,1
94,1,18,18,0.068,0,0.28975,0
95,1,21,35,0.5,0,0.52412,0
96,2,21,75,1,1,0.10607,1
97,2,4,75,1,1,0.09029,1
98,1,21,18,1,0,0.71203,0
99,2,15,25,0.068,0,0.5131,1
100,2,18,25,0.068,0,0.5366,1
101,2,4,25,0.5,0,0.14649,1
102,2,18,18,0.068,0,0.18449,1
103,2,21,35,0.5,1,0.073764,0
104,1,15,75,1,1,0.12753,1
105,2,21,18,1,0,0.010325,1
106,2,15,75,1,1,0.10089,1
107,1,15,25,0.068,0,0.50192,0
108,2,15,25,0.068,1,0.10019,0
109,1,10,35,1,0,0.27566,1
110,1,10,65,1,0,3.457,1
111,1,4,65,1,1,0.070161,0
112,1,7,18,0.068,0,0.27259,1
113,2,10,35,1,1,0.031435,0
114,2,10,65,1,1,0.011736,1
115,2,4,65,1,0,0.01312,0
116,1,21,25,0.5,0,0.48179,0
117,1,7,65,0.068,1,0.26336,0
118,2,7,18,0.068,1,0.017219,0
119,2,21,25,0.5,0,0.011073,1
120,1,7,75,1,1,0.011094,0
121,1,18,18,0.068,1,0.42327,1
122,2,7,65,0.068,1,0.27041,1
123,2,7,75,1,1,0.094462,1
124,2,18,18,0.068,0,0.62813,1
125,2,18,18,1,0,1.3397,1
126,2,10,35,0.5,0,1.5226,1
127,2,18,90,0.068,1,10.9844,1
128,1,18,18,1,1,7.9584,1
129,2,18,90,1,1,0.31085,1
130,2,7,18,0.5,0,1.0216,1
131,1,10,35,0.5,1,2.049,0
132,2,7,18,0.5,1,2.3924,0
133,1,18,90,0.068,1,0.43762,1
134,2,7,75,0.5,1,0.010326,1
135,2,10,35,1,0,2.0703,1
136,1,18,90,1,1,0.58446,1
137,1,7,18,0.5,0,0.11506,1
138,1,7,18,0.5,0,0.012462,1
139,2,10,65,0.5,1,0.012673,1
140,1,7,75,0.5,1,0.035949,0
141,1,10,35,1,0,0.21982,1
142,2,18,90,0.068,1,0.96912,1
143,1,10,65,0.5,1,0.010374,0
144,2,4,65,0.068,1,0.43995,1
145,1,18,90,0.068,1,0.34559,1
146,2,7,65,0.5,1,1.5676,1
147,2,7,90,0.068,1,0.39885,1
148,1,4,65,0.068,0,0.18979,1
149,2,15,75,0.068,1,0.22768,1
150,1,7,65,0.5,1,0.30104,0
151,1,7,90,0.068,0,0.182,1
152,2,4,18,1,0,0.33665,1
153,1,15,75,0.068,1,0.48505,1
154,1,4,18,1,0,0.29674,1
155,1,7,18,1,0,0.11276,1
156,2,7,18,1,0,1.3006,1
157,2,7,75,0.5,1,1.2079,1
158,1,7,75,0.5,0,0.01363,1
159,2,15,75,0.5,1,0.17209,1
160,1,15,75,0.5,1,0.011375,1
161,1,4,18,0.068,1,0.31744,0
162,1,15,90,1,1,0.083182,1
163,2,4,18,0.068,1,0.3459,0
164,1,15,90,1,0,0.20388,0
165,1,10,90,0.5,0,0.13304,1
166,1,21,25,1,0,0.83596,0
167,2,15,90,1,1,0.76456,1
168,1,15,25,0.5,0,0.47311,0
169,1,4,65,0.068,0,0.61939,1
170,1,21,35,0.068,1,0.32309,1
171,1,7,65,1,1,0.92319,0
172,2,15,90,1,1,0.089833,1
173,2,10,90,0.5,1,0.28876,1
174,2,21,25,1,0,0.0086025,1
175,2,15,25,0.5,0,0.012677,1
176,1,4,75,0.068,0,6.1561,1
177,1,15,90,0.5,0,4.0859,0
178,1,21,35,1,0,2.3964,0
179,1,18,90,0.5,1,2.0415,1
180,2,4,65,0.068,0,0.56211,0
181,2,21,35,0.068,1,0.26243,0
182,2,7,65,1,1,0.5625,1
183,2,4,75,0.068,0,0.42808,0
184,2,15,90,0.5,1,0.062939,1
185,1,7,18,0.068,0,0.80258,1
186,1,7,18,1,0,0.41515,1
187,2,21,35,1,0,0.20158,1
188,2,18,90,0.5,1,0.33391,1
189,1,4,65,1,1,0.48133,0
190,2,7,18,0.068,0,0.60509,1
191,1,7,75,0.068,1,0.58718,0
192,2,7,18,1,0,0.012744,1
193,2,4,65,1,1,0.074422,1
194,1,4,25,0.068,0,0.39738,1
195,2,7,75,0.068,1,0.65545,1
196,1,10,90,0.068,1,0.45465,0
197,1,15,90,0.068,1,0.37001,1
198,2,4,25,0.068,1,0.77171,0
199,1,10,35,0.5,0,0.071502,1
200,2,10,90,0.068,1,0.37132,1
201,1,18,75,0.068,1,0.4527,1
202,1,10,35,0.068,1,0.43783,0
203,1,7,75,0.068,1,0.48538,0
204,2,15,90,0.068,1,0.35538,1
205,2,10,35,0.5,1,0.099627,0
206,1,15,25,1,0,6.3592,0
207,1,15,25,1,0,0.53059,0
208,2,18,75,0.068,0,0.45949,0
209,2,10,35,0.068,0,0.50707,1
210,2,7,75,0.068,0,0.38914,0
211,2,15,25,1,0,0.10519,1
212,1,10,35,1,0,0.35823,1
213,1,10,35,0.5,1,0.43802,0
214,2,15,25,1,0,0.012238,1
215,2,10,35,1,0,1.4054,1
216,2,10,35,0.5,1,3.3025,0
