Trial Number,TrialTypeN1S2,Nvalue,Svalue,time,KeyPressZsmallMgreater,ReactionTime,Accuracy
1,2,15,65,1,1,1.0049,1
2,2,7,75,0.068,1,0.64501,1
3,2,15,65,0.068,1,0.55895,1
4,2,7,65,1,1,0.69047,1
5,2,4,25,0.5,0,0.52777,1
6,2,18,35,1,0,0.96921,1
7,1,15,65,1,1,0.87916,1
8,1,7,75,0.068,0,0.74419,1
9,1,15,65,0.068,1,0.84184,1
10,2,21,18,0.5,0,0.57639,1
11,2,7,25,0.068,0,0.58472,1
12,1,7,65,1,0,1.7122,1
13,2,7,75,1,0,0.58464,0
14,2,7,75,0.5,1,0.32185,1
15,2,4,65,1,0,0.42052,0
16,2,10,65,1,1,0.30446,1
17,2,7,90,0.068,1,0.55109,1
18,2,10,75,0.5,1,0.69454,1
19,2,18,35,0.5,0,0.56041,1
20,1,4,25,0.5,0,0.5816,1
21,1,18,35,1,1,0.34462,1
22,1,21,18,0.5,1,0.42175,1
23,2,4,65,0.5,0,0.51887,0
24,1,7,25,0.068,1,0.75161,0
25,2,18,35,0.5,0,0.66884,1
26,2,21,25,0.068,0,1.0604,1
27,2,18,75,0.5,1,0.82266,1
28,2,21,90,0.5,1,0.32247,1
29,2,7,75,0.068,1,0.47772,1
30,2,15,18,1,0,0.4226,1
31,1,7,75,1,0,1.0957,1
32,1,7,75,0.5,1,1.013,0
33,2,21,35,0.5,0,0.61811,1
34,1,4,65,1,0,0.69617,1
35,2,4,75,0.5,1,1.8544,1
36,1,10,65,1,0,1.2434,1
37,2,15,18,0.068,0,0.78731,1
38,1,7,90,0.068,0,1.0342,1
39,1,10,75,0.5,1,0.78327,0
40,1,18,35,0.5,1,0.35693,1
41,2,10,75,0.068,1,0.83641,1
42,1,4,65,0.5,0,0.66663,1
43,2,10,75,0.5,0,1.2955,0
44,2,18,75,0.068,1,1.2479,1
45,1,18,35,0.5,1,0.70648,1
46,2,7,35,0.068,0,0.46375,1
47,2,21,35,1,0,0.5724,1
48,1,21,25,0.068,1,2.4224,1
49,2,4,18,0.068,0,1.0501,1
50,1,18,75,0.5,1,0.95893,1
51,1,21,90,0.5,1,0.97302,1
52,1,7,75,0.068,1,2.2658,0
53,1,15,18,1,1,1.2851,1
54,1,21,35,0.5,1,0.60478,1
55,1,4,75,0.5,1,4.2138,0
56,2,21,18,1,0,1.2904,1
57,2,10,65,0.5,0,2.0429,0
58,1,15,18,0.068,1,1.4796,1
59,2,15,18,0.5,0,0.69329,1
60,2,18,25,0.068,0,0.84705,1
61,2,7,90,0.5,1,1.833,1
62,1,10,75,0.068,0,1.7118,1
63,2,4,25,1,0,1.8631,1
64,1,10,75,0.5,1,0.91581,0
65,2,18,75,1,1,0.37822,1
66,1,18,75,0.068,1,0.99888,1
67,2,10,75,0.068,1,0.82935,1
68,1,7,35,0.068,1,4.5044,0
69,2,18,25,1,0,0.66675,1
70,1,21,35,1,1,1.2308,1
71,1,4,18,0.068,1,1.4811,0
72,2,18,25,0.5,0,0.50883,1
73,1,21,18,1,1,0.71135,1
74,2,10,90,0.068,1,1.5403,1
75,2,4,18,1,0,0.38815,1
76,1,10,65,0.5,1,0.64296,0
77,2,7,35,0.5,0,1.2073,1
78,2,7,90,1,1,0.85241,1
79,1,15,18,0.5,0,1.6183,0
80,1,18,25,0.068,1,0.48511,1
81,1,7,90,0.5,1,0.75626,0
82,2,10,90,0.068,1,0.72657,1
83,1,4,25,1,0,0.2781,1
84,1,18,75,1,1,0.65021,1
85,2,15,18,0.5,0,0.5037,1
86,1,10,75,0.068,1,0.61735,0
87,1,18,25,1,1,1.1567,1
88,2,15,18,1,0,0.59505,1
89,1,18,25,0.5,1,1.3652,1
90,2,18,35,0.068,0,1.4772,1
91,2,7,65,0.068,1,1.1249,1
92,1,10,90,0.068,1,0.72583,0
93,2,18,18,1,0,0.36514,1
94,2,21,25,1,0,0.79504,1
95,1,4,18,1,0,0.33921,1
96,2,7,75,1,1,0.82936,1
97,2,21,25,1,0,0.47851,1
98,2,10,90,0.5,1,0.77669,1
99,2,18,90,0.5,1,0.56433,1
100,1,7,35,0.5,0,0.59515,1
101,2,7,25,1,0,0.63231,1
102,1,7,90,1,1,0.35255,0
103,2,15,18,0.5,0,0.37253,1
104,2,15,18,0.068,0,0.41498,1
105,1,10,90,0.068,1,0.48902,0
106,2,10,65,0.068,1,0.75816,1
107,2,21,90,0.068,1,0.7469,1
108,1,15,18,0.5,0,0.92478,0
109,2,7,25,0.5,0,0.6895,1
