Trial Number,TrialTypeN1S2,Nvalue,Svalue,time,KeyPressZsmallMgreater,ReactionTime,Accuracy
1,1,15,18,1,1,4.1622,1
2,1,21,65,0.5,1,9.5185,1
3,2,15,18,1,0,5.2423,1
4,2,21,65,0.5,1,6.0928,1
5,1,15,18,0.068,0,7.947,0
6,1,4,90,0.5,1,4.8111,0
7,1,10,65,0.5,0,3.8126,1
8,1,15,75,0.068,0,12.0332,0
9,2,15,18,0.068,0,7.0085,1
10,2,4,90,0.5,1,6.6987,1
11,1,15,75,0.5,0,12.5622,0
12,1,21,90,0.5,1,5.3248,1
13,2,10,65,0.5,1,10.0241,1
14,1,18,25,0.068,0,8.1139,0
15,2,15,75,0.068,1,4.9313,1
16,2,15,75,0.5,1,3.2133,1
17,1,4,65,1,0,5.6576,1
18,2,21,90,0.5,1,2.8738,1
19,1,4,65,0.5,0,3.8928,1
20,2,18,25,0.068,0,5.6435,1
21,1,18,65,0.5,1,12.3718,1
22,1,18,35,1,1,11.3483,1
23,2,4,65,1,1,2.5512,1
24,2,4,65,0.5,1,4.8712,1
25,1,21,18,0.068,1,2.5368,1
26,2,18,65,0.5,1,17.8013,1
27,1,21,35,0.5,1,2.8453,1
28,1,15,90,0.5,0,5.3113,0
29,1,15,75,0.5,1,5.4622,1
30,1,10,18,0.5,0,2.6115,1
31,2,18,35,1,1,5.2825,0
32,2,21,18,0.068,0,7.088,1
33,2,21,35,0.5,1,1.9446,0
34,2,15,90,0.5,1,1.8611,1
35,2,15,75,0.5,1,7.2886,1
36,2,10,18,0.5,0,1.5307,1
37,1,21,18,0.5,1,1.7138,1
38,1,7,75,0.068,0,2.3866,1
39,1,7,18,0.5,0,1.9001,1
40,1,18,65,1,1,1.7319,1
41,1,18,65,0.068,0,1.7218,0
42,2,21,18,0.5,0,2.4134,1
43,2,7,75,0.068,1,1.5627,1
44,2,7,18,0.5,0,2.3634,1
45,1,10,18,1,0,2.4834,1
46,1,10,65,1,0,1.813,1
47,2,18,65,1,1,1.1483,1
48,2,18,65,0.068,1,1.4344,1
49,2,10,18,1,0,0.99179,1
50,1,4,25,1,0,2.6747,1
51,1,21,18,1,1,1.5873,1
52,1,18,90,1,1,3.3395,1
53,1,7,90,0.068,0,1.2552,1
54,1,10,65,0.068,0,2.6682,1
55,1,7,75,0.5,0,4.099,1
56,2,10,65,1,1,1.5311,1
57,1,4,25,0.068,0,1.9358,1
58,1,10,18,1,1,1.3815,0
59,2,4,25,1,0,1.5575,1
60,1,7,75,1,1,5.2926,0
61,2,21,18,1,0,1.2147,1
62,1,21,90,1,1,1.4559,1
63,1,18,35,0.5,1,1.5062,1
64,1,15,35,1,1,0.95982,1
65,2,18,90,1,1,2.0504,1
66,2,7,90,0.068,0,1.4625,0
67,1,15,75,1,1,2.3186,1
68,2,10,65,0.068,1,1.4109,1
69,2,7,75,0.5,1,1.0811,1
70,1,7,35,0.068,1,2.4155,0
71,1,7,35,0.5,1,0.76374,0
72,1,4,65,0.068,0,1.2989,1
73,1,10,65,1,1,1.5863,0
74,1,18,75,1,1,0.99424,1
75,1,10,18,0.5,1,0.95919,0
76,2,4,25,0.068,0,0.7935,1
77,2,10,18,1,0,0.80558,1
78,1,18,25,0.5,1,0.909,1
79,1,21,35,1,1,1.8684,1
80,2,7,75,1,0,0.67625,0
81,2,21,90,1,1,0.6214,1
82,2,18,35,0.5,1,0.92059,0
83,2,15,35,1,1,0.93518,0
84,1,21,90,0.5,1,1.3289,1
85,2,15,75,1,1,1.5829,1
86,1,21,90,0.068,1,154.4067,1
87,2,7,35,0.068,0,1.8903,1
88,2,7,35,0.5,0,1.4085,1
89,1,4,25,1,0,1.6202,1
90,1,7,75,1,0,3.5302,1
91,2,4,65,0.068,1,1.4559,1
92,1,21,18,0.5,1,0.60289,1
93,2,10,65,1,1,1.524,1
94,1,15,35,0.068,1,1.1476,1
95,1,4,25,0.5,0,2.0609,1
96,1,18,75,0.5,1,0.99003,1
97,1,15,35,0.5,1,179.0013,1
98,1,4,25,0.068,0,1.9989,1
99,2,18,75,1,1,0.80316,1
100,2,10,18,0.5,0,1.9362,1
101,1,7,75,0.5,0,5.233,1
102,2,18,25,0.5,0,5.9655,1
103,2,21,35,1,1,1.3814,0
104,1,15,75,0.068,1,1.4948,1
105,2,21,90,0.5,1,1.2452,1
106,2,21,90,0.068,1,0.68702,1
107,2,4,25,1,0,1.1557,1
108,1,7,35,1,1,0.91894,0
109,1,4,90,1,0,1.4058,1
110,2,7,75,1,1,1.2313,1
111,2,21,18,0.5,0,2.222,1
112,1,21,90,0.068,1,1.9096,1
113,2,15,35,0.068,0,1.3573,1
114,2,4,25,0.5,0,1.5402,1
115,2,18,75,0.5,1,1.1266,1
116,1,18,35,1,1,20.5315,1
117,1,4,65,0.068,0,1.5655,1
118,1,21,65,1,1,1.0641,1
119,1,4,90,0.068,0,1.0134,1
120,2,15,35,0.5,1,1.5788,0
121,1,18,35,0.068,1,1.2155,1
122,2,4,25,0.068,0,1.0342,1
123,2,7,75,0.5,1,1.1498,1
124,1,10,25,0.068,1,2.6942,0
125,2,15,75,0.068,1,1.0781,1
126,1,18,90,0.5,1,3.1441,1
127,2,7,35,1,0,0.67304,1
128,1,21,90,1,1,0.88074,1
129,2,4,90,1,1,0.95406,1
130,1,15,90,1,1,0.5697,1
131,2,21,90,0.068,1,1.3045,1
132,1,21,35,0.068,1,82.916,1
133,1,7,90,0.5,0,1.8638,1
134,2,18,35,1,0,4.7577,1
135,2,4,65,0.068,1,1.181,1
136,2,21,65,1,1,1.1147,1
137,1,21,65,0.068,1,0.94691,1
138,1,4,65,0.5,0,0.6218,1
139,1,21,18,1,1,0.42728,1
140,1,10,25,0.5,1,0.6642,0
141,1,4,25,0.068,0,1.1109,1
142,2,4,90,0.068,1,0.98849,1
143,2,18,35,0.068,1,2.0739,0
144,1,18,35,0.068,1,3.9961,1
145,2,10,25,0.068,0,1.1323,1
146,2,18,90,0.5,1,0.97177,1
147,1,7,18,1,0,1.8639,1
148,1,15,90,0.068,1,366.3353,1
149,1,15,18,0.5,1,1.4677,1
150,1,10,65,0.5,0,3.1789,1
151,2,21,90,1,1,0.71849,1
152,1,4,65,1,0,2.4968,1
153,1,18,35,0.5,1,2.1197,1
154,2,15,90,1,1,1.3295,1
155,2,21,35,0.068,1,79.4719,0
156,2,7,90,0.5,1,1.3173,1
157,1,15,75,1,1,1.1725,1
158,2,21,65,0.068,1,1.1287,1
159,1,18,75,0.068,1,3.6063,1
160,2,4,65,0.5,1,1.97,1
161,2,21,18,1,0,211.417,1
162,1,7,35,1,0,1.6301,1
163,2,10,25,0.5,0,1.1196,1
164,1,7,35,0.5,0,1.1491,1
165,2,4,25,0.068,0,0.96455,1
166,2,18,35,0.068,1,9.7897,0
167,2,7,18,1,0,0.80678,1
168,2,15,90,0.068,1,22.3626,1
169,2,15,18,0.5,0,343.8334,1
170,2,10,65,0.5,1,0.81353,1
171,1,10,25,0.068,1,1.2603,0
172,1,7,90,1,0,3.9893,1
173,1,10,18,0.068,1,25.8262,0
174,2,4,65,1,1,1.1151,1
175,2,18,35,0.5,0,2.2272,1
176,1,21,18,0.068,1,0.86608,1
177,1,7,75,0.068,0,2.2952,1
178,2,15,75,1,1,0.94055,1
179,2,18,75,0.068,1,1.4035,1
180,2,7,35,1,1,2.2173,0
181,2,7,35,0.5,0,3.4213,1
182,2,10,25,0.068,1,1.0652,0
183,1,10,18,0.068,1,0.72385,0
184,2,7,90,1,1,0.75914,1
185,2,10,18,0.068,0,0.88868,1
186,2,21,18,0.068,0,1.0957,1
187,2,7,75,0.068,0,1.0956,0
188,2,10,18,0.068,0,0.98219,1
189,1,7,35,0.068,0,1.1023,1
190,1,18,90,0.068,1,1.6314,1
191,1,10,25,1,1,2.1358,0
192,2,7,35,0.068,0,61.2533,1
193,1,7,18,0.068,0,1.0828,1
194,2,18,90,0.068,1,1.4229,1
195,2,10,25,1,0,0.89377,1
196,1,4,25,0.5,0,0.99625,1
197,2,7,18,0.068,0,0.80078,1
198,2,4,25,0.5,0,0.54577,1
199,2,10,25,0.5,0,0.63324,1
200,1,10,25,0.5,1,2.0232,0
201,1,10,25,1,0,0.90375,1
202,2,10,25,1,0,1.1112,1
203,2,15,75,1,1,0.46826,1
204,1,15,75,1,1,0.7066,1
205,1,15,75,0.5,1,1.1156,1
206,1,4,25,0.5,0,1.041,1
207,2,15,75,0.5,1,0.89039,1
208,2,4,25,0.5,0,1.0795,1
209,1,18,25,1,1,0.42717,1
210,2,18,25,1,1,0.83496,0
211,1,10,65,0.068,0,1.8674,1
212,1,15,75,0.068,1,0.73826,1
213,1,4,25,1,0,0.59991,1
214,2,10,65,0.068,1,1.087,1
215,2,15,75,0.068,1,0.9766,1
216,2,4,25,1,0,1.0868,1
