Trial Number,TrialTypeN1S2,Nvalue,Svalue,time,KeyPressZsmallMgreater,ReactionTime,Accuracy
1,2,10,90,0.5,1,1.3889,1
2,2,15,18,0.068,1,3.7783,0
3,1,10,90,0.5,0,1.9608,1
4,1,15,18,0.068,1,1.0783,1
5,2,4,25,0.068,0,0.86607,1
6,1,4,25,0.068,0,0.72113,1
7,2,7,75,0.068,1,0.86349,1
8,1,7,75,0.068,0,0.17933,1
9,1,10,65,1,1,0.37459,0
10,1,7,25,0.5,0,0.078968,1
11,2,10,65,1,1,0.92657,1
12,2,7,25,0.5,0,0.77261,1
13,2,7,90,0.068,1,1.3233,1
14,2,7,75,0.5,1,6.0506,1
15,1,7,90,0.068,0,8.7095,1
16,1,7,75,0.5,0,1.1463,1
17,1,21,35,0.5,1,0.40667,1
18,1,7,25,0.068,0,1.3886,1
19,2,21,35,0.5,1,1.4308,0
20,1,21,75,1,0,0.90668,0
21,2,7,25,0.068,0,0.95309,1
22,1,10,35,1,1,1.3546,0
23,2,21,75,1,1,11.9097,1
24,1,4,65,1,0,0.96988,1
25,1,10,90,1,1,0.78227,0
26,2,10,35,1,0,1.1198,1
27,2,4,65,1,0,1.1678,0
28,1,18,65,0.068,1,0.22476,1
29,1,4,25,0.5,1,0.54417,0
30,1,4,25,0.068,0,0.70869,1
31,1,21,18,0.5,1,0.58813,1
32,2,10,90,1,1,0.79736,1
33,2,18,65,0.068,1,6.4573,1
34,1,15,25,1,1,3.4772,1
35,2,4,25,0.5,0,2.2682,1
36,1,15,25,0.068,0,2.1354,0
37,2,4,25,0.068,1,1.6366,0
38,2,21,18,0.5,0,0.78646,1
39,2,15,25,1,1,1.0498,0
40,1,4,25,1,0,0.81137,1
41,1,10,18,0.5,1,0.88747,0
42,1,15,35,0.068,1,0.98754,1
43,1,21,18,1,1,0.83702,1
44,1,18,90,1,1,2.2751,1
45,1,10,90,0.068,0,5.1026,1
46,2,15,25,0.068,1,1.4085,0
47,2,4,25,1,0,0.0035038,1
48,2,10,18,0.5,0,1.2355,1
49,1,18,75,0.068,1,0.92598,1
50,1,10,65,1,1,0.81117,0
51,2,15,35,0.068,0,1.2563,1
52,2,21,18,1,0,0.74423,1
53,1,18,65,0.5,1,0.67205,1
54,1,4,90,0.068,0,1.2656,1
55,2,18,90,1,1,0.96694,1
56,2,10,90,0.068,1,1.2727,1
57,2,18,75,0.068,1,1.4086,1
58,2,10,65,1,0,0.72071,0
59,1,10,90,0.068,1,0.81718,0
60,1,18,35,1,1,0.90113,1
61,2,18,65,0.5,1,0.69877,1
62,1,15,90,0.068,1,0.63299,1
63,2,4,90,0.068,0,1.5695,0
64,2,10,90,0.068,1,0.62609,1
65,1,10,90,1,1,1.0477,0
66,1,4,25,1,0,1.4583,1
67,2,18,35,1,1,1.2001,0
68,1,4,90,0.5,0,0.8429,1
69,2,15,90,0.068,1,0.59781,1
70,1,15,75,0.068,1,0.90684,1
71,2,10,90,1,0,0.8714,0
72,1,15,35,1,1,0.54938,1
73,2,4,25,1,0,0.40797,1
74,2,4,90,0.5,0,1.2306,0
75,2,15,75,0.068,1,0.52386,1
76,1,15,25,1,0,0.0028507,0
77,1,10,35,0.5,1,0.5576,0
78,1,7,25,1,0,0.89967,1
79,1,7,35,1,0,1.1423,1
80,1,7,35,0.068,0,0.81946,1
81,2,15,35,1,1,0.33669,0
