Trial Number,TrialTypeN1S2,Nvalue,Svalue,time,KeyPressZsmallMgreater,ReactionTime,Accuracy
1,2,10,65,0.068,0,2.5866,0
2,1,10,65,0.068,0,1.3268,1
3,2,18,75,0.5,1,0.82964,1
4,2,15,75,1,1,1.1452,1
5,1,18,75,0.5,0,3.0755,0
6,1,15,75,1,0,1.1455,0
7,2,7,25,0.5,0,1.09,1
8,2,7,65,0.5,1,0.82901,1
9,1,7,25,0.5,0,1.0992,1
10,2,18,75,0.068,1,0.75357,1
11,1,7,65,0.5,0,1.0162,1
12,2,21,18,0.068,0,0.64969,1
13,1,18,75,0.068,0,0.77458,0
14,1,21,18,0.068,1,1.1187,1
15,1,15,25,0.5,0,0.85501,0
16,2,15,25,0.5,0,0.9831,1
17,1,4,90,1,0,0.80096,1
18,2,4,90,1,1,0.63437,1
19,2,7,65,0.068,1,0.9554,1
20,2,4,90,0.5,1,0.96507,1
21,2,10,65,0.5,1,1.9228,1
22,1,7,65,0.068,0,1.0446,1
23,2,18,18,0.068,0,1.5492,1
24,2,15,35,1,0,1.315,1
25,2,18,18,0.068,0,0.91858,1
26,1,4,90,0.5,1,2.438,0
27,2,21,90,1,1,0.78683,1
28,1,10,65,0.5,1,0.89886,0
29,2,4,75,0.5,0,0.31162,0
30,1,18,18,0.068,0,1.2634,0
31,1,15,35,1,1,3.4383,1
32,2,21,18,1,1,1.034,0
33,2,10,75,0.068,1,1.1265,1
34,2,10,65,0.068,1,1.295,1
35,2,4,75,0.068,1,1.2995,1
36,2,18,25,0.5,0,1.3443,1
37,2,18,25,1,0,0.69072,1
38,1,18,18,0.068,1,1.6916,1
39,1,21,90,1,1,1.8289,1
40,2,4,75,0.068,1,1.1478,1
41,1,4,75,0.5,0,1.2017,1
42,1,21,18,1,0,0.68253,0
43,1,10,75,0.068,1,0.78667,0
44,2,18,75,1,1,1.1474,1
45,1,10,65,0.068,0,1.1243,1
46,1,4,75,0.068,0,1.3474,1
47,1,18,25,0.5,1,0.97488,1
48,1,18,25,1,0,2.1927,0
49,1,4,75,0.068,0,0.89682,1
50,1,18,75,1,1,0.94818,1
51,2,4,35,0.5,1,1.3523,0
52,1,4,35,0.5,0,0.92413,1
53,2,18,25,0.5,0,1.2771,1
54,2,18,25,0.068,0,2.7562,1
55,2,21,18,1,0,1.1676,1
56,2,4,35,1,0,1.3514,1
57,1,18,25,0.5,1,2.1431,1
58,2,21,18,0.068,0,0.86207,1
59,2,21,25,1,0,2.0625,1
60,1,18,25,0.068,0,1.1297,0
61,2,7,35,0.068,1,1.3025,0
62,2,18,18,1,0,1.0995,1
63,2,18,25,0.5,0,1.1879,1
64,1,21,18,1,0,1.4651,0
65,1,4,35,1,0,0.79034,1
66,2,15,35,1,0,1.4976,1
67,2,10,65,0.5,0,0.98243,0
68,1,21,18,0.068,0,2.6963,0
69,2,21,18,0.5,0,1.3941,1
70,1,21,25,1,1,1.228,1
71,2,18,25,1,0,0.74254,1
72,1,7,35,0.068,1,0.69153,0
73,2,15,75,0.5,1,0.86187,1
74,2,7,65,0.5,1,0.74276,1
75,1,18,18,1,1,0.7705,1
76,2,4,18,1,0,1.1117,1
77,2,15,75,0.5,1,0.66349,1
78,1,18,25,0.5,1,1.0301,1
79,1,15,35,1,1,0.99927,1
80,1,10,65,0.5,0,1.2748,1
81,1,21,18,0.5,1,1.7138,1
82,2,4,90,0.068,1,0.77711,1
83,2,15,65,0.5,1,1.3247,1
84,1,18,25,1,1,0.51736,1
85,2,4,75,0.5,1,0.65063,1
86,2,18,25,0.068,0,1.1462,1
87,2,7,90,0.068,1,0.68575,1
88,2,10,65,0.068,1,0.69562,1
89,1,15,75,0.5,0,0.8479,0
