Trial Number,TrialTypeN1S2,Nvalue,Svalue,time,KeyPressZsmallMgreater,ReactionTime,Accuracy
1,2,4,75,1,1,0.6731,1
2,2,18,35,0.068,0,0.97175,1
3,1,4,75,1,0,2.5468,1
4,2,18,35,1,1,1.5006,0
5,1,18,35,0.068,1,0.90472,1
6,1,18,35,1,1,0.43941,1
7,2,4,90,0.5,1,0.73387,1
8,1,4,90,0.5,0,1.9783,1
9,2,7,65,0.068,1,0.75101,1
10,2,15,75,0.5,1,0.83892,1
11,1,7,65,0.068,1,1.0909,0
12,1,15,75,0.5,1,0.58162,1
13,2,21,25,0.068,0,0.50615,1
14,2,7,25,1,0,0.5837,1
15,1,21,25,0.068,1,0.85763,1
16,1,7,25,1,1,2.1848,0
17,1,10,90,0.5,1,1.5745,0
18,1,7,25,1,1,1.5944,0
19,2,10,90,0.5,1,0.70823,1
20,2,7,25,1,1,2.8589,0
21,2,4,35,0.068,0,1.4848,1
22,2,21,18,0.068,0,1.5126,1
23,1,4,35,0.068,0,1.0869,1
24,1,21,18,0.068,1,0.72679,1
25,1,4,18,0.068,1,2.5385,0
26,2,4,18,0.068,0,0.62276,1
27,1,10,35,0.5,1,0.98706,0
28,2,10,35,0.5,0,1.0942,1
29,2,7,90,1,1,1.2649,1
30,1,7,90,1,0,2.0362,1
31,1,15,75,0.5,0,1.049,0
32,2,15,75,0.5,1,1.6101,1
33,1,7,18,1,1,0.84335,0
34,1,10,90,1,0,2.9769,1
35,1,21,65,0.5,1,1.3709,1
36,2,7,18,1,0,2.6134,1
37,1,15,75,0.068,1,0.9632,1
38,1,21,90,0.068,1,1.6186,1
39,2,10,90,1,1,0.90269,1
40,2,21,65,0.5,1,1.1039,1
41,2,15,75,0.068,1,0.78002,1
42,2,21,90,0.068,1,0.56901,1
43,1,15,75,0.068,1,1.1663,1
44,2,15,75,0.068,1,0.51987,1
45,1,15,75,0.5,1,0.85184,1
46,1,10,65,0.5,1,0.81738,0
47,1,18,25,0.068,1,0.48231,1
48,1,10,90,0.068,1,0.46892,0
49,2,15,75,0.5,1,0.59009,1
50,2,10,65,0.5,0,1.0303,0
51,2,18,25,0.068,0,0.91046,1
52,2,10,90,0.068,1,0.85502,1
53,2,4,18,1,0,0.50454,1
54,2,21,90,0.5,1,0.4195,1
55,2,21,65,1,1,0.91257,1
56,1,4,18,1,0,0.28933,1
57,1,21,90,0.5,1,0.76833,1
58,1,21,65,1,1,0.34272,1
59,2,10,35,0.068,0,1.0255,1
60,2,15,90,1,1,0.31282,1
61,1,10,35,0.068,0,0.78085,1
62,2,10,25,1,0,0.78487,1
63,2,18,25,0.5,0,0.65838,1
64,2,7,90,0.5,1,0.58061,1
65,1,15,90,1,1,0.81472,1
66,2,4,35,0.5,0,0.59148,1
67,2,7,25,0.5,0,0.31106,1
68,2,7,25,0.068,0,0.54549,1
69,2,4,90,1,1,0.57704,1
70,1,10,25,1,1,0.73187,0
71,1,18,25,0.5,1,0.45006,1
72,1,7,90,0.5,1,1.1889,0
73,1,4,35,0.5,0,0.36447,1
74,2,7,25,0.068,0,0.83414,1
75,1,7,25,0.5,0,0.40731,1
