Trial Number,TrialTypeN1S2,Nvalue,Svalue,time,KeyPressZsmallMgreater,ReactionTime,Accuracy
1,1,15,90,0.068,0,0.8622,1
2,2,15,90,0.068,0,0.48201,1
3,2,10,18,1,1,0.36075,1
4,1,10,18,1,1,2.3072,0
5,1,4,35,0.068,1,1.0577,0
6,2,4,35,0.068,0,0.88207,1
7,2,21,18,1,0,0.44179,1
8,1,21,18,1,1,0.53322,1
9,1,21,75,1,1,0.57753,1
10,2,21,75,1,1,0.71653,1
11,2,4,75,0.5,1,0.64912,1
12,1,4,75,0.5,0,0.82058,1
13,2,4,25,0.068,0,0.60571,1
14,2,10,18,0.5,0,1.5166,1
15,2,18,75,0.068,1,0.56073,1
16,2,18,90,0.5,1,0.40906,1
17,2,18,65,1,1,0.90369,1
18,2,15,90,0.5,1,0.45401,1
19,2,21,75,0.5,1,0.63031,1
20,2,15,25,1,0,0.60812,1
21,2,7,35,0.5,0,1.3568,1
22,2,4,25,1,0,0.53495,1
23,1,4,25,0.068,0,0.71896,1
24,1,10,18,0.5,1,0.36232,0
25,2,7,18,0.068,0,0.627,1
26,2,18,75,0.5,1,1.2059,1
27,1,18,75,0.068,1,0.57547,1
28,2,7,25,0.068,0,0.52889,1
29,1,18,90,0.5,1,0.32384,1
30,2,15,90,1,1,0.74239,1
31,2,18,18,1,1,0.85372,0
32,2,15,65,0.5,0,1.8231,0
33,2,15,25,0.068,0,1.674,1
34,1,18,65,1,1,1.0197,1
35,1,15,90,0.5,1,0.83348,1
36,2,10,25,0.5,0,0.53311,1
37,2,4,75,1,1,0.77315,1
38,1,21,75,0.5,1,1.687,1
39,1,15,25,1,1,1.4188,1
40,2,15,65,1,0,1.429,0
41,2,7,18,0.5,0,0.74137,1
42,2,10,75,1,1,1.3617,1
43,1,7,35,0.5,1,2.2644,0
44,2,21,75,0.068,1,0.66755,1
45,2,18,18,0.5,0,0.48247,1
46,2,15,90,0.5,1,0.45071,1
47,1,4,25,1,0,0.79588,1
48,2,10,65,0.5,1,0.73229,1
49,1,7,18,0.068,1,0.80868,0
50,1,18,75,0.5,1,0.41048,1
51,1,7,25,0.068,1,1.1004,0
52,1,15,90,1,1,0.3949,1
53,1,18,18,1,1,0.55559,1
54,2,18,18,0.068,0,0.64014,1
55,1,15,65,0.5,1,0.78906,1
56,2,18,90,1,1,0.41213,1
57,2,7,35,1,1,0.77114,0
58,2,10,75,0.5,1,0.54894,1
59,1,15,25,0.068,0,0.48523,0
60,2,7,90,0.5,1,0.53369,1
61,1,10,25,0.5,1,0.6599,0
62,1,4,75,1,0,0.59404,1
63,2,18,65,0.5,0,0.746,0
64,1,15,65,1,1,0.98688,1
65,1,7,18,0.5,0,0.35309,1
66,2,21,75,0.068,1,0.79272,1
67,2,18,18,0.068,0,0.68209,1
68,1,10,75,1,1,1.4048,0
69,2,4,35,0.068,0,0.51884,1
70,1,21,75,0.068,1,0.77826,1
71,1,18,18,0.5,1,0.71469,1
72,1,15,90,0.5,1,0.68479,1
73,2,4,75,0.068,0,0.90002,0
74,2,10,75,0.068,1,0.71241,1
75,1,10,65,0.5,1,0.75195,0
76,2,10,25,0.068,0,0.59212,1
77,1,18,18,0.068,1,1.2719,1
78,2,4,25,0.5,0,0.5887,1
79,1,18,90,1,1,0.45744,1
80,1,7,35,1,0,0.25591,1
81,2,10,65,1,1,0.52905,1
82,1,10,75,0.5,1,1.3446,0
83,2,18,65,0.068,1,1.4563,1
84,2,18,18,0.5,0,2.2414,1
85,1,7,90,0.5,1,4.6272,0
86,2,18,75,1,1,0.83304,1
87,1,18,65,0.5,1,2.0499,1
88,2,18,90,0.068,1,2.8553,1
89,1,21,75,0.068,1,3.7258,1
90,1,18,18,0.068,1,0.5026,1
