Trial Number,TrialTypeN1S2,Nvalue,Svalue,time,KeyPressZsmallMgreater,ReactionTime,Accuracy
1,1,18,75,0.068,0,0.30415,0
2,2,18,75,0.068,1,0.43881,1
3,1,15,18,1,0,1.3118,0
4,2,15,18,1,0,0.56791,1
5,2,4,35,0.5,0,0.95523,1
6,1,4,35,0.5,0,0.15188,1
7,2,10,90,1,0,0.25024,0
8,2,15,65,0.068,1,0.43024,1
9,2,15,35,1,0,6.236,1
10,2,10,65,0.068,1,1.5301,1
11,1,10,90,1,1,0.17006,0
12,2,21,90,0.5,1,0.17091,1
13,2,7,75,0.5,1,0.010465,1
14,2,7,65,0.5,1,0.31522,1
15,1,15,65,0.068,0,0.12964,0
16,2,21,25,0.068,0,0.17354,1
17,1,15,35,1,0,0.354,0
18,2,21,90,0.5,1,0.012079,1
19,1,10,65,0.068,0,0.33885,1
20,1,21,90,0.5,0,4.5924,0
21,2,4,18,0.068,0,0.0098347,1
22,1,7,75,0.5,1,0.012216,0
23,2,15,65,0.5,1,0.058328,1
24,1,7,65,0.5,1,0.11659,0
25,2,4,18,1,0,1.1215,1
26,2,21,18,0.5,0,0.0090738,1
27,1,21,25,0.068,0,0.34532,0
28,2,15,35,0.068,0,0.40706,1
29,2,4,90,1,0,3.4432,0
30,1,21,90,0.5,1,0.056706,1
31,1,4,18,0.068,0,0.74535,1
32,2,4,65,1,1,0.0098729,1
33,1,15,65,0.5,1,0.042276,1
34,1,4,18,1,0,8.342,1
35,1,21,18,0.5,0,0.204,0
36,1,15,35,0.068,1,0.72818,1
37,2,15,65,0.068,1,0.543,1
38,2,21,90,0.068,1,0.49712,1
39,1,4,90,1,1,0.40135,0
40,2,4,25,1,0,0.032551,1
41,1,4,65,1,0,8.7221,1
42,1,15,65,0.068,1,0.45383,1
43,1,21,90,0.068,1,0.50775,1
44,2,10,35,0.068,1,0.52389,0
45,2,4,35,0.068,0,0.53021,1
46,2,4,25,0.5,0,0.010213,1
47,2,4,75,0.068,1,0.33698,1
48,1,4,25,1,0,6.1167,1
49,2,15,65,1,1,0.011506,1
50,2,7,35,0.5,0,0.073116,1
51,1,10,35,0.068,0,0.4504,1
52,2,7,65,0.068,0,0.44249,0
53,1,4,35,0.068,0,0.43618,1
54,1,4,25,0.5,0,0.018072,1
55,1,4,75,0.068,0,0.4812,1
56,1,15,65,1,0,1.9929,0
57,2,18,25,0.068,0,0.43895,1
58,1,7,35,0.5,0,0.012675,1
59,2,18,75,0.5,1,0.22454,1
60,1,7,65,0.068,1,0.46928,0
61,1,18,25,0.068,0,0.47843,0
62,1,18,75,0.5,1,0.32339,1
63,1,21,35,0.068,0,1.8091,0
64,1,15,18,0.5,0,0.091549,0
65,1,4,90,0.5,1,0.091055,0
66,2,21,35,0.068,1,1.3474,0
67,2,15,18,0.5,0,0.14899,1
68,2,4,90,0.5,1,0.28384,1
69,2,4,65,0.068,1,0.54403,1
70,2,18,75,0.5,1,0.063456,1
71,1,4,65,0.068,1,1.4347,0
72,1,18,75,0.5,0,5.8522,0
73,1,18,25,0.5,0,0.23066,0
74,1,21,75,0.5,1,0.14665,1
75,1,15,25,1,0,2.7636,0
76,1,18,25,1,0,3.759,0
77,2,18,25,0.5,0,0.27053,1
78,2,21,75,0.5,1,0.18862,1
79,2,15,25,1,1,4.1506,0
80,2,18,25,1,0,5.5397,1
81,2,18,75,0.068,1,2.6291,1
82,2,18,90,0.068,1,0.537,1
83,2,18,75,1,0,2.0565,0
84,2,7,75,0.068,1,5.2718,1
85,2,10,90,1,1,8.0534,1
86,1,18,75,0.068,0,3.2014,0
