Trial Number,TrialTypeN1S2,Nvalue,Svalue,time,KeyPressZsmallMgreater,ReactionTime,Accuracy
1,2,21,25,0.5,0,2.5172,1
2,2,7,65,0.068,0,2.0825,0
3,1,21,25,0.5,1,1.3876,1
4,2,15,90,0.5,1,1.1139,1
5,2,4,35,0.5,0,2.3833,1
6,1,7,65,0.068,0,1.7802,1
7,2,18,25,0.5,0,1.3714,1
8,2,4,75,0.5,1,1.0616,1
9,1,15,90,0.5,0,1.1949,0
10,2,4,25,1,1,7.8845,0
11,1,4,35,0.5,0,1.1799,1
12,1,18,25,0.5,1,2.9707,1
13,2,18,25,1,0,1.825,1
14,1,4,75,0.5,0,1.9937,1
15,1,4,25,1,0,0.42295,1
16,2,7,65,1,0,7.831,0
17,2,18,35,1,0,1.8329,1
18,1,18,25,1,1,1.8066,1
19,1,7,65,1,0,1.3709,1
20,2,10,25,1,0,1.6968,1
21,2,10,65,0.5,0,1.5782,0
22,2,21,90,0.5,1,1.3237,1
23,2,10,65,1,1,1.3182,1
24,1,18,35,1,1,1.9033,1
25,1,10,25,1,0,1.3663,1
26,1,10,65,0.5,0,1.7917,1
27,1,21,90,0.5,1,1.118,1
28,2,21,90,0.068,1,1.2752,1
29,2,10,65,1,1,1.5276,1
30,2,18,18,0.068,0,1.7931,1
31,1,10,65,1,0,1.544,1
32,2,7,65,0.068,1,1.7654,1
33,2,10,18,1,0,0.95486,1
34,2,21,90,1,1,0.13369,1
35,1,21,90,0.068,0,3.0741,0
36,2,18,35,0.068,0,1.2664,1
37,2,7,90,0.5,1,0.72844,1
38,2,10,65,0.5,0,1.4394,0
39,2,7,35,0.5,0,0.95035,1
40,1,10,65,1,1,1.3907,0
41,1,18,18,0.068,1,2.2733,1
42,1,7,65,0.068,0,1.3593,1
43,1,10,18,1,0,1.4172,1
44,1,21,90,1,1,0.0024017,1
45,1,18,35,0.068,1,1.4904,1
46,2,15,18,1,0,0.1571,1
47,1,7,90,0.5,1,1.5249,0
48,2,7,90,0.5,1,1.5749,1
49,1,10,65,0.5,0,1.7891,1
50,1,7,35,0.5,0,1.4323,1
51,2,10,75,0.5,0,1.1162,0
52,1,15,18,1,0,1.1084,0
53,2,21,18,0.5,1,1.6225,0
54,2,10,65,0.068,1,1.3187,1
55,1,7,90,0.5,0,4.7052,1
56,1,10,75,0.5,0,1.3262,1
57,2,15,35,0.068,0,6.4557,1
58,2,7,18,0.068,0,1.5912,1
59,2,18,18,1,0,1.1375,1
60,1,21,18,0.5,1,1.1746,1
61,2,10,35,0.5,0,1.5474,1
62,1,10,65,0.068,0,2.5435,1
63,2,21,35,0.068,0,1.4128,1
64,2,15,75,0.5,1,1.5304,1
65,2,21,18,1,0,1.6903,1
66,2,7,90,0.068,1,1.2436,1
67,2,7,18,1,0,1.1394,1
68,1,15,35,0.068,0,2.2397,0
69,2,21,90,1,1,1.0852,1
70,2,21,25,1,0,1.231,1
71,2,7,35,1,0,3.0364,1
72,1,7,18,0.068,0,2.0978,1
73,1,18,18,1,0,0.67805,0
74,2,15,35,0.5,0,1.3139,1
75,2,7,35,0.068,1,1.621,0
76,1,10,35,0.5,0,1.1814,1
77,1,21,35,0.068,1,1.2885,1
78,1,15,75,0.5,1,1.1853,1
79,2,4,75,1,1,1.3512,1
80,1,21,18,1,1,1.3591,1
81,2,15,90,1,1,1.5118,1
82,1,7,90,0.068,0,1.5737,1
83,1,7,18,1,0,3.5914,1
84,2,4,35,1,0,1.815,1
85,1,21,90,1,1,1.7134,1
86,1,21,25,1,1,1.4397,1
87,2,10,35,1,0,1.6336,1
88,1,7,35,1,0,1.7113,1
89,2,7,90,1,0,1.2758,0
90,1,15,35,0.5,1,2.0443,1
91,1,7,35,0.068,0,1.7008,1
92,2,4,25,0.068,1,1.8892,0
93,1,4,75,1,0,1.1309,1
94,1,15,90,1,1,1.8783,1
95,2,4,75,0.068,1,1.365,1
96,2,15,75,0.5,0,1.5446,0
97,1,4,35,1,0,1.0548,1
98,1,10,35,1,1,1.0305,0
