Trial Number,TrialTypeN1S2,Nvalue,Svalue,time,KeyPressZsmallMgreater,ReactionTime,Accuracy
1,1,7,18,0.5,1,8.6333,0
2,2,7,18,0.5,0,2.5859,1
3,2,18,35,0.5,0,5.5264,1
4,2,18,35,1,0,2.1678,1
5,1,18,35,0.5,1,1.8763,1
6,2,18,75,0.068,1,1.203,1
7,2,4,18,1,0,1.6918,1
8,1,18,35,1,1,2.0224,1
9,2,18,75,0.068,1,1.2475,1
10,2,7,18,0.5,0,1.0319,1
11,2,10,25,0.5,0,0.85456,1
12,1,18,75,0.068,1,1.8307,1
13,1,4,18,1,0,1.7868,1
14,2,15,90,0.068,1,1.4367,1
15,1,18,75,0.068,1,2.5639,1
16,1,7,18,0.5,1,1.8183,0
17,1,10,25,0.5,1,1.7338,0
18,2,7,35,0.5,0,1.3177,1
19,2,18,75,1,1,1.2107,1
20,2,18,75,0.068,1,1.0399,1
21,1,15,90,0.068,0,1.5358,0
22,1,7,35,0.5,0,0.87486,1
23,1,18,75,1,1,1.7552,1
24,2,10,25,0.5,0,1.0298,1
25,1,18,75,0.068,0,1.4897,0
26,1,10,25,0.5,0,0.91934,1
27,1,15,90,0.5,1,1.2135,1
28,2,15,90,0.5,1,0.80121,1
29,2,21,25,0.068,0,2.012,1
30,1,21,25,0.068,1,0.84242,1
31,2,18,75,0.068,1,0.80018,1
32,2,15,65,0.068,1,0.77342,1
33,1,18,75,0.068,1,1.1493,1
34,1,15,65,0.068,1,0.63588,1
35,2,7,18,0.068,0,1.3544,1
36,1,7,18,0.068,1,2.1969,0
37,1,21,65,0.068,1,1.2714,1
38,2,21,65,0.068,1,1.1332,1
39,2,10,65,0.5,1,1.2927,1
40,1,10,65,0.5,1,1.2244,0
41,1,7,35,0.5,0,0.73638,1
42,2,7,35,0.5,0,0.86577,1
43,1,10,75,0.068,0,2.8183,1
44,2,10,75,0.068,1,1.1921,1
45,1,7,35,1,0,0.66147,1
46,2,7,35,1,0,0.91264,1
47,1,7,18,1,0,1.0316,1
48,1,21,25,1,1,0.91824,1
49,2,7,18,1,0,0.91484,1
50,1,15,90,0.068,0,1.2736,0
51,2,21,25,1,0,0.76902,1
52,2,15,90,0.068,1,1.317,1
53,1,4,35,1,0,0.71148,1
54,2,4,35,1,0,0.94947,1
55,1,18,35,1,1,0.58028,1
56,1,4,18,1,0,2.4681,1
57,2,18,35,1,0,3.6987,1
58,2,4,18,1,0,1.2691,1
