Trial Number,TrialTypeN1S2,Nvalue,Svalue,time,KeyPressZsmallMgreater,ReactionTime,Accuracy
1,2,18,65,1,1,1.4724,1
2,2,18,18,1,0,0.84749,1
3,2,21,25,1,0,0.36626,1
4,2,4,25,1,0,0.40553,1
5,2,10,75,0.5,1,0.34229,1
6,1,18,65,1,1,0.68626,1
7,1,18,18,1,1,0.96543,1
8,1,21,25,1,1,0.72535,1
9,1,4,25,1,1,0.54405,0
10,2,21,25,0.5,0,1.2021,1
11,1,10,75,0.5,0,1.3725,1
12,1,21,25,0.5,0,0.59849,0
13,2,7,75,1,1,1.8412,1
14,2,15,25,0.068,0,1.0779,1
15,2,18,35,0.068,0,0.77384,1
16,1,7,75,1,0,0.75899,1
17,2,7,75,0.5,1,0.70767,1
18,2,15,90,0.5,1,0.43143,1
19,2,18,65,0.068,1,0.67767,1
20,1,15,25,0.068,0,0.83551,0
21,2,15,18,1,0,0.39702,1
22,1,18,35,0.068,1,0.54781,1
23,2,18,65,0.5,0,0.55842,0
24,1,7,75,0.5,0,1.3575,1
25,1,15,90,0.5,1,1.1318,1
26,1,18,65,0.068,1,1.2004,1
27,1,15,18,1,1,1.1853,1
28,1,18,65,0.5,1,0.55582,1
29,1,21,25,1,1,0.5609,1
30,1,15,25,0.068,1,1.0874,1
31,1,15,90,0.068,1,0.69146,1
32,2,21,25,1,0,0.68068,1
33,1,4,65,0.068,0,1.0503,1
34,1,21,35,1,1,1.0216,1
35,1,15,25,1,1,2.5974,1
36,1,21,35,0.068,1,2.1562,1
37,1,15,18,0.068,1,0.56204,1
38,1,21,35,0.068,1,0.89284,1
39,1,4,65,1,0,0.76723,1
40,2,15,25,0.068,0,1.2909,1
41,1,18,35,1,0,1.8445,0
42,2,15,90,0.068,1,0.9505,1
43,2,4,65,0.068,1,1.0762,1
44,2,21,35,1,0,0.85381,1
45,2,15,25,1,0,0.73931,1
46,2,21,35,0.068,0,0.8219,1
47,2,15,18,0.068,0,0.46408,1
48,2,21,35,0.068,0,0.5625,1
49,1,4,65,1,0,0.69687,1
50,1,4,90,0.068,0,0.87826,1
51,1,18,18,1,1,0.98743,1
52,1,21,35,0.5,1,0.61936,1
53,1,4,35,0.5,0,0.7258,1
54,2,4,65,1,1,0.91887,1
55,1,21,18,1,1,0.44088,1
56,1,10,75,0.5,1,1.4505,0
57,2,18,35,1,0,0.60289,1
58,1,10,35,1,0,1.1697,1
59,2,4,65,1,0,0.61772,0
60,1,18,65,0.5,1,1.2144,1
61,2,4,90,0.068,1,1.3829,1
62,1,18,18,0.5,1,1.1409,1
63,2,18,18,1,0,0.6836,1
64,1,18,18,0.5,1,0.8651,1
65,1,7,65,1,0,0.94793,1
66,1,21,25,0.068,1,0.91894,1
67,2,21,35,0.5,0,0.84736,1
68,2,4,35,0.5,0,0.83959,1
69,2,21,18,1,0,0.96141,1
70,2,10,75,0.5,1,1.1171,1
71,2,10,35,1,0,3.697,1
72,2,18,65,0.5,1,1.1371,1
73,1,10,75,1,1,3.0157,0
74,2,18,18,0.5,0,0.91385,1
75,2,18,18,0.5,0,0.80551,1
76,1,18,65,0.5,1,0.92302,1
77,2,7,65,1,0,1.0675,0
78,2,21,25,0.068,1,2.3765,0
79,2,10,75,1,1,1.0022,1
80,2,18,65,0.5,1,1.0983,1
81,2,15,25,0.5,0,0.39074,1
82,1,15,25,0.5,1,1.2409,1
83,2,18,18,0.068,0,1.4845,1
84,2,10,75,0.068,1,1.02,1
85,2,10,90,0.068,1,0.65437,1
86,2,7,18,0.068,0,0.79133,1
87,1,18,18,0.068,1,1.5082,1
88,2,4,35,1,0,0.91304,1
89,1,10,75,0.068,1,0.95123,0
90,1,10,90,0.068,1,0.68577,0
91,2,10,35,0.068,0,0.8135,1
92,1,7,18,0.068,1,1.4996,0
93,2,18,65,1,1,1.144,1
94,2,7,90,1,1,1.9143,1
95,1,4,35,1,0,1.094,1
96,1,10,35,0.068,1,1.1715,0
97,2,4,90,1,0,1.3936,0
98,2,21,35,1,0,2.144,1
99,2,21,25,0.5,0,1.0838,1
100,1,18,65,1,1,0.84878,1
101,1,7,90,1,0,1.534,1
102,1,4,90,1,0,0.77373,1
103,2,10,75,0.068,1,0.79391,1
104,2,15,25,1,0,0.68506,1
105,1,21,35,1,1,0.84786,1
106,2,7,90,0.068,1,1.9072,1
107,2,7,90,0.068,1,0.56715,1
108,2,10,90,1,1,0.88192,1
109,2,4,25,0.068,0,0.51935,1
110,2,15,25,0.068,0,0.6478,1
111,1,21,25,0.5,1,0.91174,1
112,1,10,75,0.068,0,1.1042,1
113,1,15,25,1,1,1.0122,1
114,2,21,35,0.068,0,1.425,1
115,1,7,90,0.068,0,1.0801,1
116,1,7,90,0.068,0,1.1232,1
117,1,10,90,1,0,0.95456,1
118,1,4,25,0.068,1,0.61534,0
119,1,15,25,0.068,1,0.92035,1
120,1,21,35,0.068,1,0.64683,1
121,2,7,18,0.5,0,0.62538,1
122,2,10,90,0.5,1,0.96783,1
123,2,7,75,0.068,1,0.70831,1
124,2,7,90,0.5,1,1.1121,1
125,2,4,90,0.5,1,1.0657,1
126,2,18,35,0.5,0,0.75112,1
127,1,7,18,0.5,1,1.8235,0
128,2,7,90,1,1,1.1952,1
129,1,10,90,0.5,0,2.1317,1
130,2,15,18,0.5,0,1.7196,1
131,1,7,75,0.068,1,1.668,0
132,1,7,90,0.5,0,1.0858,1
133,2,15,18,0.5,0,0.81599,1
134,2,7,65,0.068,1,0.79902,1
135,2,21,18,0.068,0,1.145,1
136,2,7,75,0.5,1,1.3428,1
137,1,4,90,0.5,0,2.5268,1
138,1,18,35,0.5,1,0.8176,1
139,2,4,25,0.5,0,0.97235,1
140,2,18,65,0.068,1,1.1955,1
141,1,7,90,1,0,0.59634,1
142,2,21,35,0.5,0,1.0436,1
143,2,21,35,1,0,0.89833,1
144,1,15,18,0.5,1,1.0701,1
145,1,15,18,0.5,0,0.9632,0
146,1,7,65,0.068,0,1.2579,1
147,1,21,18,0.068,1,0.81514,1
148,2,15,25,0.5,0,1.115,1
149,2,18,65,1,1,1.4203,1
150,1,7,75,0.5,0,0.95371,1
151,1,4,25,0.5,0,0.45387,1
152,2,10,35,0.5,0,0.80381,1
153,1,18,65,0.068,0,1.0675,0
154,1,21,35,0.5,1,1.5027,1
155,1,21,35,1,1,0.636,1
156,2,18,65,0.068,0,0.95399,0
157,1,15,25,0.5,1,1.3759,1
158,2,21,25,0.068,0,1.0727,1
159,2,10,75,0.5,1,0.59137,1
160,1,18,65,1,1,0.88718,1
161,2,4,65,0.068,1,0.98269,1
162,1,10,35,0.5,0,0.4502,1
163,1,18,65,0.068,1,1.356,1
164,1,21,25,0.068,1,0.85618,1
165,1,10,75,0.5,1,2.1488,0
166,1,4,65,0.068,0,0.90454,1
167,1,15,90,1,0,0.61627,0
168,1,7,18,1,0,0.58412,1
169,1,7,75,1,0,0.79606,1
170,2,15,90,1,1,0.67648,1
171,1,10,75,0.068,1,0.69176,0
172,2,7,18,1,0,0.60478,1
173,2,7,75,1,1,0.88307,1
174,1,15,18,1,0,0.77899,0
175,1,4,35,0.068,0,0.7069,1
176,1,7,90,0.5,0,0.82481,1
177,1,18,18,0.068,1,0.8313,1
178,1,10,75,1,0,0.91395,1
179,2,10,75,0.068,1,1.2713,1
180,1,15,25,0.5,0,0.93738,0
181,2,15,18,1,0,1.0083,1
182,2,4,35,0.068,0,0.89117,1
183,1,4,65,0.5,0,0.78168,1
184,2,7,90,0.5,1,0.99484,1
185,2,18,18,0.068,0,0.54487,1
186,2,10,75,1,1,0.48206,1
187,2,15,25,0.5,0,0.965,1
188,1,21,35,0.5,0,1.0456,0
189,1,4,90,1,0,0.37496,1
190,1,15,25,1,1,1.4738,1
191,2,4,65,0.5,0,0.5085,0
192,2,21,35,0.5,0,0.86755,1
193,2,4,90,1,0,0.64838,0
194,1,4,90,0.068,0,0.80957,1
195,2,15,25,1,0,0.58242,1
196,1,7,65,0.5,1,0.75469,0
197,1,4,90,0.5,0,1.0328,1
198,2,4,90,0.068,1,0.97852,1
199,1,10,75,1,0,1.1481,1
200,1,10,75,0.5,1,1.1443,0
201,1,10,75,0.068,1,0.95278,0
202,1,4,65,0.5,0,0.61923,1
203,2,7,65,0.5,0,1.0077,0
204,2,4,90,0.5,1,1.4054,1
205,2,10,75,1,0,1.866,0
206,2,10,75,0.5,1,1.2638,1
207,2,10,75,0.068,1,0.65388,1
208,2,4,65,0.5,0,1.358,0
209,2,21,18,0.5,0,1.231,1
210,1,21,18,0.5,1,0.66373,1
211,1,10,75,1,1,1.8285,0
212,2,10,75,1,1,0.96397,1
213,1,15,18,0.068,1,1.5761,1
214,2,15,18,0.068,0,2.0037,1
215,1,7,75,0.068,0,1.7088,1
216,2,7,75,0.068,1,1.9834,1
