Trial Number,TrialTypeN1S2,Nvalue,Svalue,time,KeyPressZsmallMgreater,ReactionTime,Accuracy
1,2,15,75,1,0,2.8759,0
2,1,15,75,1,1,1.41,1
3,2,15,65,0.068,1,1.7709,1
4,1,15,65,0.068,0,1.5365,0
5,1,18,65,1,1,1.1992,1
6,1,18,90,1,1,1.637,1
7,1,21,75,0.068,0,4.5019,0
8,1,18,25,0.068,0,3.4929,0
9,2,18,65,1,1,1.3985,1
10,2,18,90,1,0,2.8456,0
11,1,18,18,1,0,1.5913,0
12,2,21,75,0.068,1,1.1785,1
13,2,18,25,0.068,0,1.6493,1
14,2,18,18,1,0,0.42187,1
15,1,4,75,0.068,0,0.95519,1
16,2,4,75,0.068,1,3.6944,1
17,1,7,25,0.5,0,0.072933,1
18,2,7,25,0.5,0,0.21164,1
19,2,10,90,0.068,1,0.95132,1
20,1,10,90,0.068,0,0.77327,1
21,1,21,18,1,0,0.57598,0
22,1,18,25,0.5,1,0.48534,1
23,1,21,25,0.068,0,0.73594,0
24,2,21,18,1,0,0.44781,1
25,1,15,75,0.068,0,1.0853,0
26,1,21,75,1,0,0.54303,0
27,1,18,65,0.5,0,0.51739,0
28,1,18,75,0.5,0,0.59148,0
29,2,18,25,0.5,1,0.63433,0
30,2,21,25,0.068,0,0.94311,1
31,1,7,25,0.5,1,0.89247,0
32,2,15,75,0.068,0,3.648,0
33,1,18,90,1,0,1.0506,0
34,1,4,25,0.5,0,0.75407,1
35,1,18,90,0.068,1,1.3991,1
36,1,15,75,0.068,0,0.66769,0
37,2,21,75,1,1,0.70908,1
38,1,10,90,1,0,1.108,1
39,1,4,90,1,0,1.0221,1
40,2,18,65,0.5,0,1.7054,0
41,1,18,75,1,1,0.57241,1
42,2,18,75,0.5,1,1.0366,1
43,2,7,25,0.5,0,0.91117,1
44,2,18,90,1,1,1.4043,1
45,1,21,75,0.5,0,0.89285,0
46,1,18,90,0.068,0,0.86522,0
47,2,4,25,0.5,1,1.3295,0
48,2,18,90,0.068,1,1.4702,1
49,1,21,65,0.5,0,1.1394,0
50,1,7,25,1,0,0.66574,1
51,2,15,75,0.068,1,1.2284,1
52,2,10,90,1,0,10.3921,0
53,2,4,90,1,0,2.4122,0
54,2,18,75,1,1,2.3949,1
55,1,10,35,1,0,1.9301,1
56,1,18,18,0.068,0,2.8335,0
57,1,18,65,0.068,0,0.91125,0
58,2,21,75,0.5,0,1.506,0
59,1,4,75,0.5,0,1.1089,1
60,1,4,18,0.068,1,2.5697,0
61,1,10,35,1,0,0.42682,1
62,2,18,90,0.068,0,1.2955,0
63,2,21,65,0.5,1,1.0604,1
64,1,15,75,0.5,1,0.14738,1
65,2,7,25,1,0,0.69371,1
66,2,10,35,1,0,1.7123,1
67,2,18,18,0.068,0,1.7528,1
68,1,10,65,0.068,1,1.8328,0
69,2,18,65,0.068,0,1.3267,0
70,2,4,75,0.5,0,2.3283,0
71,1,21,65,1,1,0.46104,1
72,1,7,65,0.068,0,0.54566,1
73,2,4,18,0.068,1,0.99482,0
74,2,10,35,1,0,0.45368,1
75,2,15,75,0.5,1,1.1585,1
76,2,10,65,0.068,0,0.64578,0
77,1,7,35,1,0,1.4946,1
78,1,15,35,0.068,0,0.71679,0
79,2,21,65,1,0,1.7505,0
80,1,21,25,1,0,1.2221,0
81,1,10,35,0.5,0,0.43911,1
82,2,7,65,0.068,0,1.1865,0
83,2,7,35,1,0,1.1897,1
84,1,7,18,1,1,1.0578,0
85,2,15,35,0.068,0,0.72468,1
86,1,15,35,1,1,1.7585,1
87,2,21,25,1,0,1.389,1
88,1,21,35,0.5,1,0.88444,1
89,2,10,35,0.5,1,0.87581,0
90,1,15,65,1,1,0.99498,1
