Trial Number,TrialTypeN1S2,Nvalue,Svalue,time,KeyPressZsmallMgreater,ReactionTime,Accuracy
1,1,15,65,0.068,0,1.0115,0
2,1,10,35,0.068,1,0.30754,0
3,2,15,65,0.068,0,0.20775,0
4,2,10,35,0.068,1,0.26757,0
5,2,7,25,0.068,1,0.36711,0
6,2,7,65,0.068,0,0.27688,0
7,1,7,25,0.068,1,1.773,0
8,2,18,90,1,0,3.3487,0
9,1,7,65,0.068,0,0.71048,1
10,2,4,75,0.068,0,0.33664,0
11,2,18,90,0.5,1,0.65322,1
12,1,18,90,1,1,0.45134,1
13,1,4,75,0.068,1,0.35552,0
14,1,18,90,0.5,1,0.0016143,1
15,1,7,25,0.5,0,0.29414,1
16,2,7,25,0.5,1,0.29294,0
17,2,18,25,0.5,0,0.67642,1
18,2,4,75,1,0,0.40685,0
19,2,10,18,0.068,0,2.6014,1
20,2,7,75,0.5,0,0.080353,0
21,1,18,25,0.5,1,0.21042,1
22,2,21,35,0.5,0,0.0021951,1
23,2,15,25,1,0,2.5732,1
24,1,4,75,1,0,0.84014,1
25,2,18,18,0.068,1,0.66146,0
26,2,10,18,0.068,0,3.0263,1
27,2,15,25,0.068,0,2.0597,1
28,1,10,18,0.068,0,1.4199,1
29,1,7,75,0.5,0,2.112,1
30,2,4,35,0.5,0,0.73754,1
31,1,21,35,0.5,1,1.2679,1
32,1,15,25,1,0,0.0019369,0
33,2,21,65,0.068,1,0.001574,1
34,1,18,18,0.068,1,0.10283,1
35,2,21,18,0.068,1,0.0017937,0
36,1,10,18,0.068,1,0.057761,0
37,1,15,25,0.068,1,0.014944,1
38,1,4,35,0.5,0,0.0019952,1
39,2,7,90,0.068,1,0.20809,1
40,1,21,65,0.068,1,1.5054,1
41,2,15,75,0.068,0,0.34319,0
42,1,21,18,0.068,1,4.3141,1
43,2,4,35,1,1,0.79689,0
44,2,10,65,0.5,1,1.3027,1
45,1,7,90,0.068,1,2.1116,0
46,1,15,75,0.068,0,5.7242,0
47,1,4,35,1,1,2.8128,0
48,1,10,65,0.5,1,1.0037,0
49,1,10,18,0.5,0,0.37357,1
