Trial Number,TrialTypeN1S2,Nvalue,Svalue,time,KeyPressZsmallMgreater,ReactionTime,Accuracy
1,1,18,25,1,1,1.3962,1
2,1,4,35,0.068,0,1.7234,1
3,2,18,25,1,0,0.9263,1
4,2,4,35,0.068,0,2.2328,1
5,2,10,65,0.068,1,0.89827,1
6,1,10,65,0.068,1,1.5216,0
7,2,18,65,0.068,0,1.2996,0
8,2,4,25,1,0,0.91828,1
9,2,10,90,0.068,1,0.81298,1
10,1,18,65,0.068,0,0.23928,0
11,1,4,25,1,0,0.78102,1
12,2,15,25,1,0,0.123,1
13,1,10,90,0.068,0,0.83958,1
14,2,4,90,0.5,1,0.35557,1
15,1,15,25,1,0,0.43674,0
16,1,4,90,0.5,0,0.80813,1
17,2,18,75,0.068,1,1.4707,1
18,1,18,75,0.068,0,1.1586,0
19,2,4,75,1,1,0.86889,1
20,2,10,90,1,1,0.63683,1
21,1,4,75,1,0,1.0343,1
22,1,10,90,1,1,0.30079,0
23,1,21,90,1,1,1.0137,1
24,2,21,90,1,1,1.0871,1
25,1,7,65,0.5,0,0.97199,1
26,1,10,18,0.5,1,0.71492,0
27,2,7,65,0.5,1,0.76966,1
28,1,21,35,1,1,0.33087,1
29,2,10,18,0.5,0,0.67738,1
30,1,10,25,0.5,1,0.86401,0
31,1,15,65,0.5,1,0.54237,1
32,1,21,25,0.5,0,0.30625,0
33,2,21,35,1,0,0.00141,1
34,2,10,25,0.5,0,0.087313,1
35,1,21,75,1,1,2.9816,1
36,2,15,65,0.5,1,0.23414,1
37,1,15,75,0.068,1,0.62696,1
38,2,21,25,0.5,0,0.3059,1
39,1,21,35,0.5,0,0.27181,0
40,2,21,75,1,1,0.50122,1
41,2,15,75,0.068,1,0.58339,1
42,2,21,35,0.5,0,0.89371,1
43,1,18,35,0.068,1,0.99417,1
44,2,18,35,0.068,0,0.80172,1
45,1,7,18,0.068,0,0.63512,1
46,2,7,18,0.068,0,0.55674,1
47,1,4,75,0.5,1,1.038,0
48,2,4,75,0.5,1,0.48408,1
49,1,15,18,1,0,0.0015049,0
50,2,15,18,1,1,0.12675,0
51,2,10,18,0.068,0,0.64807,1
52,1,10,18,0.068,0,0.60525,1
53,2,10,90,0.5,1,0.57412,1
54,1,10,90,0.5,0,1.4899,1
55,1,7,35,1,0,0.7941,1
56,1,21,75,0.5,1,1.1469,1
57,2,7,35,1,0,0.91615,1
58,2,21,75,0.5,1,1.4719,1
59,2,15,65,0.068,1,0.80096,1
60,2,7,18,0.068,0,0.90645,1
61,1,15,65,0.068,0,1.0263,0
62,1,7,18,0.068,0,0.75714,1
63,2,4,75,0.5,1,1.0977,1
64,2,10,18,1,1,0.0013919,0
65,1,4,75,0.5,1,1.1548,0
66,2,7,18,1,0,0.3666,1
67,2,21,65,0.068,1,0.478,1
68,2,15,35,0.068,1,0.52257,0
69,1,10,18,1,0,0.26197,1
70,2,4,75,0.068,1,0.66646,1
71,2,21,25,1,0,1.7256,1
72,2,7,35,0.068,0,0.79986,1
73,1,7,18,1,0,0.26438,1
74,1,21,65,0.068,1,0.83181,1
75,1,15,35,0.068,0,0.25681,0
76,1,4,75,0.068,1,0.19945,0
77,1,21,25,1,1,0.0015828,1
78,2,21,65,0.5,1,0.66163,1
79,2,15,75,0.5,1,0.49394,1
80,1,7,35,0.068,0,0.76055,1
81,1,21,65,0.5,1,0.58023,1
82,1,15,75,0.5,0,0.50369,0
83,1,18,90,0.068,1,0.2629,1
84,2,18,90,0.068,1,0.72691,1
85,2,4,25,0.5,0,0.77838,1
86,2,15,75,1,1,0.77704,1
87,2,15,90,0.5,1,0.4592,1
88,2,4,35,1,0,0.98267,1
89,2,18,65,0.5,0,0.74431,0
90,2,7,18,0.5,0,0.40062,1
91,1,4,25,0.5,0,0.40691,1
92,2,7,18,0.5,0,0.4376,1
93,2,4,75,1,1,0.0015862,1
94,1,15,75,1,1,0.0028303,1
95,2,21,25,0.068,0,0.94773,1
96,1,15,90,0.5,0,0.64301,0
97,1,4,35,1,1,0.8105,0
98,1,18,65,0.5,1,0.94581,1
99,2,7,25,0.5,0,0.78337,1
100,2,18,25,0.068,0,1.6411,1
101,2,18,35,1,0,0.96216,1
102,1,7,18,0.5,0,1.3826,1
103,2,15,18,0.068,0,0.68821,1
104,1,7,18,0.5,0,0.53917,1
105,1,4,75,1,0,0.53643,1
106,2,7,25,1,0,0.72143,1
107,2,10,18,0.068,0,0.74874,1
108,2,10,18,0.5,0,0.60684,1
109,1,21,25,0.068,0,0.60743,0
110,1,7,25,0.5,1,0.24789,0
111,2,18,18,0.068,0,0.44601,1
112,2,7,65,1,1,0.67514,1
113,1,18,25,0.068,1,1.0625,1
114,2,21,35,0.068,1,0.95336,0
115,1,18,35,1,1,0.99162,1
116,2,18,18,1,1,0.4536,0
117,1,15,18,0.068,0,0.63956,0
118,1,7,25,1,0,0.59576,1
119,1,10,18,0.068,0,0.65718,1
120,2,21,65,0.068,1,0.45581,1
121,1,10,18,0.5,0,0.5409,1
122,1,18,18,0.068,1,0.39131,1
123,2,18,35,0.5,0,0.0015081,1
124,2,18,90,1,1,0.94678,1
125,1,7,65,1,0,0.29091,1
126,1,21,35,0.068,1,0.8917,1
127,2,21,65,0.5,1,0.86744,1
128,2,15,35,1,0,0.24382,1
129,1,18,18,1,1,0.21393,1
130,2,21,90,0.068,1,0.52235,1
131,2,7,35,0.068,0,0.53558,1
132,2,15,35,0.5,0,0.65819,1
133,2,18,75,0.5,1,1.2332,1
134,2,15,90,0.068,1,0.52862,1
135,1,21,65,0.068,1,0.6302,1
136,1,18,35,0.5,1,0.68829,1
137,1,18,90,1,1,0.56441,1
