Trial Number,TrialTypeN1S2,Nvalue,Svalue,time,KeyPressZsmallMgreater,ReactionTime,Accuracy
1,1,21,75,0.5,1,1.0859,1
2,1,18,35,0.5,0,0.85783,0
3,2,21,75,0.5,1,1.1461,1
4,2,18,35,0.5,0,5.1839,1
5,2,18,75,0.068,1,1.068,1
6,1,18,75,0.068,1,3.3004,1
7,2,10,35,0.5,0,1.3194,1
8,1,10,35,0.5,0,1.2927,1
9,1,18,18,0.068,1,1.8163,1
10,2,18,18,0.068,0,1.3775,1
11,2,7,25,0.5,0,1.1186,1
12,2,15,25,0.068,0,1.5152,1
13,2,21,90,1,1,0.82269,1
14,1,7,25,0.5,0,1.0957,1
15,1,15,25,0.068,1,3.6194,1
16,2,4,35,0.068,0,1.3177,1
17,1,21,90,1,1,0.13534,1
18,1,4,35,0.068,0,1.04,1
19,1,4,35,1,0,0.59057,1
20,1,15,35,0.068,1,4.4724,1
21,1,18,75,0.068,1,2.3378,1
22,2,4,35,1,0,1.1432,1
23,1,4,65,0.068,0,1.4482,1
24,1,7,25,0.068,0,0.75201,1
25,2,15,35,0.068,0,1.941,1
26,1,15,90,0.068,0,4.4733,0
27,2,18,75,0.068,1,1.3951,1
28,1,7,25,0.5,0,0.91629,1
29,1,18,18,1,1,1.1115,1
30,2,4,65,0.068,0,1.3898,0
31,1,7,25,0.068,0,0.84157,1
32,2,7,25,0.068,0,1.5575,1
33,2,15,90,0.068,1,0.974,1
34,1,4,75,0.5,0,0.83109,1
35,1,10,65,0.068,0,2.0504,1
36,2,7,25,0.5,0,1.0475,1
37,1,18,75,1,1,0.99598,1
38,1,15,35,0.5,1,0.92952,1
39,2,18,18,1,0,2.1847,1
40,1,10,65,1,0,1.2615,1
41,2,7,25,0.068,0,0.84059,1
42,1,18,35,1,1,2.5144,1
43,2,4,75,0.5,1,3.4432,1
44,2,10,65,0.068,0,2.9369,0
45,1,10,18,1,0,1.0941,1
46,2,18,75,1,1,1.4842,1
47,1,7,25,1,0,1.0025,1
48,2,15,35,0.5,0,1.7128,1
49,2,10,65,1,1,1.8047,1
50,2,18,35,1,0,1.9117,1
51,2,10,18,1,0,0.85838,1
52,2,7,25,1,0,0.84198,1
53,2,21,90,1,1,1.0461,1
54,1,21,90,1,1,0.87127,1
55,2,15,75,1,1,2.8437,1
56,2,15,90,0.5,1,1.8456,1
57,1,15,75,1,1,1.4496,1
58,2,21,90,0.068,1,1.6999,1
59,1,15,90,0.5,0,1.7077,0
60,1,21,90,0.068,1,1.0727,1
61,1,4,75,0.068,0,1.0716,1
62,1,10,18,0.068,0,2.4735,1
63,1,15,75,1,1,3.3464,1
64,1,4,35,1,0,0.84887,1
65,1,10,35,0.068,0,2.8814,1
66,2,4,75,0.068,0,2.3133,0
67,2,10,18,0.068,0,1.3794,1
68,2,15,75,1,1,1.0576,1
69,1,18,18,0.5,1,1.2256,1
70,1,15,25,1,1,0.60844,1
71,2,4,35,1,0,0.0002592,1
72,2,10,35,0.068,0,3.2173,1
73,1,7,25,1,0,1.1683,1
74,1,4,35,0.5,0,0.97944,1
75,2,18,18,0.5,1,1.9957,0
76,2,15,25,1,1,0.54575,0
77,1,10,65,1,0,4.0429,1
78,1,18,75,1,1,1.1229,1
79,1,15,75,0.068,1,1.5241,1
80,1,7,25,1,0,1.3215,1
81,1,4,18,0.068,0,1.255,1
82,1,4,65,0.5,0,0.8013,1
83,1,10,35,0.5,0,0.90372,1
84,1,10,90,0.068,0,1.3828,1
85,1,18,75,0.5,1,0.65556,1
86,2,7,25,1,0,1.3037,1
87,1,21,65,0.068,1,0.9939,1
88,1,7,25,0.068,0,0.77746,1
89,2,4,35,0.5,0,0.78693,1
90,1,4,35,0.068,0,1.034,1
91,2,10,65,1,1,1.7042,1
92,2,18,75,1,1,0.60282,1
93,2,15,75,0.068,1,0.82923,1
94,2,7,25,1,0,1.3511,1
95,2,4,18,0.068,0,0.85944,1
96,2,4,65,0.5,0,3.0058,0
97,2,10,35,0.5,0,1.0657,1
98,1,18,18,1,1,1.2406,1
99,2,10,90,0.068,1,2.0783,1
100,2,18,75,0.5,1,0.59825,1
101,1,10,35,0.068,0,1.21,1
102,1,21,65,1,1,1.1675,1
103,2,21,65,0.068,1,1.351,1
104,2,7,25,0.068,0,0.73479,1
105,1,10,35,1,1,0.9353,0
106,1,15,35,1,1,1.3282,1
107,1,18,18,0.5,1,0.8434,1
108,2,4,35,0.068,0,1.0467,1
109,1,4,65,1,1,1.2023,0
110,2,18,18,1,0,1.6803,1
111,1,10,90,0.5,0,1.3275,1
112,1,10,65,0.5,0,1.3073,1
113,2,10,35,0.068,0,0.74075,1
114,1,21,90,1,1,0.9863,1
115,1,15,75,0.5,1,1.8428,1
116,1,21,90,0.068,1,1.0076,1
117,2,21,65,1,1,2.6556,1
118,2,10,35,1,0,0.58562,1
119,2,15,35,1,0,2.8276,1
120,2,18,18,0.5,0,0.59717,1
121,2,4,65,1,0,2.6005,0
122,1,4,65,0.068,0,1.5058,1
123,1,7,90,1,0,0.69612,1
124,1,7,25,0.5,0,0.87452,1
125,2,10,90,0.5,1,2.2013,1
126,1,21,65,0.5,1,1.0814,1
127,1,10,65,0.068,0,0.97641,1
128,1,7,90,0.5,0,0.81736,1
129,1,7,25,0.5,0,0.44045,1
130,1,18,35,0.068,1,0.87453,1
131,1,4,65,1,0,0.78735,1
132,2,10,65,0.5,1,1.1876,1
133,1,7,25,0.5,0,0.88396,1
134,2,21,90,1,1,1.0161,1
135,2,15,75,0.5,1,0.62125,1
136,1,21,75,0.068,1,1.8687,1
137,2,21,90,0.068,1,0.98645,1
138,1,21,75,1,1,0.77555,1
139,2,4,65,0.068,0,0.83072,0
140,1,10,90,1,1,1.8403,0
141,2,7,90,1,0,1.2122,0
142,2,7,25,0.5,0,0.83622,1
143,2,21,65,0.5,0,0.61074,0
144,2,10,65,0.068,0,1.4393,0
145,2,7,90,0.5,1,1.1977,1
146,1,7,25,1,0,1.203,1
147,1,15,75,0.068,1,1.4384,1
148,1,18,18,1,1,0.90517,1
149,2,7,25,0.5,0,1.4325,1
150,2,18,35,0.068,0,1.1914,1
151,1,18,75,0.5,1,0.87045,1
152,1,15,25,0.5,1,1.5079,1
153,1,4,18,0.5,0,1.0115,1
154,1,21,90,0.5,1,0.89091,1
155,1,10,65,0.5,0,0.97652,1
156,2,4,65,1,0,2.625,0
157,2,7,25,0.5,0,0.68896,1
158,2,21,75,0.068,1,1.6177,1
159,1,21,65,1,1,0.84887,1
160,2,21,75,1,1,2.1033,1
161,1,15,75,0.5,1,1.2801,1
162,2,10,90,1,1,1.7086,1
163,2,7,25,1,0,1.5466,1
164,1,21,90,0.5,1,0.81955,1
165,1,21,90,0.5,1,0.51586,1
166,2,15,75,0.068,1,1.3283,1
167,1,15,18,0.5,1,1.6569,1
168,1,7,25,0.068,0,0.8783,1
169,2,18,18,1,0,1.3928,1
170,1,4,35,0.5,0,1.0319,1
171,1,21,65,0.5,1,1.6641,1
172,1,10,18,0.5,0,0.92494,1
173,2,18,75,0.5,1,1.3148,1
174,1,18,18,0.5,0,1.0889,0
175,2,15,25,0.5,0,1.0716,1
176,2,4,18,0.5,0,0.7377,1
177,2,21,90,0.5,1,1.3216,1
178,2,10,65,0.5,0,2.7721,0
179,1,4,18,1,0,1.8477,1
180,2,21,65,1,0,3.7267,0
181,2,15,75,0.5,1,2.1996,1
182,2,21,90,0.5,1,1.5065,1
183,1,21,90,0.068,0,5.9883,0
184,2,21,90,0.5,1,1.6307,1
185,2,15,18,0.5,0,1.3288,1
186,2,7,25,0.068,0,2.0449,1
187,1,18,18,0.068,1,2.4501,1
188,1,15,90,1,1,1.8957,1
189,2,4,35,0.5,0,0.87393,1
190,2,21,65,0.5,1,1.6307,1
191,1,18,18,0.068,1,4.3156,1
192,2,10,18,0.5,0,1.1158,1
193,1,15,18,0.068,1,1.3187,1
194,1,15,18,1,1,1.0946,1
195,2,18,18,0.5,0,0.81367,1
196,1,4,75,1,0,1.0597,1
197,2,4,18,1,0,0.96864,1
198,1,4,65,0.5,0,2.6025,1
199,2,21,90,0.068,1,1.2865,1
200,2,18,18,0.068,0,1.1381,1
201,1,10,35,1,0,4.4991,1
202,2,15,90,1,0,0.91416,0
203,2,18,18,0.068,0,3.2014,1
204,2,15,18,0.068,0,0.71295,1
205,2,15,18,1,0,0.52284,1
206,2,4,75,1,0,1.5047,0
207,1,21,65,0.068,1,0.95867,1
208,1,7,25,0.068,0,1.5142,1
209,1,7,90,0.068,0,3.1158,1
210,2,4,65,0.5,0,1.5908,0
211,2,10,35,1,0,1.2131,1
212,2,21,65,0.068,1,0.87714,1
213,2,7,25,0.068,0,0.917,1
214,2,7,90,0.068,1,0.98012,1
215,1,7,25,1,0,1.2485,1
216,2,7,25,1,0,1.1708,1
