Trial Number,TrialTypeN1S2,Nvalue,Svalue,time,KeyPressZsmallMgreater,ReactionTime,Accuracy
1,2,15,65,1,0,649.3886,0
2,2,10,18,0.5,0,0.43014,1
3,2,21,25,0.068,0,1.6228,1
4,1,15,65,1,1,2.1842,1
5,1,10,18,0.5,0,0.2546,1
6,1,21,25,0.068,1,0.60485,1
7,2,4,18,0.068,0,0.84382,1
8,2,15,25,0.068,1,0.24423,0
9,1,4,18,0.068,0,0.31882,1
10,1,15,25,0.068,0,0.48948,0
11,2,4,35,0.5,0,0.27082,1
12,2,18,75,0.5,1,0.0033398,1
13,1,4,35,0.5,0,0.37085,1
14,2,18,90,0.5,1,0.19659,1
15,1,18,75,0.5,1,0.0023448,1
16,2,4,35,1,0,0.10557,1
17,1,18,90,0.5,1,0.11949,1
18,1,4,35,1,0,0.0043906,1
19,1,21,35,0.5,1,0.60068,1
20,1,21,75,0.5,1,0.25069,1
21,2,21,35,0.5,0,0.23839,1
22,2,21,75,0.5,1,0.004553,1
23,1,10,35,0.068,0,111.6942,1
24,1,4,75,0.068,0,0.82541,1
25,1,18,90,0.5,1,0.21805,1
26,2,10,35,0.068,0,0.71633,1
27,2,4,75,0.068,0,75.2953,0
28,1,15,18,0.5,1,1.1476,1
29,1,7,65,1,0,0.3768,1
30,2,18,90,0.5,1,0.20589,1
31,1,4,18,0.068,0,0.2452,1
32,1,7,75,0.068,1,0.18714,0
33,1,10,35,1,1,0.0023588,0
34,1,21,25,1,1,0.10831,1
35,1,18,90,1,1,0.0030284,1
36,2,15,18,0.5,0,2.413,1
37,2,7,65,1,0,117.1822,0
38,2,4,18,0.068,0,64.7097,1
39,2,7,75,0.068,1,1.0293,1
40,2,10,35,1,0,0.23077,1
41,1,4,18,0.5,0,0.57857,1
42,2,21,25,1,0,0.15009,1
43,2,18,90,1,1,0.29133,1
44,1,21,75,0.5,1,0.30646,1
45,2,4,18,0.5,0,68.6949,1
46,2,21,75,0.5,1,0.7119,1
47,2,7,65,0.068,0,0.38464,0
48,1,7,65,0.068,1,0.19002,0
49,2,4,65,0.068,0,0.38475,0
50,2,7,65,0.5,0,0.32023,0
51,1,4,65,0.068,0,0.19637,1
52,2,21,90,0.5,1,0.19453,1
53,1,7,65,0.5,1,0.65648,0
54,1,21,90,0.5,1,0.0064895,1
55,1,15,18,0.068,1,0.20883,1
56,1,15,25,1,1,0.088309,1
57,1,10,18,1,1,0.2833,0
58,2,15,18,0.068,0,338.6629,1
59,2,15,25,1,0,0.14782,1
60,2,10,18,1,0,0.66967,1
61,1,4,75,1,0,0.23055,1
62,1,7,75,1,1,0.2658,0
63,1,21,75,1,1,0.26193,1
64,1,18,90,0.068,1,0.91171,1
65,2,4,75,1,0,0.0023223,0
66,1,18,75,1,1,0.12577,1
67,1,15,18,0.5,0,0.32275,0
68,2,7,75,1,0,0.10107,0
69,2,21,75,1,1,0.00308,1
70,2,18,90,0.068,1,0.49998,1
