Trial Number,TrialTypeN1S2,Nvalue,Svalue,time,KeyPressZsmallMgreater,ReactionTime,Accuracy
1,2,18,18,1,0,6.9422,1
2,1,18,18,1,0,0.57312,0
3,1,18,75,0.068,1,3.0787,1
4,2,18,75,0.068,0,3.4303,0
5,2,10,35,0.068,1,2.4461,0
6,1,10,35,0.068,0,5.277,1
7,1,21,65,1,1,2.9231,1
8,1,7,18,0.068,0,4.3775,1
9,2,21,65,1,0,2.7176,0
10,2,7,18,0.068,0,1.0249,1
11,2,21,18,1,0,0.51046,1
12,1,21,18,1,1,4.2477,1
13,1,21,18,0.5,1,1.1704,1
14,1,21,35,0.068,1,1.4603,1
15,1,10,65,0.5,1,2.7717,0
16,1,18,75,0.068,0,2.9784,0
17,1,4,25,0.068,0,2.7529,1
18,1,7,75,0.5,0,2.3364,1
19,2,21,18,0.5,0,1.6842,1
20,2,21,35,0.068,0,1.7525,1
21,1,21,75,0.068,0,4.8822,0
22,1,18,75,1,1,2.7116,1
23,1,4,25,0.068,0,3.9715,1
24,2,10,65,0.5,1,3.3125,1
25,1,15,18,0.5,1,2.2929,1
26,1,10,65,0.5,0,2.4763,1
27,1,4,25,0.5,0,1.2558,1
28,1,10,35,0.5,1,1.011,0
29,2,18,75,0.068,0,4.0241,0
30,2,4,25,0.068,0,2.6992,1
31,2,7,75,0.5,0,2.5222,0
32,1,4,25,1,0,1.4898,1
33,2,21,75,0.068,0,4.8552,0
34,2,18,75,1,0,2.8225,0
35,2,4,25,0.068,1,5.9086,0
36,1,18,65,0.068,1,3.9644,1
37,1,15,18,0.068,1,2.3185,1
38,1,21,18,0.068,1,1.0173,1
39,1,10,65,0.068,1,2.5367,0
40,2,15,18,0.5,0,0.11446,1
41,2,10,65,0.5,0,1.5257,0
42,2,4,25,0.5,0,1.0407,1
43,2,10,35,0.5,1,1.6043,0
44,2,4,25,1,1,1.7772,0
45,2,18,65,0.068,0,3.0309,0
46,2,15,18,0.068,1,2.0734,0
47,1,15,35,0.5,0,2.1667,0
48,1,4,90,0.068,1,3.6392,0
49,2,21,18,0.068,1,2.4817,0
50,1,15,75,0.5,0,4.542,0
51,1,7,18,0.5,1,1.3236,0
52,1,4,90,1,1,2.2221,0
53,1,21,90,0.5,0,0.98634,0
54,2,10,65,0.068,1,3.5582,1
55,1,18,65,0.5,1,0.99622,1
56,1,10,35,0.5,0,1.5631,1
57,1,7,25,0.068,0,1.2014,1
58,1,18,35,1,0,1.2652,0
59,2,15,35,0.5,1,2.5505,0
60,1,7,25,1,1,5.724,0
61,1,15,35,1,1,2.5436,1
62,2,4,90,0.068,0,3.5661,0
63,1,4,25,1,1,1.6611,0
64,1,10,90,1,1,3.3201,0
65,1,10,65,0.068,1,3.5628,0
66,2,15,75,0.5,0,1.2507,0
