Trial Number,TrialTypeN1S2,Nvalue,Svalue,time,KeyPressZsmallMgreater,ReactionTime,Accuracy
1,2,18,18,1,0,2.0273,1
2,1,18,18,1,0,0.33114,0
3,1,18,75,0.068,1,7.4079,1
4,2,18,75,0.068,1,1.4018,1
5,2,10,35,0.068,1,5.5392,0
6,1,10,35,0.068,0,2.5233,1
7,1,21,65,1,1,0.77683,1
8,1,7,18,0.068,1,1.7102,0
9,2,21,65,1,1,2.4069,1
10,2,7,18,0.068,0,1.4702,1
11,2,21,18,1,0,1.1652,1
12,1,21,18,1,1,1.1947,1
13,1,21,18,0.5,1,0.72077,1
14,1,21,35,0.068,1,2.6736,1
15,1,10,65,0.5,0,1.0505,1
16,1,18,75,0.068,1,1.1474,1
17,1,4,25,0.068,0,1.0466,1
18,1,7,75,0.5,0,0.51774,1
19,2,21,18,0.5,0,1.4939,1
20,2,21,35,0.068,1,2.9437,0
21,1,21,75,0.068,1,4.2233,1
22,1,18,75,1,1,0.56173,1
23,1,4,25,0.068,0,0.80385,1
24,2,10,65,0.5,0,0.32857,0
25,1,15,18,0.5,1,1.1215,1
26,1,10,65,0.5,0,0.586,1
27,1,4,25,0.5,0,1.7974,1
28,1,10,35,0.5,0,0.16078,1
29,2,18,75,0.068,1,0.82899,1
30,2,4,25,0.068,0,1.3599,1
31,2,7,75,0.5,0,0.46361,0
32,1,4,25,1,0,0.81283,1
33,2,21,75,0.068,1,1.3653,1
34,2,18,75,1,1,1.1792,1
35,2,4,25,0.068,0,2.872,1
36,1,18,65,0.068,1,3.064,1
37,1,15,18,0.068,1,2.7328,1
38,1,21,18,0.068,1,0.97665,1
39,1,10,65,0.068,0,0.56765,1
40,2,15,18,0.5,0,0.90353,1
41,2,10,65,0.5,1,1.7527,1
42,2,4,25,0.5,0,1.554,1
43,2,10,35,0.5,0,1.435,1
44,2,4,25,1,0,0.46196,1
45,2,18,65,0.068,1,0.91456,1
46,2,15,18,0.068,0,1.6065,1
47,1,15,35,0.5,0,2.0282,0
48,1,4,90,0.068,0,0.63645,1
49,2,21,18,0.068,0,1.443,1
50,1,15,75,0.5,1,1.1061,1
51,1,7,18,0.5,0,0.99942,1
52,1,4,90,1,0,2.1713,1
53,1,21,90,0.5,1,0.74191,1
54,2,10,65,0.068,1,1.5848,1
55,1,18,65,0.5,1,0.95359,1
56,1,10,35,0.5,0,0.53837,1
57,1,7,25,0.068,0,0.52231,1
58,1,18,35,1,1,0.60078,1
59,2,15,35,0.5,0,0.64878,1
60,1,7,25,1,0,0.78675,1
61,1,15,35,1,1,1.4594,1
62,2,4,90,0.068,0,0.64727,0
63,1,4,25,1,0,0.98507,1
64,1,10,90,1,0,0.55169,1
65,1,10,65,0.068,1,0.87143,0
66,2,15,75,0.5,1,0.98906,1
67,1,4,25,1,0,0.51235,1
68,2,7,18,0.5,0,1.1894,1
69,2,4,90,1,1,0.66704,1
70,2,21,90,0.5,1,0.63585,1
71,2,18,65,0.5,1,0.45368,1
72,1,10,90,0.5,0,1.1674,1
73,1,10,65,0.5,0,1.275,1
74,2,10,35,0.5,0,1.0452,1
75,2,7,25,0.068,0,0.60139,1
76,2,18,35,1,0,1.085,1
77,2,7,25,1,0,0.75441,1
78,2,15,35,1,0,1.1467,1
79,2,4,25,1,0,2.071,1
80,2,10,90,1,0,3.175,0
81,2,10,65,0.068,1,2.5065,1
82,2,4,25,1,0,0.55939,1
83,2,10,90,0.5,1,2.3688,1
84,1,4,25,0.5,0,0.93399,1
85,1,18,65,0.5,1,0.46111,1
86,1,18,65,1,1,0.57744,1
87,1,21,25,0.068,1,0.76231,1
88,2,10,65,0.5,1,0.82445,1
89,1,21,75,1,1,0.47638,1
90,2,4,25,0.5,0,0.51963,1
91,1,21,90,1,1,0.49029,1
92,2,18,65,0.5,1,1.551,1
93,2,18,65,1,1,1.0559,1
94,2,21,25,0.068,0,1.5569,1
95,1,10,35,0.068,1,2.5852,0
96,2,21,75,1,1,2.1801,1
97,1,21,65,0.5,1,1.289,1
98,2,21,90,1,1,1.371,1
99,1,18,35,0.5,1,0.79585,1
100,2,10,35,0.068,0,3.8145,1
101,2,21,65,0.5,1,0.94614,1
102,2,18,35,0.5,0,4.6772,1
103,2,15,35,0.068,0,7.3089,1
104,2,7,90,0.068,1,1.0476,1
105,2,15,75,0.068,1,0.56086,1
106,2,10,65,0.068,1,0.47494,1
107,2,15,90,1,1,0.85704,1
108,1,15,35,0.068,0,1.5882,0
109,2,7,18,0.068,0,1.7156,1
110,2,4,25,0.5,0,0.76368,1
111,1,7,90,0.068,0,1.0907,1
112,1,15,75,0.068,1,1.4117,1
113,1,10,65,0.068,0,3.5358,1
114,1,15,90,1,1,0.57265,1
115,2,15,90,0.068,1,0.84343,1
116,1,7,18,0.068,0,0.63481,1
117,2,15,18,0.068,0,1.4726,1
118,2,15,75,0.068,1,0.57398,1
119,2,18,65,0.068,1,0.65465,1
120,2,4,90,0.068,1,1.3354,1
121,1,4,25,0.5,0,0.59223,1
122,1,15,90,0.068,1,0.58886,1
123,1,15,18,0.068,0,0.77246,0
124,1,15,75,0.068,1,0.61077,1
125,1,18,65,0.068,1,0.48991,1
126,2,21,25,1,0,0.55692,1
127,1,4,90,0.068,0,0.98004,1
128,1,21,25,1,1,0.3834,1
129,1,7,90,0.5,0,0.47025,1
