Trial Number,TrialTypeN1S2,Nvalue,Svalue,time,KeyPressZsmallMgreater,ReactionTime,Accuracy
1,1,21,75,0.5,1,29.6325,1
2,1,18,35,0.5,1,4.2587,1
3,2,21,75,0.5,1,5.0408,1
4,2,18,35,0.5,0,5.9758,1
5,2,18,75,0.068,1,8.4936,1
6,1,18,75,0.068,0,4.3661,0
7,2,10,35,0.5,0,0.73984,1
8,1,10,35,0.5,0,2.0513,1
9,1,18,18,0.068,1,1.1969,1
10,2,18,18,0.068,0,2.2762,1
11,2,7,25,0.5,0,1.91,1
12,2,15,25,0.068,0,1.8358,1
13,2,21,90,1,1,0.66048,1
14,1,7,25,0.5,0,2.5018,1
15,1,15,25,0.068,1,3.2001,1
16,2,4,35,0.068,0,2.3216,1
17,1,21,90,1,1,1.4923,1
18,1,4,35,0.068,0,1.2396,1
19,1,4,35,1,0,0.89106,1
20,1,15,35,0.068,1,1.6512,1
21,1,18,75,0.068,1,4.0584,1
22,2,4,35,1,0,1.4047,1
23,1,4,65,0.068,0,1.3423,1
24,1,7,25,0.068,0,0.93513,1
25,2,15,35,0.068,0,1.1397,1
26,1,15,90,0.068,0,1.2804,0
27,2,18,75,0.068,1,1.4321,1
28,1,7,25,0.5,0,0.76618,1
29,1,18,18,1,0,0.68304,0
30,2,4,65,0.068,1,2.2932,1
31,1,7,25,0.068,0,0.63403,1
32,2,7,25,0.068,0,1.1827,1
33,2,15,90,0.068,1,1.0386,1
34,1,4,75,0.5,0,1.0154,1
35,1,10,65,0.068,1,2.8731,0
36,2,7,25,0.5,0,0.86209,1
37,1,18,75,1,1,1.0507,1
38,1,15,35,0.5,1,0.79023,1
39,2,18,18,1,0,1.1807,1
40,1,10,65,1,1,0.47477,0
41,2,7,25,0.068,0,1.171,1
42,1,18,35,1,1,0.66223,1
43,2,4,75,0.5,1,1.1109,1
44,2,10,65,0.068,1,1.249,1
45,1,10,18,1,0,1.2153,1
46,2,18,75,1,1,1.196,1
47,1,7,25,1,0,1.5034,1
48,2,15,35,0.5,0,1.0878,1
49,2,10,65,1,1,1.2185,1
50,2,18,35,1,0,1.0854,1
51,2,10,18,1,0,0.96578,1
52,2,7,25,1,0,0.5443,1
53,2,21,90,1,1,0.86798,1
54,1,21,90,1,1,0.82057,1
55,2,15,75,1,1,1.1443,1
56,2,15,90,0.5,1,1.4919,1
57,1,15,75,1,1,0.0002046,1
58,2,21,90,0.068,1,1.0382,1
59,1,15,90,0.5,0,2.6346,0
60,1,21,90,0.068,1,1.2011,1
61,1,4,75,0.068,1,7.1187,0
62,1,10,18,0.068,0,1.282,1
63,1,15,75,1,1,1.9736,1
64,1,4,35,1,0,0.75658,1
65,1,10,35,0.068,0,1.2626,1
66,2,4,75,0.068,0,1.9602,0
67,2,10,18,0.068,0,0.91569,1
68,2,15,75,1,1,1.1124,1
69,1,18,18,0.5,1,0.90402,1
70,1,15,25,1,1,0.6309,1
71,2,4,35,1,0,0.85792,1
72,2,10,35,0.068,0,1.262,1
73,1,7,25,1,0,1.3373,1
74,1,4,35,0.5,0,0.58495,1
75,2,18,18,0.5,0,1.2345,1
76,2,15,25,1,0,0.79531,1
77,1,10,65,1,0,0.67917,1
78,1,18,75,1,1,0.55411,1
79,1,15,75,0.068,1,1.5007,1
80,1,7,25,1,0,0.65416,1
81,1,4,18,0.068,0,1.0745,1
82,1,4,65,0.5,0,0.9137,1
83,1,10,35,0.5,0,0.69376,1
84,1,10,90,0.068,0,1.1409,1
85,1,18,75,0.5,1,0.87234,1
86,2,7,25,1,0,1.1347,1
87,1,21,65,0.068,1,1.066,1
88,1,7,25,0.068,0,0.55605,1
89,2,4,35,0.5,0,0.90148,1
90,1,4,35,0.068,0,1.7204,1
91,2,10,65,1,1,2.486,1
92,2,18,75,1,1,0.6408,1
93,2,15,75,0.068,0,1.3126,0
94,2,7,25,1,0,1.004,1
95,2,4,18,0.068,0,0.58543,1
96,2,4,65,0.5,1,2.0748,1
97,2,10,35,0.5,0,1.8461,1
98,1,18,18,1,1,0.93247,1
99,2,10,90,0.068,1,1.1624,1
100,2,18,75,0.5,1,0.64379,1
101,1,10,35,0.068,0,0.86364,1
102,1,21,65,1,1,0.90923,1
103,2,21,65,0.068,1,1.9315,1
104,2,7,25,0.068,0,0.82251,1
105,1,10,35,1,0,1.2683,1
106,1,15,35,1,1,1.6228,1
107,1,18,18,0.5,1,0.85832,1
108,2,4,35,0.068,0,0.89338,1
109,1,4,65,1,0,0.79185,1
110,2,18,18,1,0,0.67897,1
111,1,10,90,0.5,0,1.1883,1
112,1,10,65,0.5,0,1.042,1
113,2,10,35,0.068,0,3.8722,1
114,1,21,90,1,1,1.3991,1
115,1,15,75,0.5,1,1.6314,1
116,1,21,90,0.068,1,1.429,1
117,2,21,65,1,1,1.1489,1
118,2,10,35,1,0,1.033,1
119,2,15,35,1,0,1.3625,1
120,2,18,18,0.5,0,0.9045,1
121,2,4,65,1,0,1.7959,0
122,1,4,65,0.068,0,2.5137,1
123,1,7,90,1,0,0.65596,1
124,1,7,25,0.5,0,4.0635,1
125,2,10,90,0.5,1,1.3966,1
126,1,21,65,0.5,1,1.0769,1
127,1,10,65,0.068,1,0.88402,0
128,1,7,90,0.5,0,1.0379,1
129,1,7,25,0.5,0,0.91128,1
130,1,18,35,0.068,1,1.1022,1
131,1,4,65,1,0,0.90461,1
132,2,10,65,0.5,1,1.3439,1
133,1,7,25,0.5,0,0.80188,1
134,2,21,90,1,1,0.97167,1
135,2,15,75,0.5,1,0.65943,1
136,1,21,75,0.068,0,0.7297,0
137,2,21,90,0.068,1,0.86971,1
138,1,21,75,1,1,0.50863,1
139,2,4,65,0.068,1,8.5382,1
140,1,10,90,1,1,1.869,0
141,2,7,90,1,1,0.93011,1
142,2,7,25,0.5,0,1.0975,1
143,2,21,65,0.5,0,1.0804,0
144,2,10,65,0.068,0,2.3012,0
145,2,7,90,0.5,1,1.22,1
146,1,7,25,1,0,0.95202,1
147,1,15,75,0.068,1,2.1305,1
148,1,18,18,1,1,0.87869,1
149,2,7,25,0.5,1,1.1301,0
150,2,18,35,0.068,0,1.395,1
151,1,18,75,0.5,1,1.132,1
152,1,15,25,0.5,1,1.9538,1
153,1,4,18,0.5,0,0.46258,1
154,1,21,90,0.5,1,0.80167,1
155,1,10,65,0.5,1,0.58366,0
156,2,4,65,1,0,1.1679,0
157,2,7,25,0.5,0,0.50784,1
158,2,21,75,0.068,1,1.0237,1
159,1,21,65,1,1,0.80715,1
160,2,21,75,1,1,1.1561,1
161,1,15,75,0.5,1,0.99816,1
162,2,10,90,1,1,1.4986,1
163,2,7,25,1,0,1.5594,1
164,1,21,90,0.5,1,1.0173,1
165,1,21,90,0.5,1,0.94598,1
166,2,15,75,0.068,1,1.9359,1
167,1,15,18,0.5,1,0.65114,1
168,1,7,25,0.068,1,1.413,0
169,2,18,18,1,0,0.5965,1
170,1,4,35,0.5,0,0.78082,1
171,1,21,65,0.5,1,0.49638,1
172,1,10,18,0.5,0,0.97224,1
173,2,18,75,0.5,1,0.96743,1
174,1,18,18,0.5,1,0.83942,1
175,2,15,25,0.5,0,1.7306,1
176,2,4,18,0.5,0,1.6166,1
177,2,21,90,0.5,1,0.80604,1
178,2,10,65,0.5,0,0.94407,0
179,1,4,18,1,0,0.5958,1
180,2,21,65,1,1,0.91094,1
181,2,15,75,0.5,1,1.4694,1
182,2,21,90,0.5,1,0.50254,1
183,1,21,90,0.068,1,0.75659,1
184,2,21,90,0.5,1,0.17212,1
185,2,15,18,0.5,0,0.69668,1
186,2,7,25,0.068,0,0.53296,1
187,1,18,18,0.068,1,1.5705,1
188,1,15,90,1,1,0.9732,1
189,2,4,35,0.5,0,0.66451,1
190,2,21,65,0.5,1,1.676,1
191,1,18,18,0.068,1,1.392,1
192,2,10,18,0.5,0,0.72001,1
