Trial Number,TrialTypeN1S2,Nvalue,Svalue,time,KeyPressZsmallMgreater,ReactionTime,Accuracy
1,1,15,75,1,1,1.548,1
2,1,15,75,1,0,1.9106,0
3,1,7,75,0.5,0,0.4591,1
4,2,15,75,1,1,0.60221,1
5,1,10,25,0.5,0,0.8167,1
6,2,15,75,1,0,6.2233,0
7,1,21,18,0.5,1,0.76734,1
8,2,7,75,0.5,0,1.2458,0
9,1,18,65,0.068,1,1.1952,1
10,1,4,90,0.5,1,1.8319,0
11,1,7,75,0.068,0,1.0193,1
12,2,10,25,0.5,0,0.38938,1
13,2,21,18,0.5,0,1.221,1
14,2,18,65,0.068,1,1.0873,1
15,1,18,18,1,1,0.54139,1
16,1,15,75,0.5,1,0.29311,1
17,2,4,90,0.5,0,0.1378,0
18,1,10,25,0.068,0,0.30422,1
19,2,7,75,0.068,0,0.36181,0
20,2,18,18,1,1,0.0017025,0
21,2,15,75,0.5,0,0.39689,0
22,1,18,18,0.5,0,0.70341,0
23,1,10,25,0.068,0,0.84582,1
24,2,10,25,0.068,0,1.1765,1
25,1,21,18,0.068,1,0.42226,1
26,1,21,18,1,1,0.77184,1
27,2,18,18,0.5,0,0.62103,1
28,2,10,25,0.068,0,0.62713,1
29,2,21,18,0.068,0,0.60576,1
30,2,21,18,1,0,0.54628,1
31,1,4,90,0.5,0,0.67773,1
32,1,21,65,1,1,0.018515,1
33,2,4,90,0.5,0,0.14642,0
34,2,21,65,1,1,0.0016797,1
35,2,21,65,0.5,1,0.26046,1
36,1,21,65,0.5,1,0.19714,1
37,2,21,25,0.5,1,0.41316,0
38,2,15,75,0.5,0,0.19848,0
39,2,10,65,0.5,1,0.27151,1
40,1,21,25,0.5,0,0.36607,0
41,1,15,75,0.5,1,0.15868,1
42,1,10,65,0.5,0,0.2528,1
43,1,7,25,0.068,0,0.60918,1
44,1,15,75,1,1,0.45822,1
45,2,7,25,0.068,0,0.44842,1
46,2,15,75,1,1,0.88085,1
47,2,15,75,0.5,1,0.50894,1
48,2,4,90,1,0,0.037614,0
49,1,15,75,0.5,1,1.2354,1
50,2,18,25,0.068,0,0.48806,1
51,1,4,90,1,0,0.0019126,1
52,1,18,25,0.068,1,0.83267,1
53,1,18,25,1,0,0.0022882,0
54,1,7,35,0.068,0,0.59147,1
55,2,18,25,1,1,0.88452,0
56,2,7,35,0.068,0,0.58812,1
57,2,10,35,0.068,0,0.72693,1
58,1,10,35,0.068,0,0.85832,1
59,1,7,35,1,0,0.22524,1
60,2,7,35,1,0,0.24532,1
61,2,4,90,0.068,0,0.35333,0
62,1,4,90,0.068,0,0.97415,1
63,1,10,25,1,0,0.64396,1
64,1,10,90,0.5,1,0.18936,0
65,2,10,25,1,0,0.32381,1
66,2,10,90,0.5,1,0.32518,1
67,1,7,35,0.068,0,0.70271,1
68,2,7,35,0.068,0,0.49627,1
69,1,4,90,0.068,0,1.0422,1
70,2,4,90,0.068,0,0.5992,0
71,2,18,35,0.068,1,1.0715,0
72,2,4,18,1,0,0.18723,1
73,2,18,25,0.5,0,1.0015,1
74,2,21,65,1,1,0.10919,1
75,2,18,35,1,1,1.1157,0
76,1,18,35,0.068,1,0.96865,1
77,2,7,65,0.068,1,0.79477,1
78,1,4,18,1,0,0.25908,1
79,2,15,90,0.5,1,0.25028,1
80,2,7,75,1,1,0.51591,1
81,1,18,25,0.5,0,0.30897,0
82,2,21,65,0.5,1,1.1599,1
83,2,7,35,0.5,0,0.25931,1
84,2,10,35,1,0,0.32247,1
85,1,21,65,1,1,0.17803,1
86,2,21,35,0.5,0,0.95784,1
87,1,18,35,1,1,0.80437,1
88,1,7,65,0.068,0,0.36076,1
89,1,15,90,0.5,1,0.33986,1
90,2,18,18,0.5,0,0.4218,1
91,2,7,25,0.5,0,0.2926,1
92,1,7,75,1,0,0.6397,1
93,2,10,35,0.5,0,0.21147,1
94,1,21,65,0.5,1,0.23255,1
95,2,15,75,0.068,1,0.3891,1
96,2,7,65,1,0,0.55241,0
97,1,7,35,0.5,1,0.65304,0
98,1,10,35,1,0,0.94465,1
99,2,4,90,0.068,0,0.43891,0
100,1,21,35,0.5,1,0.28467,1
101,1,18,18,0.5,1,0.5825,1
102,2,10,35,0.5,0,0.20271,1
103,1,7,25,0.5,0,0.28324,1
104,1,10,35,0.5,0,0.047138,1
105,2,7,75,1,1,0.58328,1
106,1,15,75,0.068,0,1.8379,0
107,2,10,35,1,0,16.4003,1
108,1,7,65,1,0,0.4731,1
109,2,10,90,0.068,1,1.269,1
110,1,4,90,0.068,0,3.1395,1
111,2,4,18,0.5,0,0.19583,1
112,1,10,35,0.5,0,0.96174,1
113,1,7,75,1,0,0.32502,1
114,1,10,35,1,0,0.72965,1
115,1,10,90,0.068,0,0.90373,1
116,2,10,25,1,0,0.39738,1
117,2,21,35,1,0,2.1049,1
118,1,4,18,0.5,0,0.31728,1
119,1,10,25,1,0,0.097635,1
120,1,21,35,1,1,0.33796,1
121,1,18,35,0.5,1,0.61951,1
122,1,15,75,0.068,1,0.42114,1
123,2,18,35,0.5,1,0.22002,0
124,2,15,75,0.068,1,0.46371,1
125,2,15,75,0.5,1,0.21655,1
126,1,15,75,0.5,1,0.055683,1
127,2,15,90,1,1,0.001631,1
128,1,15,90,1,1,0.0017463,1
129,1,21,65,0.068,1,0.44502,1
130,1,15,90,0.068,1,0.31995,1
131,2,21,65,0.068,1,0.4695,1
132,1,4,18,1,0,0.0017446,1
133,1,21,65,0.5,1,0.23896,1
134,1,21,35,0.068,0,0.28297,0
135,2,15,90,0.068,1,0.27403,1
136,2,4,18,1,0,0.19298,1
137,1,4,18,0.068,0,0.58462,1
138,2,21,65,0.5,1,161.0581,1
139,2,21,35,0.068,1,0.56797,0
140,2,4,18,0.068,0,0.51147,1
141,2,10,65,1,1,0.43181,1
142,1,10,65,1,1,0.056434,0
143,1,4,90,1,0,0.54848,1
144,1,18,18,0.068,0,0.70972,0
145,1,21,65,0.068,1,2.2396,1
146,1,15,75,0.068,1,0.57254,1
147,2,4,90,1,0,0.0016969,0
148,2,18,18,0.068,0,4.1208,1
149,2,21,65,0.068,1,1.1656,1
150,1,15,18,1,1,1.1495,1
151,2,15,75,0.068,1,1.8812,1
152,1,7,35,0.5,0,0.12052,1
153,2,15,18,1,0,58.9718,1
154,2,7,35,0.5,0,0.24379,1
155,2,7,75,0.5,1,3.0081,1
156,2,18,25,0.068,0,0.79339,1
157,2,18,65,0.5,1,0.26136,1
158,2,7,75,0.068,0,0.71676,0
159,2,18,18,1,0,0.23567,1
160,1,7,75,0.5,0,1.4012,1
161,1,18,25,0.068,1,14.4108,1
162,1,18,65,0.5,1,1.862,1
163,2,4,90,1,1,0.34963,1
164,2,4,18,0.5,0,0.21208,1
165,1,7,75,0.068,0,0.67136,1
166,1,18,18,1,1,0.69679,1
167,2,4,90,1,0,0.55378,0
168,1,4,90,1,0,0.78851,1
