Trial Number,TrialTypeN1S2,Nvalue,Svalue,time,KeyPressZsmallMgreater,ReactionTime,Accuracy
1,1,21,75,0.5,0,5.2702,0
2,1,18,35,0.5,0,1.3716,0
3,2,21,75,0.5,0,25.0106,0
4,2,18,35,0.5,0,2.4466,1
5,2,18,75,0.068,1,1.6859,1
6,1,18,75,0.068,1,1.256,1
7,2,10,35,0.5,0,1.2244,1
8,1,10,35,0.5,0,5.5411,1
9,1,18,18,0.068,1,1.9353,1
10,2,18,18,0.068,0,1.5221,1
11,2,7,25,0.5,0,1.3098,1
12,2,15,25,0.068,0,1.2531,1
13,2,21,90,1,1,1.3846,1
14,1,7,25,0.5,0,8.0646,1
15,1,15,25,0.068,1,1.5467,1
16,2,4,35,0.068,0,1.5657,1
17,1,21,90,1,1,1.2778,1
18,1,4,35,0.068,0,1.3281,1
19,1,4,35,1,0,1.3433,1
20,1,15,35,0.068,1,1.3434,1
21,1,18,75,0.068,1,1.1387,1
22,2,4,35,1,0,1.0468,1
23,1,4,65,0.068,0,1.5909,1
24,1,7,25,0.068,0,1.2978,1
25,2,15,35,0.068,0,1.9817,1
26,1,15,90,0.068,0,4.6153,0
27,2,18,75,0.068,1,1.6249,1
28,1,7,25,0.5,0,1.1444,1
29,1,18,18,1,1,1.0293,1
30,2,4,65,0.068,0,3.3021,0
31,1,7,25,0.068,0,1.2922,1
32,2,7,25,0.068,0,1.1501,1
33,2,15,90,0.068,1,1.0647,1
34,1,4,75,0.5,0,0.85936,1
35,1,10,65,0.068,1,2.2171,0
36,2,7,25,0.5,0,0.73471,1
37,1,18,75,1,1,2.5012,1
38,1,15,35,0.5,1,0.78554,1
39,2,18,18,1,0,0.97981,1
40,1,10,65,1,0,0.97954,1
41,2,7,25,0.068,0,0.76736,1
42,1,18,35,1,1,0.80161,1
43,2,4,75,0.5,0,1.3713,0
44,2,10,65,0.068,0,1.5792,0
45,1,10,18,1,0,1.0711,1
46,2,18,75,1,1,1.0226,1
47,1,7,25,1,0,1.2413,1
48,2,15,35,0.5,0,1.0173,1
49,2,10,65,1,0,2.814,0
50,2,18,35,1,1,0.92058,0
51,2,10,18,1,0,0.69676,1
52,2,7,25,1,0,0.76401,1
53,2,21,90,1,1,0.62214,1
54,1,21,90,1,1,1.0083,1
55,2,15,75,1,1,1.7057,1
56,2,15,90,0.5,1,0.95626,1
57,1,15,75,1,1,1.9442,1
58,2,21,90,0.068,1,1.0788,1
59,1,15,90,0.5,1,1.3071,1
60,1,21,90,0.068,1,1.0036,1
61,1,4,75,0.068,0,0.96051,1
62,1,10,18,0.068,0,1.371,1
63,1,15,75,1,1,0.72205,1
64,1,4,35,1,0,0.52892,1
65,1,10,35,0.068,0,1.2096,1
66,2,4,75,0.068,0,1.658,0
67,2,10,18,0.068,0,1.2038,1
68,2,15,75,1,1,1.7151,1
69,1,18,18,0.5,1,1.8922,1
70,1,15,25,1,1,1.2784,1
71,2,4,35,1,0,0.78041,1
72,2,10,35,0.068,0,1.1249,1
73,1,7,25,1,0,1.2179,1
74,1,4,35,0.5,0,1.0746,1
75,2,18,18,0.5,0,0.9149,1
76,2,15,25,1,0,2.9007,1
77,1,10,65,1,0,0.82356,1
78,1,18,75,1,1,0.97932,1
79,1,15,75,0.068,1,0.93212,1
80,1,7,25,1,0,0.88847,1
81,1,4,18,0.068,0,1.2996,1
82,1,4,65,0.5,0,1.1394,1
83,1,10,35,0.5,0,2.4405,1
84,1,10,90,0.068,0,1.2695,1
85,1,18,75,0.5,1,0.9836,1
86,2,7,25,1,0,0.78455,1
87,1,21,65,0.068,1,0.92948,1
88,1,7,25,0.068,0,1.3297,1
89,2,4,35,0.5,0,0.88686,1
90,1,4,35,0.068,0,0.84226,1
91,2,10,65,1,0,1.0353,0
92,2,18,75,1,1,1.0567,1
