Trial Number,TrialTypeN1S2,Nvalue,Svalue,time,KeyPressZsmallMgreater,ReactionTime,Accuracy
1,2,15,75,0.5,1,4.1118,1
2,2,15,90,0.5,1,1.5711,1
3,1,15,75,0.5,1,6.5365,1
4,1,15,90,0.5,1,3.0692,1
5,2,7,25,0.5,0,1.6272,1
6,1,7,25,0.5,0,1.5451,1
7,1,10,18,0.5,0,1.9262,1
8,1,10,65,0.068,0,1.9331,1
9,1,4,25,1,0,0.82291,1
10,1,10,25,1,1,5.9672,0
11,2,10,18,0.5,0,1.7835,1
12,1,7,75,0.5,0,1.1002,1
13,1,4,75,0.5,0,0.963,1
14,2,10,65,0.068,1,1.6351,1
15,1,15,35,0.068,1,1.5079,1
16,1,4,35,1,0,0.83336,1
17,2,4,25,1,0,1.5055,1
18,2,10,25,1,0,1.2378,1
19,2,7,75,0.5,1,1.1729,1
20,2,4,75,0.5,1,1.2212,1
21,1,15,90,0.068,0,2.7373,0
22,1,4,90,0.068,0,0.95669,1
23,2,15,35,0.068,1,1.1793,0
24,2,4,35,1,0,1.0946,1
25,2,15,90,0.068,1,1.4513,1
26,2,4,90,0.068,0,1.3317,0
27,2,4,25,0.5,1,1.2255,0
28,2,21,65,0.5,0,1.9722,0
29,2,7,75,0.068,1,2.4805,1
30,1,4,25,0.5,0,0.84914,1
31,2,4,75,0.068,1,2.339,1
32,2,21,25,0.068,0,1.2765,1
33,1,21,65,0.5,0,0.81444,0
34,2,4,90,0.5,1,1.3252,1
35,1,7,75,0.068,0,1.552,1
36,1,4,75,0.068,0,0.79333,1
37,1,21,25,0.068,1,1.1605,1
38,1,4,90,0.5,0,1.1936,1
39,2,18,18,0.068,0,1.6449,1
40,1,18,18,0.068,0,1.1951,0
41,2,4,75,1,1,1.1872,1
42,1,4,75,1,0,1.472,1
43,2,21,35,0.068,0,1.6298,1
44,1,21,35,0.068,1,1.256,1
45,1,18,65,0.068,1,2.1699,1
46,2,18,65,0.068,1,1.3694,1
47,2,18,35,0.5,0,3.2783,1
48,1,18,35,0.5,1,0.84993,1
49,2,15,90,1,1,1.035,1
