Trial Number,TrialTypeN1S2,Nvalue,Svalue,time,KeyPressZsmallMgreater,ReactionTime,Accuracy,displaytime
1,2,18,18,1,1,2.5781,0,3095254.4904
2,1,18,18,1,0,3.3886,0,3095260.1205
3,1,18,75,0.068,1,1.3435,1,3095265.613
4,2,18,75,0.068,1,1.1505,1,3095269.086
5,2,10,35,0.068,1,4.3936,0,3095272.3395
6,1,10,35,0.068,1,1.3776,0,3095278.8349
7,1,21,65,1,0,3.9098,0,3095283.2148
8,1,7,18,0.068,1,3.2291,0,3095289.2229
9,2,21,65,1,1,1.2701,1,3095295.4869
10,2,7,18,0.068,1,5.7698,0,3095298.8267
11,2,21,18,1,1,1.2112,0,3095307.6654
12,1,21,18,1,1,1.1123,1,3095311.9081
13,1,21,18,0.5,0,1.6962,0,3095315.5719
14,1,21,35,0.068,1,6.2457,1,3095319.3667
15,1,10,65,0.5,0,3.494,1,3095328.1424
16,1,18,75,0.068,1,2.8994,1,3095333.7367
17,1,4,25,0.068,1,0.65253,0,3095338.7438
18,1,7,75,0.5,0,0.0005005,1,3095341.911
19,2,21,18,0.5,1,0.50978,0,3095344.4867
20,2,21,35,0.068,1,1.5314,0,3095347.073
21,1,21,75,0.068,1,1.1073,1,3095350.729
22,1,18,75,1,1,0.48359,1,3095354.809
23,1,4,25,0.068,1,5.1033,0,3095357.4213
24,2,10,65,0.5,0,1.2521,0,3095365.0084
25,1,15,18,0.5,1,0.48952,1,3095368.827
26,1,10,65,0.5,1,0.51802,0,3095371.8226
27,1,4,25,0.5,0,0.91304,1,3095374.8999
28,1,10,35,0.5,1,1.331,0,3095378.2971
29,2,18,75,0.068,1,0.91354,1,3095381.755
30,2,4,25,0.068,1,0.65416,0,3095384.7904
31,2,7,75,0.5,0,0.0034666,0,3095387.9463
32,1,4,25,1,1,3.6913,0,3095391.0007
33,2,21,75,0.068,1,0.5637,1,3095396.8003
34,2,18,75,1,1,0.88686,1,3095400.3576
35,2,4,25,0.068,1,0.34966,0,3095403.3754
36,1,18,65,0.068,0,1.2186,0,3095405.8014
37,1,15,18,0.068,1,0.55246,1,3095409.124
38,1,21,18,0.068,1,0.30262,1,3095411.8054
39,1,10,65,0.068,1,0.24318,0,3095414.1534
40,2,15,18,0.5,1,0.40229,0,3095416.8665
41,2,10,65,0.5,1,0.0014016,1,3095419.7591
42,2,4,25,0.5,1,0.27343,0,3095422.2586
43,2,10,35,0.5,0,2.3256,1,3095425.0629
44,2,4,25,1,1,0.33993,0,3095430.3926
45,2,18,65,0.068,1,1.6554,1,3095432.8287
46,2,15,18,0.068,1,0.47481,0,3095436.5452
47,1,15,35,0.5,0,0.32073,0,3095439.5158
48,1,4,90,0.068,1,0.40885,0,3095441.9401
49,2,21,18,0.068,1,0.23957,0,3095444.4454
50,1,15,75,0.5,1,1.4904,1,3095447.1617
51,1,7,18,0.5,1,0.0010367,0,3095451.1444
52,1,4,90,1,1,0.0008771,0,3095454.1711
53,1,21,90,0.5,1,0.48718,1,3095456.7014
54,2,10,65,0.068,1,0.28521,1,3095459.2468
55,1,18,65,0.5,1,2.2531,1,3095462.0635
56,1,10,35,0.5,1,0.0009563,0,3095466.8232
57,1,7,25,0.068,1,0.9946,0,3095468.8979
58,1,18,35,1,1,0.0008998,1,3095472.9548
59,2,15,35,0.5,0,2.6577,1,3095475.4589
60,1,7,25,1,0,0.62064,1,3095481.1514
61,1,15,35,1,1,0.0008926,1,3095484.8396
62,2,4,90,0.068,1,0.38481,1,3095486.9637
63,1,4,25,1,0,3.3959,1,3095490.3201
64,1,10,90,1,0,4.8909,1,3095496.7055
65,1,10,65,0.068,1,0.32567,0,3095503.6544
66,2,15,75,0.5,0,1.4604,0,3095506.5441
67,1,4,25,1,0,0.31528,1,3095511.0412
68,2,7,18,0.5,1,0.0013784,0,3095513.8362
69,2,4,90,1,1,0.42295,1,3095516.9014
70,2,21,90,0.5,0,1.5146,0,3095519.8578
71,2,18,65,0.5,1,0.0012581,1,3095523.8527
72,1,10,90,0.5,1,0.071918,0,3095526.3331
73,1,10,65,0.5,1,0.97408,0,3095528.942
74,2,10,35,0.5,1,0.81934,0,3095532.4411
75,2,7,25,0.068,1,2.3098,0,3095535.3107
76,2,18,35,1,1,0.57001,0,3095540.6426
77,2,7,25,1,1,2.1318,0,3095544.2562
78,2,15,35,1,1,0.12942,0,3095549.3626
79,2,4,25,1,1,2.0972,0,3095552.4908
80,2,10,90,1,1,2.7146,1,3095557.5859
81,2,10,65,0.068,1,1.7593,1,3095562.4212
82,2,4,25,1,1,2.6752,0,3095567.2009
83,2,10,90,0.5,0,0.62117,0,3095572.3512
84,1,4,25,0.5,0,1.4348,1,3095575.5379
85,1,18,65,0.5,0,1.72,0,3095579.4765
86,1,18,65,1,0,3.1819,0,3095584.1982
87,1,21,25,0.068,0,2.9919,0,3095589.4766
88,2,10,65,0.5,0,0.34082,0,3095594.9753
89,1,21,75,1,1,1.1994,1,3095598.2846
90,2,4,25,0.5,1,0.099092,0,3095601.9537
91,1,21,90,1,0,1.6252,0,3095605.0748
92,2,18,65,0.5,1,0.0013639,1,3095609.2168
93,2,18,65,1,1,0.0012279,1,3095612.2318
94,2,21,25,0.068,1,1.0825,0,3095614.3461
95,1,10,35,0.068,1,0.94837,0,3095617.5602
96,2,21,75,1,1,0.86383,1,3095621.5567
97,1,21,65,0.5,1,0.40459,1,3095624.9199
98,2,21,90,1,1,0.58245,1,3095628.342
99,1,18,35,0.5,0,1.7574,0,3095631.4871
100,2,10,35,0.068,1,0.55543,0,3095635.337
101,2,21,65,0.5,0,0.28586,0,3095638.3742
102,2,18,35,0.5,1,0.2192,0,3095641.2169
103,2,15,35,0.068,0,1.4621,1,3095643.5018
104,2,7,90,0.068,1,1.061,1,3095647.0076
105,2,15,75,0.068,1,0.34172,1,3095650.1028
106,2,10,65,0.068,1,1.4079,1,3095652.4846
107,2,15,90,1,1,0.5899,1,3095656.8626
108,1,15,35,0.068,0,0.9749,0,3095659.5172
109,2,7,18,0.068,1,0.80036,0,3095662.5882
110,2,4,25,0.5,1,0.12768,0,3095665.9173
111,1,7,90,0.068,1,0.31519,0,3095668.1449
112,1,15,75,0.068,0,1.1816,0,3095670.5585
113,1,10,65,0.068,0,2.1008,1,3095673.8238
114,1,15,90,1,0,3.2879,0,3095678.9003
115,2,15,90,0.068,0,2.1856,0,3095684.3067
116,1,7,18,0.068,1,0.0009626,0,3095688.6105
117,2,15,18,0.068,1,3.4209,0,3095690.7597
118,2,15,75,0.068,1,1.9142,1,3095696.2338
119,2,18,65,0.068,1,1.1892,1,3095700.2393
120,2,4,90,0.068,1,0.87893,1,3095703.5416
121,1,4,25,0.5,0,0.13967,1,3095706.9771
122,1,15,90,0.068,0,2.8874,0,3095709.2211
123,1,15,18,0.068,1,1.57,1,3095714.2344
124,1,15,75,0.068,1,3.9379,1,3095717.8586
125,1,18,65,0.068,1,3.1084,1,3095723.8717
126,2,21,25,1,0,0.59309,1,3095730.0274
127,1,4,90,0.068,0,0.64186,1,3095732.6662
128,1,21,25,1,0,1.2161,0,3095736.2923
129,1,7,90,0.5,0,0.83355,1,3095739.9864
130,2,7,90,0.5,0,0.96945,0,3095743.371
131,1,7,35,1,0,0.0008665,1,3095747.3488
132,1,4,25,0.068,1,1.2577,0,3095749.4194
133,2,7,35,1,1,0.001228,0,3095753.7008
134,2,4,25,0.068,1,0.28189,0,3095755.7622
135,1,10,65,1,1,0.0008658,0,3095759.0813
136,2,10,65,1,1,0.6719,1,3095762.1002
137,1,21,35,0.5,1,1.1241,1,3095765.248
138,1,10,35,1,0,0.0008979,1,3095769.4332
139,1,21,35,1,1,0.12365,1,3095772.4969
140,1,15,75,1,1,0.071557,1,3095775.5895
141,1,18,35,0.068,1,0.34564,1,3095777.7865
142,1,7,18,0.5,1,0.0010258,0,3095780.6845
143,1,4,90,0.5,1,2.4789,0,3095783.2456
144,2,21,35,0.5,1,0.0012627,0,3095788.2035
145,2,10,35,1,1,0.041141,0,3095791.236
146,2,21,35,1,0,0.12006,1,3095794.292
147,1,7,75,1,0,0.52117,1,3095797.3953
148,1,10,35,1,0,0.093159,1,3095800.9038
149,1,21,75,0.5,0,0.0007004,0,3095803.5343
150,2,15,75,1,1,0.29197,1,3095806.5605
151,2,18,35,0.068,1,0.53565,0,3095808.8924
152,1,4,90,0.5,1,1.8766,0,3095811.9041
153,1,4,25,1,1,0.0008763,0,3095816.7822
154,2,7,18,0.5,1,0.0013694,0,3095819.3112
155,2,4,90,0.5,1,2.0569,1,3095821.8354
156,1,7,35,0.068,1,0.048307,0,3095825.9647
157,1,18,65,1,1,0.2523,1,3095829.0327
158,1,15,18,1,1,1.029,1,3095832.3439
159,1,15,75,0.5,1,0.032313,1,3095835.861
160,1,7,90,1,1,2.0515,0,3095838.881
161,2,7,75,1,1,1.0468,1,3095843.9337
162,1,4,25,0.068,1,0.78719,0,3095847.0174
163,2,10,35,1,1,0.49327,0,3095850.7832
164,2,21,75,0.5,0,0.37115,0,3095853.8253
165,1,21,65,0.068,0,0.0010299,0,3095856.3172
166,2,4,90,0.5,0,0.64163,0,3095858.8104
167,2,4,25,1,0,0.23554,1,3095862.4965
168,2,7,35,0.068,0,1.0187,1,3095864.7694
169,2,18,65,1,0,1.8365,0,3095868.8235
170,2,15,18,1,1,1.8914,0,3095873.7126
171,1,21,25,0.5,1,1.811,1,3095878.0896
172,1,18,75,0.5,1,0.81313,1,3095882.4074
173,1,21,90,0.068,1,1.6241,1,3095885.26
174,2,15,75,0.5,1,0.59839,1,3095889.4301
175,2,7,90,1,1,0.44769,1,3095893.0854
176,2,4,25,0.068,1,0.95452,0,3095895.6341
177,1,15,75,1,1,3.1518,1,3095899.6283
178,2,21,65,0.068,1,0.2478,1,3095904.8203
179,2,21,25,0.5,0,1.6105,1,3095907.5776
180,2,18,75,0.5,1,1.8347,1,3095911.7534
181,2,21,90,0.068,0,0.42141,0,3095915.6306
182,1,15,18,1,1,0.31719,1,3095919.0711
183,1,10,65,1,1,0.67332,0,3095922.4433
184,2,15,75,1,1,0.3458,1,3095926.1389
185,1,10,90,0.068,1,0.3803,0,3095928.6164
186,2,15,18,1,1,2.2311,0,3095932.0135
187,1,4,90,1,1,4.845,0,3095937.2636
188,2,10,65,1,1,1.2755,1,3095945.1691
189,2,10,90,0.068,1,0.54494,1,3095948.5716
190,2,4,90,1,1,1.0168,1,3095952.1239
191,1,7,25,0.5,1,0.14226,0,3095955.6786
192,1,10,65,1,0,1.1322,1,3095958.8479
193,1,7,75,0.068,1,0.60903,0,3095962.027
194,1,18,18,0.5,1,0.62934,1,3095965.1593
195,2,7,25,0.5,1,0.42391,0,3095968.3006
196,2,10,65,1,1,2.4771,1,3095971.719
197,2,7,75,0.068,1,0.0013581,1,3095976.2761
198,1,7,18,1,1,1.3787,0,3095979.2899
199,1,15,90,0.5,1,0.0010321,1,3095983.1575
200,2,18,18,0.5,1,0.34762,0,3095985.689
201,1,7,18,1,1,0.082866,0,3095989.074
202,2,7,18,1,0,3.887,1,3095992.1656
203,1,18,75,1,0,2.0256,0,3095999.0748
204,2,15,90,0.5,1,0.001484,1,3096003.6458
205,2,7,18,1,1,1.8315,0,3096006.7252
206,1,18,18,0.068,1,2.4613,1,3096010.6467
207,1,4,25,0.5,1,0.22173,0,3096015.6384
208,2,18,75,1,1,2.4508,1,3096018.8658
209,2,18,18,0.068,1,1.4902,0,3096023.3939
210,2,4,25,0.5,1,0.45748,0,3096027.4196
211,1,18,75,0.5,1,0.88896,1,3096030.4036
212,1,7,35,0.5,1,3.1887,0,3096033.8399
213,2,18,75,0.5,1,0.079453,1,3096039.5176
214,2,7,35,0.5,0,1.4724,1,3096042.1321
215,2,15,18,0.5,1,0.0013588,0,3096046.1578
216,1,15,18,0.5,1,0.038,1,3096048.6713
