Trial Number,TrialTypeN1S2,Nvalue,Svalue,time,KeyPressZsmallMgreater,ReactionTime,Accuracy
1,1,10,18,0.068,1,1.2697,0
2,2,10,18,0.068,0,1.0822,1
3,2,15,25,1,0,1.42,1
4,1,15,25,1,1,1.6231,1
5,2,15,18,0.068,0,1.0598,1
6,1,15,18,0.068,0,1.9167,0
7,2,18,25,0.5,1,0.89654,0
8,1,18,25,0.5,1,1.4857,1
9,1,7,75,1,0,1.007,1
10,2,7,75,1,1,0.98549,1
11,2,18,65,0.5,1,1.1556,1
12,2,15,25,0.5,0,1.5162,1
13,2,21,75,1,1,0.83436,1
14,1,18,65,0.5,1,1.0266,1
15,2,4,90,0.068,1,0.69404,1
16,2,18,90,0.068,1,0.56084,1
17,1,15,25,0.5,1,0.64754,1
18,1,21,75,1,1,0.76848,1
19,2,4,90,0.5,0,0.78365,0
20,1,4,90,0.068,0,1.395,1
21,2,7,65,0.068,1,0.64009,1
22,1,18,90,0.068,0,1.075,0
23,2,4,35,0.5,0,1.1187,1
24,2,4,65,0.068,1,0.69667,1
25,1,4,90,0.5,0,1.1181,1
26,1,7,65,0.068,0,0.57728,1
27,2,15,90,1,1,0.39549,1
28,1,4,35,0.5,0,0.83021,1
29,1,4,65,0.068,0,0.57506,1
30,1,15,90,1,1,0.74729,1
31,2,21,75,0.5,0,0.73118,0
32,2,21,18,1,0,0.81469,1
33,1,21,75,0.5,1,0.69292,1
34,1,21,18,1,1,0.63568,1
35,2,15,75,0.068,1,0.76337,1
36,1,15,75,0.068,0,0.96133,0
37,1,18,25,0.068,1,0.72099,1
38,2,18,25,0.068,1,0.629,0
39,1,4,65,0.5,0,0.85113,1
40,2,4,65,0.5,1,0.99708,1
41,1,18,90,0.5,0,1.1655,0
42,1,7,25,1,0,0.98416,1
43,2,18,90,0.5,1,0.70868,1
44,1,10,65,0.068,0,0.69903,1
45,1,10,25,0.5,0,1.0097,1
46,2,7,25,1,0,0.65937,1
47,1,4,35,0.068,0,0.71573,1
48,2,10,65,0.068,1,0.82479,1
49,1,4,90,0.5,0,0.69732,1
50,1,10,65,1,0,0.71897,1
51,2,10,25,0.5,0,0.8315,1
52,2,4,35,0.068,0,0.7137,1
53,2,4,90,0.5,1,0.85567,1
54,1,15,65,0.5,1,0.79836,1
55,1,15,18,1,1,0.757,1
56,2,10,65,1,1,0.91967,1
57,2,15,65,0.5,1,0.55723,1
58,1,21,75,1,1,0.64982,1
59,1,4,90,1,0,0.65591,1
60,1,7,75,0.068,0,1.1897,1
61,1,15,35,1,1,0.80092,1
62,2,15,18,1,0,0.76051,1
63,2,21,75,1,1,0.76325,1
64,1,4,90,1,0,0.70215,1
65,2,4,90,1,1,0.56694,1
66,2,7,75,0.068,1,0.87661,1
67,2,15,35,1,1,0.56303,0
68,1,4,65,1,0,0.4855,1
69,1,21,35,0.068,1,0.68676,1
70,2,4,90,1,1,0.74523,1
71,1,21,18,0.5,1,0.52813,1
72,2,4,65,1,0,0.62044,0
73,2,21,35,0.068,0,1.0039,1
74,1,4,90,0.068,0,0.62625,1
75,2,21,18,0.5,0,0.74244,1
76,1,21,75,0.068,1,1.0788,1
77,2,4,90,0.068,1,0.64203,1
78,2,21,75,0.068,1,0.67377,1
79,1,7,18,0.068,0,0.66059,1
80,2,7,18,0.068,0,0.61885,1
81,1,15,90,0.5,1,0.97254,1
82,1,7,25,0.5,0,0.90748,1
