Trial Number,TrialTypeN1S2,Nvalue,Svalue,time,KeyPressZsmallMgreater,ReactionTime,Accuracy
1,2,10,90,0.068,1,6.9505,1
2,2,7,25,0.068,0,1.6543,1
3,2,4,35,0.5,0,0.75424,1
4,2,7,25,1,0,0.4478,1
5,1,10,90,0.068,1,0.94464,0
6,1,7,25,0.068,0,0.63496,1
7,1,4,35,0.5,0,1.2686,1
8,1,7,25,1,0,1.0531,1
9,1,18,75,0.068,1,3.4312,1
10,1,7,75,0.5,0,2.0982,1
11,2,18,75,0.068,1,1.4083,1
12,2,7,75,0.5,1,0.87732,1
13,1,15,18,1,1,1.0952,1
14,2,15,18,1,0,1.1704,1
15,2,21,18,0.068,0,0.72414,1
16,2,15,18,0.5,0,0.47002,1
17,2,10,35,1,0,0.78129,1
18,2,4,18,1,0,0.80834,1
19,2,21,25,0.5,0,0.79785,1
20,2,18,90,1,1,0.70779,1
21,1,21,18,0.068,1,1.801,1
22,1,15,18,0.5,1,1.0465,1
23,2,21,65,1,1,0.88529,1
24,1,10,35,1,1,2.641,0
25,2,18,90,1,1,0.9463,1
26,2,21,18,0.5,0,0.65276,1
27,2,7,25,0.068,0,1.5943,1
28,1,4,18,1,0,1.1901,1
29,1,21,25,0.5,1,1.5621,1
30,2,21,25,1,0,1.5063,1
31,1,18,90,1,1,1.1333,1
32,2,15,90,0.5,1,0.70793,1
33,1,21,65,1,1,0.84668,1
34,1,18,90,1,1,0.63783,1
35,1,21,18,0.5,0,0.77617,0
36,1,7,25,0.068,1,5.741,0
37,2,7,25,0.5,0,1.2201,1
38,2,15,18,0.068,0,1.1707,1
39,2,18,90,0.068,1,0.73226,1
40,2,18,75,0.5,1,0.66881,1
41,1,21,25,1,0,0.67909,0
42,1,15,90,0.5,1,1.9334,1
43,1,7,25,0.5,0,0.8595,1
44,1,15,18,0.068,1,1.6915,1
45,2,21,65,0.5,1,0.87845,1
46,2,21,75,1,1,0.97744,1
47,2,21,65,0.5,1,0.76351,1
48,1,18,90,0.068,1,0.56053,1
49,2,15,90,1,1,0.54139,1
50,2,10,25,0.5,0,0.50579,1
51,1,18,75,0.5,1,1.9581,1
52,2,10,65,0.5,1,1.1655,1
53,2,7,25,1,0,0.82141,1
54,1,21,65,0.5,1,1.319,1
55,1,21,75,1,1,0.88273,1
56,1,21,65,0.5,1,1.2848,1
57,1,15,90,1,1,0.64737,1
58,1,10,25,0.5,0,1.0676,1
59,2,4,65,0.068,0,2.4676,0
60,1,10,65,0.5,1,1.467,0
61,2,18,35,0.5,0,2.1604,1
62,2,4,75,0.068,1,1.4701,1
63,1,7,25,1,1,1.0392,0
64,1,4,65,0.068,0,1.2503,1
65,2,7,65,1,0,2.0022,0
66,1,18,35,0.5,1,0.83127,1
67,2,10,90,1,1,0.73513,1
68,1,4,75,0.068,0,1.3327,1
69,2,21,65,0.068,1,0.96442,1
70,1,7,65,1,0,1.0883,1
71,2,4,75,0.5,1,1.0335,1
72,1,10,90,1,0,0.83392,1
73,2,7,75,0.068,1,2.1826,1
74,1,21,65,0.068,1,1.5909,1
75,1,4,75,0.5,0,0.68627,1
76,2,10,35,0.5,0,0.78063,1
77,2,7,25,0.5,0,0.88348,1
78,2,18,90,0.5,1,0.57284,1
79,1,7,75,0.068,0,0.9074,1
80,1,10,35,0.5,1,3.2071,0
81,2,10,25,0.068,0,1.149,1
82,2,10,35,0.5,0,0.86354,1
83,2,4,75,0.5,1,0.84031,1
84,2,10,25,1,0,0.94616,1
85,1,7,25,0.5,0,1.7047,1
86,1,18,90,0.5,1,0.92673,1
87,2,18,35,1,0,0.83411,1
88,1,10,25,0.068,1,1.5585,0
89,1,10,35,0.5,0,0.88714,1
90,1,4,75,0.5,0,1.1261,1
91,1,10,25,1,0,0.66171,1
92,1,18,35,1,1,0.76047,1
93,2,7,65,0.068,1,0.89453,1
94,2,7,65,0.5,1,0.83463,1
95,2,4,90,1,1,0.63387,1
96,1,7,65,0.068,1,0.81397,0
97,2,15,35,0.068,1,1.6305,0
98,2,18,75,0.068,1,1.1205,1
99,1,7,65,0.5,0,0.98867,1
100,2,21,75,0.5,1,0.7743,1
101,1,4,90,1,0,0.55033,1
102,2,15,35,0.5,0,1.0474,1
103,2,7,25,0.068,0,0.86464,1
104,1,15,35,0.068,1,1.0875,1
105,2,10,25,1,0,0.59711,1
106,1,18,75,0.068,1,1.1599,1
107,1,21,75,0.5,1,1.137,1
108,2,10,35,1,0,0.45737,1
109,2,7,65,0.068,1,1.2987,1
110,1,15,35,0.5,1,0.90743,1
111,2,10,90,0.5,1,0.53867,1
112,1,7,25,0.068,0,1.0575,1
113,2,7,65,0.5,1,0.89516,1
114,2,15,18,0.068,1,2.876,0
115,1,10,25,1,0,2.1373,1
116,1,10,35,1,1,1.191,0
117,1,7,65,0.068,0,1.3972,1
118,2,4,90,0.5,1,0.66225,1
119,1,10,90,0.5,1,1.113,0
120,1,7,65,0.5,0,0.93826,1
121,1,15,18,0.068,1,1.1436,1
122,1,4,90,0.5,0,0.98716,1
123,2,21,18,1,0,1.0413,1
124,1,21,18,1,0,0.92507,0
125,1,15,18,1,1,0.85406,1
126,1,21,18,0.5,1,0.52598,1
127,2,15,18,1,0,1.0223,1
128,2,21,18,0.5,0,0.94929,1
129,2,15,35,1,0,0.61033,1
130,1,15,35,1,1,3.3159,1
131,1,4,18,0.068,0,1.2877,1
132,1,4,75,1,0,0.92838,1
133,1,4,18,0.5,0,0.7284,1
134,1,7,25,1,0,0.66605,1
135,1,4,35,0.068,0,0.74257,1
136,1,15,90,0.068,1,1.9122,1
137,2,4,18,0.068,0,0.82683,1
138,1,21,18,1,1,1.1025,1
