Trial Number,TrialTypeN1S2,Nvalue,Svalue,time,KeyPressZsmallMgreater,ReactionTime,Accuracy
1,1,7,35,0.5,0,1.3013,1
2,2,7,35,0.5,0,0.19761,1
3,2,7,35,1,0,4.2289,1
4,1,7,35,1,0,3.7703,1
5,1,4,25,1,0,1.3124,1
6,1,18,75,0.068,0,1.5575,0
7,1,4,18,0.5,0,1.0531,1
8,1,21,18,0.068,1,1.2715,1
9,1,18,25,0.5,1,0.0059833,1
10,1,18,18,1,1,2.2702,1
11,1,10,65,0.5,1,0.006147,0
12,1,15,35,1,0,3.3183,0
13,2,4,25,1,0,1.4564,1
14,2,18,75,0.068,1,2.1257,1
15,2,4,18,0.5,0,0.3116,1
16,2,21,18,0.068,0,0.97056,1
17,1,21,90,1,0,1.27,0
18,2,18,25,0.5,0,1.3883,1
19,2,18,18,1,0,1.1355,1
20,1,21,18,1,1,0.69891,1
21,1,21,90,0.068,1,1.3461,1
22,1,15,35,0.068,1,1.1316,1
23,2,10,65,0.5,1,1.0785,1
24,2,15,35,1,0,0.94721,1
25,2,21,90,1,1,0.79673,1
26,2,21,18,1,0,0.9933,1
27,2,21,90,0.068,0,2.9809,0
28,2,15,35,0.068,0,1.308,1
29,2,7,35,0.5,1,1.1238,0
30,1,7,35,0.5,0,1.0885,1
31,2,15,35,0.5,1,0.87203,0
32,1,15,35,0.5,1,0.56864,1
33,2,4,25,1,0,0.80017,1
34,2,10,65,0.5,0,1.1043,0
35,2,21,18,0.068,0,1.3671,1
36,2,15,75,1,1,0.71702,1
37,2,7,35,1,0,0.72661,1
38,1,4,25,1,0,0.71561,1
39,1,10,65,0.5,1,0.63498,0
40,1,21,18,0.068,1,1.7624,1
41,1,15,75,1,1,0.58825,1
42,1,7,35,1,0,0.74149,1
43,1,10,65,1,1,0.76814,0
44,2,10,65,1,1,0.71719,1
45,2,18,65,0.5,1,0.7905,1
46,2,18,18,1,0,0.8975,1
47,1,18,65,0.5,1,1.2628,1
48,1,18,18,1,0,0.0055141,0
49,2,4,90,0.5,1,0.69463,1
50,1,4,90,0.5,0,0.935,1
51,1,7,75,0.5,0,1.1384,1
52,1,4,90,1,1,1.1268,0
53,1,10,25,0.5,0,1.113,1
54,2,7,75,0.5,1,0.75215,1
55,2,4,90,1,1,0.62291,1
56,2,10,25,0.5,0,0.82583,1
57,1,15,75,0.5,1,0.96208,1
58,1,4,25,0.5,0,0.88528,1
59,1,21,90,0.5,0,0.79474,0
60,1,21,90,0.5,1,0.90142,1
61,1,18,18,0.5,1,0.75914,1
62,1,4,25,0.068,0,1.187,1
63,2,15,75,0.5,1,0.61158,1
64,2,4,25,0.5,0,0.91653,1
65,2,21,90,0.5,1,0.53676,1
66,2,21,90,0.5,1,0.97836,1
67,1,4,90,0.068,0,0.93354,1
68,1,18,18,0.068,0,0.709,0
69,1,21,75,0.068,1,0.8025,1
70,1,4,18,1,0,0.95205,1
71,1,15,90,0.5,1,0.95103,1
72,1,7,35,0.068,0,0.93175,1
73,1,15,90,0.068,1,1.0114,1
74,2,18,18,0.5,0,1.1747,1
75,2,4,25,0.068,0,1.2345,1
76,1,10,65,0.5,1,1.1077,0
77,1,7,65,0.068,1,1.5396,0
78,1,10,25,1,1,1.0449,0
79,2,4,90,0.068,0,1.5382,0
