Trial Number,TrialTypeN1S2,Nvalue,Svalue,time,KeyPressZsmallMgreater,ReactionTime,Accuracy
1,1,10,75,0.068,1,15.1408,0
2,1,18,90,0.068,1,1.1163,1
3,2,10,75,0.068,1,0.63634,1
4,2,18,90,0.068,1,2.0594,1
5,2,15,75,0.068,1,1.4161,1
6,1,15,75,0.068,0,1.3372,0
7,2,21,25,0.5,0,2.14,1
8,2,15,18,1,0,0.72201,1
9,2,7,35,0.068,0,2.1986,1
10,1,21,25,0.5,1,1.2795,1
11,2,7,75,0.068,1,2.328,1
12,2,18,18,1,0,1.2778,1
13,1,15,18,1,1,1.5733,1
14,1,7,35,0.068,0,1.2094,1
15,2,15,65,1,1,2.0293,1
16,1,7,75,0.068,0,1.4669,1
17,2,15,65,0.068,1,1.057,1
18,2,18,25,1,0,1.5586,1
19,2,21,18,1,0,0.71501,1
20,1,18,18,1,1,2.5888,1
21,1,15,65,1,1,4.9177,1
22,2,10,75,0.5,1,2.0398,1
23,2,18,25,0.5,0,1.5477,1
24,1,15,65,0.068,1,3.1459,1
25,2,4,65,0.5,1,1.1273,1
26,1,18,25,1,1,0.69013,1
27,2,21,35,1,0,2.2337,1
28,2,15,90,1,1,1.0301,1
29,2,10,65,1,1,1.9254,1
30,2,15,90,0.5,1,0.66654,1
31,2,7,18,1,0,1.0086,1
32,1,21,18,1,1,1.2114,1
33,2,15,65,1,1,1.3829,1
34,2,21,35,0.5,1,1.8612,0
35,1,10,75,0.5,1,0.85211,0
36,2,10,75,1,1,0.72009,1
37,2,10,65,0.068,1,0.66353,1
38,2,21,18,0.5,0,0.48398,1
39,2,21,90,1,1,1.3466,1
40,2,7,18,1,0,0.5097,1
41,1,18,25,0.5,1,1.1402,1
42,2,7,18,0.5,0,0.99325,1
43,2,18,75,0.068,1,1.0751,1
44,1,4,65,0.5,0,1.6042,1
45,2,18,90,1,1,1.0068,1
46,2,18,25,0.068,0,1.5713,1
47,2,21,35,1,0,1.1593,1
48,1,21,35,1,1,1.9732,1
49,1,15,90,1,1,0.94656,1
50,1,10,65,1,0,2.8601,1
51,2,7,18,1,0,45.0276,1
52,1,15,90,0.5,0,3.7737,0
53,2,18,18,0.068,0,1.3451,1
54,2,21,25,1,0,0.58128,1
55,1,7,18,1,0,1.5547,1
56,2,4,25,0.5,0,1.3192,1
57,1,15,65,1,0,3.8289,0
58,1,21,35,0.5,1,1.2069,1
59,1,10,75,1,0,1.5598,1
60,2,7,65,0.5,1,1.367,1
61,1,10,65,0.068,0,2.1874,1
62,1,21,18,0.5,0,0.94726,0
63,1,21,90,1,1,1.2624,1
64,2,15,65,0.5,1,1.4305,1
65,2,21,25,0.5,0,1.4163,1
66,2,7,35,0.5,0,1.0941,1
67,1,7,18,1,0,1.1838,1
68,2,10,90,0.068,1,1.3348,1
69,1,7,18,0.5,0,0.50826,1
70,2,4,25,0.068,0,1.2787,1
71,1,18,75,0.068,0,1.5151,0
72,1,18,90,1,0,3.1253,0
73,2,4,90,0.5,0,1.2802,0
74,1,18,25,0.068,0,1.2975,0
75,2,7,18,0.068,0,2.5429,1
76,2,21,35,0.5,0,2.2722,1
77,1,21,35,1,1,0.67346,1
78,1,7,18,1,0,1.0308,1
79,1,18,18,0.068,1,0.85189,1
80,1,21,25,1,1,0.76477,1
81,1,4,25,0.5,0,1.0336,1
82,1,7,65,0.5,1,3.6969,0
83,1,15,65,0.5,0,1.8705,0
84,2,15,18,0.5,0,1.1014,1
85,2,10,65,0.068,1,1.0507,1
86,1,21,25,0.5,1,1.6683,1
87,1,7,35,0.5,0,1.4028,1
88,1,10,90,0.068,1,2.6798,0
89,2,4,25,0.5,0,1.1672,1
90,2,21,18,0.068,0,331.5491,1
91,1,4,25,0.068,0,1.587,1
92,1,4,90,0.5,0,1.3427,1
93,2,4,75,0.068,1,1.6008,1
94,2,15,65,0.5,1,1.2659,1
95,1,7,18,0.068,0,0.77231,1
96,1,21,35,0.5,1,1.0543,1
97,2,15,90,1,1,0.62755,1
98,1,15,18,0.5,1,1.2258,1
99,1,10,65,0.068,0,1.2831,1
100,2,21,25,1,0,1.3086,1
101,1,4,25,0.5,0,1.1925,1
102,2,4,75,1,1,1.1049,1
103,1,21,18,0.068,1,1.017,1
104,1,4,75,0.068,0,2.7266,1
105,1,15,65,0.5,1,1.1723,1
106,1,15,90,1,0,1.305,0
107,1,21,25,1,1,1.0169,1
108,1,4,75,1,0,0.88666,1
109,1,4,35,1,0,1.4763,1
110,1,10,35,1,0,0.46202,1
111,1,10,65,1,0,0.89706,1
112,1,21,90,0.5,1,0.2269,1
113,1,10,65,0.5,0,0.48537,1
114,2,4,35,1,0,1.262,1
115,2,10,35,1,0,0.77901,1
116,2,10,65,1,0,0.5389,0
117,2,21,90,0.5,1,0.39641,1
118,1,7,18,0.5,0,0.19902,1
119,2,10,65,0.5,0,2.0213,0
120,1,4,35,0.068,0,0.72632,1
121,2,7,18,0.5,0,0.31502,1
122,2,4,35,0.068,0,1.0272,1
123,1,18,75,1,1,1.2337,1
124,2,18,75,1,1,0.56274,1
125,2,7,18,0.068,0,0.56326,1
126,2,18,35,1,1,0.62858,0
127,2,7,18,0.068,0,0.5817,1
128,1,7,18,0.068,0,0.83522,1
129,1,18,35,1,0,1.5559,0
130,2,18,90,0.5,1,0.73545,1
131,1,7,18,0.068,0,0.80882,1
132,1,18,90,0.5,1,0.90526,1
133,1,10,35,0.5,0,0.59653,1
134,2,10,35,0.5,0,1.0391,1
135,1,18,25,0.068,0,0.77859,0
136,2,18,25,0.068,0,0.61863,1
137,1,18,35,0.068,1,1.5013,1
138,1,10,75,0.068,0,2.0542,1
139,1,7,75,0.5,0,1.1071,1
140,2,18,35,0.068,0,1.1163,1
141,2,10,75,0.068,1,1.2899,1
142,1,10,90,1,0,0.83326,1
143,1,15,18,0.068,0,1.7943,0
144,2,7,75,0.5,1,0.99157,1
145,1,21,25,0.068,1,0.93309,1
146,2,10,90,1,1,1.6243,1
147,2,15,18,0.068,0,0.97395,1
148,2,21,25,0.068,1,1.0004,0
149,1,21,35,0.068,1,0.86872,1
150,1,7,35,1,0,0.35504,1
151,2,21,35,0.068,1,1.532,0
152,2,7,35,1,0,0.8193,1
153,1,4,90,1,0,1.1017,1
154,2,4,90,1,1,1.2288,1
155,1,7,18,0.5,0,0.83056,1
156,2,7,18,0.5,0,0.64878,1
157,1,10,75,0.5,1,0.59597,0
158,1,4,90,0.068,0,1.3822,1
159,2,10,75,0.5,1,1.1888,1
160,1,7,65,0.068,1,2.1277,0
161,1,18,35,0.5,1,1.9283,1
162,1,4,25,1,0,0.70048,1
163,1,10,75,1,1,0.88741,0
164,2,4,90,0.068,1,0.77724,1
165,2,7,65,0.068,1,1.4566,1
166,2,18,35,0.5,0,74.6311,1
167,2,4,25,1,0,1.2776,1
168,2,10,75,1,1,1.034,1
169,2,15,75,1,1,0.58129,1
170,1,15,75,1,1,8.9715,1
171,1,4,35,0.5,0,0.88025,1
172,1,7,65,1,0,0.79706,1
173,1,18,25,1,1,0.53813,1
174,1,4,75,0.5,0,1.4592,1
175,2,4,35,0.5,0,0.27683,1
176,2,7,65,1,1,0.91524,1
177,1,4,65,0.068,1,1.0148,0
178,1,15,90,0.068,0,0.93912,0
179,2,18,25,1,0,1.3436,1
180,1,10,65,0.5,0,1.3121,1
181,2,4,75,0.5,0,0.73642,0
182,2,4,65,0.068,0,46.8281,0
183,2,15,90,0.068,1,1.3035,1
184,2,10,65,0.5,1,1.1658,1
185,2,15,65,0.068,1,0.78812,1
186,2,4,65,1,1,0.39511,1
187,2,18,25,0.5,0,0.83747,1
188,2,15,75,0.5,1,0.44171,1
189,2,21,25,0.068,0,0.58421,1
190,1,15,65,0.068,1,0.47134,1
191,1,4,65,1,0,0.28794,1
192,1,18,25,0.5,0,0.36882,0
193,1,15,75,0.5,1,1.1924,1
194,2,15,90,0.5,1,0.95202,1
195,2,18,18,0.5,0,1.4214,1
196,2,21,90,0.068,1,0.83351,1
197,1,21,25,0.068,1,2.5625,1
198,1,15,90,0.5,1,1.2236,1
199,1,18,18,0.5,1,0.47989,1
200,1,21,90,0.068,1,0.52527,1
201,2,7,75,1,0,0.34129,0
202,1,7,75,1,0,0.89904,1
203,2,18,75,0.5,1,0.52847,1
204,2,21,35,0.068,0,0.73084,1
205,1,18,75,0.5,1,0.074808,1
206,1,21,35,0.068,1,0.82665,1
207,2,15,90,0.068,1,1.0872,1
208,1,15,90,0.068,1,1.3477,1
209,1,4,25,0.068,0,49.0399,1
210,2,4,25,0.068,0,0.45246,1
211,1,10,35,0.068,0,0.78262,1
212,2,10,35,0.068,1,0.19985,0
213,2,4,25,1,0,0.35851,1
214,2,10,90,0.5,1,0.072324,1
215,1,4,25,1,0,0.215,1
216,1,10,90,0.5,1,0.072554,0
