Trial Number,TrialTypeN1S2,Nvalue,Svalue,time,KeyPressZsmallMgreater,ReactionTime,Accuracy
1,1,21,75,0.5,1,5.4717,1
2,1,18,35,0.5,1,13.9629,1
3,2,21,75,0.5,0,13.2012,0
4,2,18,35,0.5,1,7.2641,0
5,2,18,75,0.068,1,3.5567,1
6,1,18,75,0.068,1,12.8234,1
7,2,10,35,0.5,0,2.4625,1
8,1,10,35,0.5,0,1.2643,1
9,1,18,18,0.068,1,2.2316,1
10,2,18,18,0.068,0,4.5787,1
11,2,7,25,0.5,0,1.5175,1
12,2,15,25,0.068,1,2.5175,0
13,2,21,90,1,1,2.9124,1
14,1,7,25,0.5,0,3.4157,1
15,1,15,25,0.068,1,2.042,1
16,2,4,35,0.068,1,2.0579,0
17,1,21,90,1,1,2.0861,1
18,1,4,35,0.068,0,3.0742,1
19,1,4,35,1,0,1.863,1
20,1,15,35,0.068,0,3.1131,0
21,1,18,75,0.068,1,2.8829,1
22,2,4,35,1,0,4.728,1
23,1,4,65,0.068,0,2.2866,1
24,1,7,25,0.068,0,1.2405,1
25,2,15,35,0.068,1,3.3905,0
26,1,15,90,0.068,1,3.5552,1
27,2,18,75,0.068,1,1.473,1
28,1,7,25,0.5,0,5.3698,1
29,1,18,18,1,1,1.1881,1
30,2,4,65,0.068,1,4.5353,1
31,1,7,25,0.068,1,3.3217,0
32,2,7,25,0.068,0,2.6483,1
33,2,15,90,0.068,1,2.0973,1
34,1,4,75,0.5,0,3.1777,1
35,1,10,65,0.068,0,2.5452,1
36,2,7,25,0.5,0,1.328,1
37,1,18,75,1,1,2.4212,1
38,1,15,35,0.5,1,1.4759,1
39,2,18,18,1,0,2.8587,1
40,1,10,65,1,1,10.9251,0
41,2,7,25,0.068,0,2.1121,1
42,1,18,35,1,1,1.4897,1
43,2,4,75,0.5,0,2.6615,0
44,2,10,65,0.068,1,1.3638,1
45,1,10,18,1,1,4.679,0
46,2,18,75,1,1,1.6045,1
47,1,7,25,1,0,0.85828,1
48,2,15,35,0.5,0,1.3692,1
49,2,10,65,1,1,0.83737,1
50,2,18,35,1,1,1.8491,0
51,2,10,18,1,1,0.80048,0
52,2,7,25,1,0,0.75526,1
53,2,21,90,1,1,0.96456,1
54,1,21,90,1,1,2.2391,1
55,2,15,75,1,1,1.3525,1
56,2,15,90,0.5,1,0.89332,1
57,1,15,75,1,1,0.27914,1
58,2,21,90,0.068,1,1.7653,1
59,1,15,90,0.5,0,5.1967,0
60,1,21,90,0.068,1,1.6932,1
61,1,4,75,0.068,0,1.242,1
62,1,10,18,0.068,1,5.001,0
63,1,15,75,1,1,1.6422,1
64,1,4,35,1,0,0.77612,1
65,1,10,35,0.068,1,5.8137,0
66,2,4,75,0.068,1,2.0963,1
67,2,10,18,0.068,0,1.8763,1
68,2,15,75,1,1,1.0095,1
69,1,18,18,0.5,1,1.0822,1
70,1,15,25,1,1,0.50326,1
71,2,4,35,1,0,1.1214,1
72,2,10,35,0.068,1,3.5255,0
73,1,7,25,1,0,1.5629,1
74,1,4,35,0.5,1,2.1535,0
75,2,18,18,0.5,1,0.37171,0
76,2,15,25,1,0,0.50644,1
77,1,10,65,1,0,1.6788,1
78,1,18,75,1,1,0.96232,1
79,1,15,75,0.068,1,2.7576,1
80,1,7,25,1,0,1.2876,1
81,1,4,18,0.068,0,1.0372,1
82,1,4,65,0.5,0,1.3321,1
83,1,10,35,0.5,1,1.9016,0
84,1,10,90,0.068,1,1.32,0
85,1,18,75,0.5,1,0.99676,1
86,2,7,25,1,0,1.3203,1
87,1,21,65,0.068,1,1.2438,1
88,1,7,25,0.068,0,0.98655,1
89,2,4,35,0.5,0,1.1661,1
90,1,4,35,0.068,0,1.0077,1
91,2,10,65,1,1,3.6254,1
92,2,18,75,1,1,0.49047,1
93,2,15,75,0.068,1,1.1698,1
94,2,7,25,1,0,1.0949,1
95,2,4,18,0.068,0,0.88963,1
96,2,4,65,0.5,0,1.7758,0
97,2,10,35,0.5,1,1.8635,0
98,1,18,18,1,1,0.98418,1
99,2,10,90,0.068,1,1.1088,1
100,2,18,75,0.5,1,2.0783,1
101,1,10,35,0.068,1,4.6909,0
