Trial Number,TrialTypeN1S2,Nvalue,Svalue,time,KeyPressZsmallMgreater,ReactionTime,Accuracy
1,1,21,75,0.5,1,2.3603,1
2,1,18,35,0.5,1,0.74847,1
3,2,21,75,0.5,1,1.2207,1
4,2,18,35,0.5,0,2.105,1
5,2,18,75,0.068,1,1.1316,1
6,1,18,75,0.068,1,2.0233,1
7,2,10,35,0.5,0,0.63274,1
8,1,10,35,0.5,1,1.2825,0
9,1,18,18,0.068,1,0.92711,1
10,2,18,18,0.068,0,0.66519,1
11,2,7,25,0.5,0,0.51,1
12,2,15,25,0.068,0,0.66442,1
13,2,21,90,1,1,0.8722,1
14,1,7,25,0.5,0,0.82323,1
15,1,15,25,0.068,1,0.93095,1
16,2,4,35,0.068,1,1.0056,0
17,1,21,90,1,1,0.8619,1
18,1,4,35,0.068,0,1.2485,1
19,1,4,35,1,0,0.85437,1
20,1,15,35,0.068,0,0.64555,0
21,1,18,75,0.068,1,0.85992,1
22,2,4,35,1,0,0.90393,1
23,1,4,65,0.068,0,0.88802,1
24,1,7,25,0.068,0,1.7667,1
25,2,15,35,0.068,0,0.90187,1
26,1,15,90,0.068,1,0.84648,1
27,2,18,75,0.068,1,0.9069,1
28,1,7,25,0.5,0,0.85434,1
29,1,18,18,1,0,0.47603,0
30,2,4,65,0.068,1,1.1907,1
31,1,7,25,0.068,0,0.99339,1
32,2,7,25,0.068,0,0.8227,1
33,2,15,90,0.068,1,0.87379,1
34,1,4,75,0.5,0,0.56335,1
35,1,10,65,0.068,0,0.87261,1
36,2,7,25,0.5,0,0.67002,1
37,1,18,75,1,1,0.75601,1
38,1,15,35,0.5,1,0.85514,1
39,2,18,18,1,0,0.57053,1
40,1,10,65,1,0,0.88993,1
41,2,7,25,0.068,0,0.74221,1
42,1,18,35,1,1,11.3686,1
43,2,4,75,0.5,0,0.70863,0
44,2,10,65,0.068,0,1.3434,0
45,1,10,18,1,1,0.95214,0
46,2,18,75,1,1,0.81206,1
47,1,7,25,1,0,0.80941,1
48,2,15,35,0.5,0,0.79456,1
49,2,10,65,1,1,0.77295,1
50,2,18,35,1,0,0.60018,1
51,2,10,18,1,0,0.52164,1
52,2,7,25,1,0,0.48367,1
53,2,21,90,1,1,0.7186,1
54,1,21,90,1,1,1.2624,1
55,2,15,75,1,1,0.88978,1
56,2,15,90,0.5,1,0.8285,1
57,1,15,75,1,1,0.70557,1
58,2,21,90,0.068,1,0.66012,1
59,1,15,90,0.5,1,0.79554,1
60,1,21,90,0.068,1,0.70554,1
61,1,4,75,0.068,0,0.79523,1
62,1,10,18,0.068,0,0.54975,1
63,1,15,75,1,1,1.0729,1
64,1,4,35,1,0,0.0002645,1
65,1,10,35,0.068,1,1.0258,0
66,2,4,75,0.068,1,0.6596,1
67,2,10,18,0.068,0,0.94868,1
68,2,15,75,1,1,0.63484,1
69,1,18,18,0.5,1,0.86042,1
70,1,15,25,1,0,0.99063,0
71,2,4,35,1,0,0.94745,1
72,2,10,35,0.068,0,1.0425,1
73,1,7,25,1,0,0.77019,1
74,1,4,35,0.5,0,0.74356,1
75,2,18,18,0.5,0,0.71457,1
76,2,15,25,1,0,0.58047,1
77,1,10,65,1,1,1.1774,0
78,1,18,75,1,1,0.72153,1
79,1,15,75,0.068,1,1.1417,1
80,1,7,25,1,0,1.5765,1
81,1,4,18,0.068,0,1.2267,1
82,1,4,65,0.5,0,0.7397,1
83,1,10,35,0.5,1,1.7102,0
84,1,10,90,0.068,1,1.7271,0
85,1,18,75,0.5,1,0.76838,1
86,2,7,25,1,0,0.58417,1
87,1,21,65,0.068,1,0.66583,1
88,1,7,25,0.068,0,0.60903,1
89,2,4,35,0.5,0,0.82169,1
90,1,4,35,0.068,0,0.55624,1
91,2,10,65,1,1,2.0001,1
92,2,18,75,1,1,0.53988,1
93,2,15,75,0.068,1,0.95201,1
94,2,7,25,1,0,0.71857,1
95,2,4,18,0.068,0,0.65969,1
96,2,4,65,0.5,0,0.67782,0
97,2,10,35,0.5,0,1.0729,1
98,1,18,18,1,1,0.4321,1
99,2,10,90,0.068,1,0.86783,1
100,2,18,75,0.5,1,0.60643,1
101,1,10,35,0.068,1,0.87535,0
102,1,21,65,1,1,0.48874,1
103,2,21,65,0.068,1,0.46814,1
104,2,7,25,0.068,0,0.63616,1
105,1,10,35,1,0,0.56348,1
