Trial Number,TrialTypeN1S2,Nvalue,Svalue,time,KeyPressZsmallMgreater,ReactionTime,Accuracy
1,1,21,35,0.5,1,1.3661,1
2,1,18,65,0.068,1,1.7457,1
3,1,18,25,0.5,0,0.75561,0
4,1,10,65,1,0,1.0292,1
5,1,4,25,0.5,0,0.76163,1
6,1,18,18,0.5,0,0.0050692,0
7,1,21,65,0.068,1,0.81362,1
8,2,21,35,0.5,1,0.31041,0
9,1,18,65,0.5,1,0.91324,1
10,2,18,65,0.068,1,1.7498,1
11,2,18,25,0.5,0,1.0993,1
12,2,10,65,1,1,2.0252,1
13,1,7,75,0.5,1,0.59793,0
14,2,4,25,0.5,0,0.25628,1
15,2,18,18,0.5,0,0.37206,1
16,2,21,65,0.068,1,1.1767,1
17,1,7,25,0.5,0,0.93546,1
18,2,18,65,0.5,1,0.65916,1
19,2,7,75,0.5,1,0.5981,1
20,2,7,25,0.5,0,0.93061,1
21,1,15,65,0.5,1,0.71864,1
22,2,15,65,0.5,1,0.22897,1
23,2,4,35,0.5,1,0.52441,0
24,1,4,35,0.5,0,0.25612,1
25,2,21,90,1,1,0.5348,1
26,1,21,90,1,1,0.88944,1
27,1,15,90,0.068,1,0.616,1
28,1,4,25,1,0,0.32408,1
29,2,15,90,0.068,1,1.323,1
30,1,10,35,1,1,2.8215,0
31,2,4,25,1,0,0.48656,1
32,1,15,35,0.5,1,0.56995,1
33,1,21,90,0.5,1,0.30331,1
34,1,18,25,1,0,0.49665,0
35,2,10,35,1,0,3.723,1
36,1,7,25,0.5,1,1.1702,0
37,1,21,75,0.5,1,0.13322,1
38,2,15,35,0.5,0,0.81313,1
39,1,4,18,1,1,1.3027,0
40,2,21,90,0.5,1,1.0727,1
41,1,15,90,0.5,1,0.64047,1
42,2,18,25,1,1,1.2841,0
43,2,7,25,0.5,0,0.29946,1
44,2,21,75,0.5,1,0.54904,1
45,2,4,18,1,0,0.4342,1
46,2,15,90,0.5,0,10.3595,0
47,1,7,75,0.068,0,1.0148,1
48,2,7,75,0.068,0,5.3605,0
49,2,18,65,1,0,4.1061,0
50,1,18,65,1,1,5.2126,1
51,1,7,25,1,0,0.19283,1
52,1,18,25,1,1,2.7806,1
53,2,7,25,1,1,24.0713,0
54,2,18,25,1,1,0.041923,0
55,2,15,35,1,0,0.33911,1
56,1,15,35,1,0,0.30136,0
57,2,18,90,0.068,1,0.80304,1
58,1,18,90,0.068,1,0.56793,1
59,1,21,75,0.068,1,0.52879,1
60,1,15,65,1,0,0.017522,0
61,2,21,75,0.068,1,1.3384,1
62,1,7,18,0.068,0,4.4679,1
63,2,15,65,1,1,20.3624,1
64,1,10,75,0.5,0,0.075159,1
65,2,7,18,0.068,0,0.84986,1
66,2,10,75,0.5,1,0.77704,1
67,2,15,18,0.068,0,0.59809,1
68,1,15,18,0.068,1,0.8184,1
69,1,7,25,0.068,0,1.1416,1
70,2,7,25,0.068,0,1.1859,1
71,1,7,75,1,0,0.98881,1
72,2,7,75,1,0,0.29562,0
