Trial Number,TrialTypeN1S2,Nvalue,Svalue,time,KeyPressZsmallMgreater,ReactionTime,Accuracy
1,2,15,25,1,0,0.19502,1
2,1,15,25,1,0,0.37945,0
3,2,7,75,0.5,0,0.59811,0
4,2,18,90,0.5,1,0.0048922,1
5,1,7,75,0.5,0,0.62119,1
6,1,18,90,0.5,1,0.28427,1
7,2,15,65,1,1,0.24007,1
8,1,15,65,1,1,0.26747,1
9,2,10,35,1,0,0.034691,1
10,2,21,90,1,1,0.42998,1
11,2,7,75,0.068,1,0.62626,1
12,2,7,35,1,0,0.18964,1
13,2,18,90,1,1,0.18921,1
14,2,7,35,0.068,0,0.37497,1
15,1,10,35,1,0,0.24844,1
16,1,21,90,1,1,0.33271,1
17,2,18,35,0.068,1,0.62565,0
18,1,7,75,0.068,0,0.27329,1
19,2,18,90,0.068,1,0.58675,1
20,2,21,65,0.068,1,0.59664,1
21,2,10,90,0.068,1,0.30989,1
22,1,7,35,1,0,0.10917,1
23,1,18,90,1,1,0.25462,1
24,2,7,18,1,0,0.0025546,1
25,1,7,35,0.068,0,0.44897,1
26,1,18,35,0.068,0,0.47976,0
27,1,18,90,0.068,1,0.49586,1
28,2,4,75,0.068,0,0.99729,0
29,2,10,25,0.068,1,0.98861,0
30,2,4,75,1,0,0.0839,0
31,1,21,65,0.068,1,0.43413,1
32,2,10,90,1,1,0.31465,1
33,2,18,25,0.5,0,0.30545,1
34,2,18,18,1,0,0.30073,1
35,2,15,65,0.5,1,576.0108,1
36,2,7,75,1,0,0.45903,0
37,1,10,90,0.068,1,4.6154,0
38,2,10,75,1,1,1.1819,1
39,1,7,18,1,0,0.27472,1
40,2,15,25,0.5,1,0.98457,0
41,1,4,75,0.068,0,1.0196,1
42,2,15,90,0.068,1,1.3534,1
43,1,10,25,0.068,0,0.66064,1
44,2,10,75,0.068,1,2.5982,1
45,2,4,18,0.5,0,0.18856,1
46,1,4,75,1,0,0.81584,1
47,2,10,65,0.068,1,0.70714,1
48,2,4,18,1,0,0.30956,1
49,1,10,90,1,1,0.31213,0
50,2,21,35,0.068,1,2.1278,0
51,1,18,25,0.5,1,4.0259,1
52,1,18,18,1,1,28.0566,1
53,2,4,65,0.5,0,0.35749,0
54,1,15,65,0.5,1,0.46653,1
55,2,7,18,0.068,0,1.356,1
56,1,7,75,1,1,0.45508,0
57,2,18,25,0.5,1,0.87135,0
58,2,15,65,0.068,1,6.6128,1
59,2,21,35,0.5,1,1.216,0
60,2,4,18,0.5,0,0.32352,1
61,2,4,75,0.5,0,0.62605,0
62,1,10,75,1,1,0.75494,0
63,1,15,25,0.5,1,0.58537,1
64,2,18,25,0.068,1,0.50597,0
65,2,21,65,0.5,1,2.2053,1
66,2,18,25,0.068,1,0.64503,0
67,1,15,90,0.068,1,0.42777,1
68,1,10,75,0.068,1,1.2166,0
69,1,4,18,0.5,1,2.7274,0
70,1,10,65,0.068,1,1.2171,0
71,1,4,18,1,0,2.385,1
72,2,18,25,1,1,0.29968,0
73,2,10,65,0.068,1,0.9713,1
74,1,21,35,0.068,0,0.39226,0
75,1,4,65,0.5,0,0.45697,1
76,1,7,18,0.068,0,0.50576,1
77,2,15,90,0.5,1,0.83948,1
78,1,18,25,0.5,0,0.30925,0
79,2,21,35,1,1,0.13127,0
80,1,15,65,0.068,0,0.38945,0
81,1,21,35,0.5,0,0.27189,0
82,2,10,65,0.5,0,0.3382,0
83,1,4,18,0.5,0,0.24062,1
84,1,4,75,0.5,0,0.38664,1
85,1,18,25,0.068,0,0.63547,0
86,1,21,65,0.5,1,0.51844,1
87,2,15,25,0.5,0,0.30972,1
88,1,18,25,0.068,1,0.52773,1
89,2,10,75,0.5,1,0.45051,1
90,2,15,90,1,1,0.4158,1
91,1,18,25,1,1,0.35031,1
92,2,4,18,0.068,1,0.54476,0
93,2,4,65,0.068,0,0.18101,0
94,2,7,35,0.5,0,1.9636,1
95,1,10,65,0.068,0,0.36896,1
96,1,15,90,0.5,1,0.71824,1
97,2,18,18,0.068,1,0.46865,0
98,1,21,35,1,0,0.30839,0
99,1,10,65,0.5,0,0.32289,1
100,2,7,75,0.068,0,0.55264,0
101,1,15,25,0.5,0,0.39763,0
102,2,15,25,0.068,0,0.30647,1
103,1,10,75,0.5,0,0.41284,1
104,1,15,90,1,0,2.8315,0
105,1,4,18,0.068,0,0.57824,1
106,2,10,35,0.068,0,0.50396,1
107,2,7,75,0.5,0,0.25057,0
108,1,4,65,0.068,1,0.19492,0
109,2,7,18,0.5,0,1.8876,1
110,1,7,35,0.5,0,0.59737,1
111,1,18,18,0.068,0,0.78292,0
112,1,7,75,0.068,0,0.84138,1
113,2,21,90,0.5,1,0.82184,1
114,1,15,25,0.068,0,0.16951,0
115,2,18,35,1,0,0.94244,1
116,2,18,90,0.068,0,0.42707,0
117,2,21,35,0.068,0,0.62934,1
118,1,10,35,0.068,0,1.8312,1
119,2,4,75,0.5,1,0.27813,1
120,1,7,75,0.5,0,0.25398,1
121,2,4,18,0.068,0,0.57691,1
122,1,7,18,0.5,0,0.093691,1
123,2,7,75,1,1,0.30237,1
124,1,21,90,0.5,0,0.004172,0
125,1,18,35,1,1,0.34355,1
126,1,18,90,0.068,1,1.1905,1
127,2,4,75,1,0,0.0049635,0
128,2,7,18,0.5,0,0.17605,1
129,2,15,25,1,1,0.097087,0
130,1,21,35,0.068,1,0.87739,1
131,1,4,75,0.5,0,0.11741,1
132,1,4,18,0.068,0,0.40403,1
133,1,7,75,1,0,0.60325,1
134,1,4,75,1,0,0.30916,1
135,1,7,18,0.5,0,0.30749,1
136,2,10,65,1,1,0.68793,1
137,2,10,35,0.5,0,0.2965,1
138,1,15,25,1,1,0.19593,1
139,2,15,25,1,1,0.98226,0
140,2,10,90,0.5,1,0.34024,1
141,1,10,65,1,0,0.31618,1
142,1,10,35,0.5,0,0.27616,1
143,1,15,25,1,1,0.0041658,1
144,2,10,65,1,0,0.33763,0
145,2,21,35,0.5,1,0.24826,0
146,2,7,18,1,0,0.0039793,1
147,2,4,75,1,0,0.11183,0
148,2,7,18,0.068,0,0.39172,1
149,1,10,90,0.5,0,0.3733,1
150,1,10,65,1,0,0.28557,1
151,1,21,35,0.5,1,0.28399,1
152,1,7,18,1,0,0.002756,1
153,2,7,18,1,0,0.2497,1
154,2,15,25,0.5,0,1.7168,1
155,1,4,75,1,0,0.33159,1
156,1,7,18,0.068,0,0.43399,1
157,2,7,18,0.068,0,0.45088,1
158,2,15,25,0.068,0,0.31198,1
