Trial Number,TrialTypeN1S2,Nvalue,Svalue,time,KeyPressZsmallMgreater,ReactionTime,Accuracy
1,1,7,65,1,0,3.8228,1
2,2,7,65,1,1,1.605,1
3,2,18,25,0.068,0,1.9702,1
4,1,18,25,0.068,0,2.0144,0
5,1,10,90,1,0,1.0493,1
6,2,10,90,1,1,1.4797,1
7,2,15,75,0.5,0,1.2542,0
8,1,15,75,0.5,0,2.2461,0
9,1,7,65,0.068,1,1.8234,0
10,1,18,75,1,1,1.5316,1
11,2,7,65,0.068,1,1.9384,1
12,1,7,35,1,0,1.1482,1
13,1,4,65,1,0,1.1411,1
14,2,18,75,1,1,0.75773,1
15,2,7,35,1,1,1.2453,0
16,2,4,65,1,1,1.122,1
17,2,4,35,0.5,1,1.1433,0
18,2,21,25,1,0,1.0167,1
19,2,7,65,0.5,1,1.3473,1
20,1,4,35,0.5,0,1.1305,1
21,2,10,18,1,0,1.3738,1
22,2,7,75,0.068,1,1.1907,1
23,1,21,25,1,1,1.1524,1
24,2,7,65,1,0,1.1164,0
25,2,21,18,0.5,1,0.96813,0
26,2,18,25,1,0,1.3116,1
27,2,15,75,0.5,1,1.2244,1
28,1,7,65,0.5,0,1.2006,1
29,1,10,18,1,0,0.99711,1
30,2,4,65,0.5,1,1.5459,1
31,1,7,75,0.068,0,1.5968,1
32,1,7,65,1,1,1.6936,0
33,2,21,35,0.068,0,1.4663,1
34,1,21,18,0.5,1,1.1935,1
35,1,18,25,1,1,1.3368,1
36,2,4,35,1,0,1.1472,1
37,1,15,75,0.5,1,2.0333,1
38,1,4,65,0.5,0,1.1521,1
39,1,21,35,0.068,1,1.3409,1
40,1,4,35,1,0,1.1961,1
41,2,15,75,0.068,1,4.1831,1
42,1,15,75,0.068,1,2.7887,1
43,1,4,90,0.068,0,1.826,1
44,1,15,35,0.5,1,3.1853,1
45,1,10,35,1,0,1.6952,1
46,1,18,18,0.5,1,1.0974,1
47,1,15,18,0.068,0,1.9755,0
48,2,4,90,0.068,1,1.0166,1
49,2,15,35,0.5,0,1.1947,1
50,1,21,90,0.5,1,2.0207,1
