Trial Number,TrialTypeN1S2,Nvalue,Svalue,time,KeyPressZsmallMgreater,ReactionTime,Accuracy,displaytime
1,1,21,75,0.5,1,1.5716,1,1278068.8435
2,1,18,35,0.5,1,0.99863,1,1278073.0245
3,2,21,75,0.5,0,0.47015,0,1278076.5605
4,2,18,35,0.5,0,1.2847,1,1278079.6024
5,2,18,75,0.068,1,1.0406,1,1278082.9905
6,1,18,75,0.068,1,1.8348,1,1278086.1723
7,2,10,35,0.5,0,0.65201,1,1278090.5627
8,1,10,35,0.5,1,0.76196,0,1278093.7487
9,1,18,18,0.068,1,0.97555,1,1278096.6151
10,2,18,18,0.068,0,1.1922,1,1278099.7184
11,2,7,25,0.5,0,0.91698,1,1278103.4182
12,2,15,25,0.068,0,0.70778,1,1278106.4434
13,2,21,90,1,1,0.82857,1,1278110.1386
14,1,7,25,0.5,0,0.88774,1,1278113.4713
15,1,15,25,0.068,0,1.4969,0,1278116.4541
16,2,4,35,0.068,0,0.85009,1,1278120.0286
17,1,21,90,1,1,1.1028,1,1278123.8485
18,1,4,35,0.068,0,1.1917,1,1278127.0315
19,1,4,35,1,0,0.85572,1,1278131.2073
20,1,15,35,0.068,0,1.5447,0,1278134.1344
21,1,18,75,0.068,0,1.1901,0,1278137.7135
22,2,4,35,1,0,0.6402,1,1278141.927
23,1,4,65,0.068,0,0.89827,1,1278144.637
24,1,7,25,0.068,0,0.68035,1,1278147.5989
25,2,15,35,0.068,0,0.99524,1,1278150.3794
26,1,15,90,0.068,0,1.5716,0,1278153.4276
27,2,18,75,0.068,1,0.80397,1,1278157.1067
28,1,7,25,0.5,0,0.56758,1,1278160.4235
29,1,18,18,1,1,1.0404,1,1278164.0467
30,2,4,65,0.068,0,0.71699,0,1278167.2102
31,1,7,25,0.068,0,0.97716,1,1278169.9975
32,2,7,25,0.068,0,0.69671,1,1278173.0944
33,2,15,90,0.068,1,1.189,1,1278175.9223
34,1,4,75,0.5,0,0.56137,1,1278179.5976
35,1,10,65,0.068,0,1.4283,1,1278182.2669
36,2,7,25,0.5,0,0.93739,1,1278186.2136
37,1,18,75,1,1,1.3024,1,1278190.1929
38,1,15,35,0.5,1,0.77822,1,1278193.9809
39,2,18,18,1,1,0.48034,0,1278197.7668
40,1,10,65,1,0,0.79596,1,1278201.2671
41,2,7,25,0.068,0,1.1459,1,1278204.1893
42,1,18,35,1,1,1.5942,1,1278208.3489
43,2,4,75,0.5,0,4.0782,0,1278212.4648
44,2,10,65,0.068,0,1.5324,0,1278218.6422
45,1,10,18,1,0,0.66253,1,1278223.2086
46,2,18,75,1,1,0.43055,1,1278226.8566
47,1,7,25,1,0,1.0876,1,1278230.351
48,2,15,35,0.5,0,0.66681,1,1278233.9644
49,2,10,65,1,1,0.89378,1,1278237.6654
50,2,18,35,1,0,0.88188,1,1278241.5973
51,2,10,18,1,0,0.64261,1,1278245.5405
52,2,7,25,1,0,0.53681,1,1278249.2379
53,2,21,90,1,1,0.5351,1,1278252.8241
54,1,21,90,1,1,0.40833,1,1278256.3268
55,2,15,75,1,1,0.90931,1,1278259.7139
56,2,15,90,0.5,1,0.85454,1,1278263.1201
57,1,15,75,1,0,0.6735,0,1278267.0211
58,2,21,90,0.068,1,0.93217,1,1278269.7474
59,1,15,90,0.5,0,1.2528,0,1278273.2102
60,1,21,90,0.068,1,1.2866,1,1278276.5286
61,1,4,75,0.068,0,1.2445,1,1278279.8667
62,1,10,18,0.068,0,1.4925,1,1278283.1627
63,1,15,75,1,1,1.1545,1,1278287.6284
64,1,4,35,1,0,0.80123,1,1278291.7654
65,1,10,35,0.068,0,0.77002,1,1278294.6691
66,2,4,75,0.068,1,1.7957,1,1278297.571
67,2,10,18,0.068,0,0.69475,1,1278301.4564
68,2,15,75,1,1,0.74884,1,1278305.1708
69,1,18,18,0.5,1,1.4231,1,1278308.4961
70,1,15,25,1,0,1.2535,0,1278312.9052
71,2,4,35,1,0,0.94906,1,1278317.2016
72,2,10,35,0.068,0,0.7591,1,1278320.2235
73,1,7,25,1,0,0.75531,1,1278324.0353
74,1,4,35,0.5,0,1.0118,1,1278327.3474
75,2,18,18,0.5,0,0.89046,1,1278330.9002
76,2,15,25,1,0,0.42033,1,1278334.7709
77,1,10,65,1,0,1.0871,1,1278338.24
78,1,18,75,1,1,0.56437,1,1278342.3473
79,1,15,75,0.068,1,1.0815,1,1278344.9816
80,1,7,25,1,0,0.7454,1,1278349.0537
81,1,4,18,0.068,0,0.60624,1,1278351.8809
82,1,4,65,0.5,0,0.38843,1,1278355.0428
83,1,10,35,0.5,0,0.48826,1,1278357.9187
84,1,10,90,0.068,0,0.5528,1,1278360.4859
85,1,18,75,0.5,1,0.80174,1,1278363.5255
86,2,7,25,1,0,0.48192,1,1278367.3731
87,1,21,65,0.068,1,1.1488,1,1278369.8904
88,1,7,25,0.068,0,1.1178,1,1278373.1533
89,2,4,35,0.5,0,0.28948,1,1278376.8052
90,1,4,35,0.068,0,0.55548,1,1278379.1472
91,2,10,65,1,0,0.66679,0,1278382.6923
92,2,18,75,1,1,0.5792,1,1278386.3561
93,2,15,75,0.068,1,0.55789,1,1278389.0253
94,2,7,25,1,0,0.46515,1,1278392.5659
95,2,4,18,0.068,0,1.3739,1,1278395.1612
96,2,4,65,0.5,0,0.64799,0,1278399.0232
97,2,10,35,0.5,0,1.1702,1,1278402.2365
98,1,18,18,1,1,0.52364,1,1278406.451
99,2,10,90,0.068,
