Trial Number,TrialTypeN1S2,Nvalue,Svalue,time,KeyPressZsmallMgreater,ReactionTime,Accuracy,displaytime
1,1,21,75,0.5,1,10.4901,1,3093895.4902
2,1,18,35,0.5,1,6.1265,1,3093908.5658
3,2,21,75,0.5,1,6.5184,1,3093917.2222
4,2,18,35,0.5,0,7.196,1,3093926.3039
5,2,18,75,0.068,1,4.5184,1,3093935.5977
6,1,18,75,0.068,1,3.7135,1,3093942.2584
7,2,10,35,0.5,0,2.0169,1,3093948.5229
8,1,10,35,0.5,0,0.27707,1,3093953.0628
9,1,18,18,0.068,1,2.8648,1,3093955.4431
10,2,18,18,0.068,0,1.6008,1,3093960.4352
11,2,7,25,0.5,0,3.8969,1,3093964.539
12,2,15,25,0.068,0,4.3851,1,3093970.5395
13,2,21,90,1,1,8.6857,1,3093977.9108
14,1,7,25,0.5,1,5.3836,0,3093989.0923
15,1,15,25,0.068,1,2.8919,1,3093996.56
16,2,4,35,0.068,1,8.7297,0,3094001.531
17,1,21,90,1,0,5.0827,0,3094013.2258
18,1,4,35,0.068,0,4.7186,1,3094020.3818
19,1,4,35,1,1,4.7556,0,3094028.0808
20,1,15,35,0.068,0,2.7831,0,3094034.9008
21,1,18,75,0.068,1,1.6605,1,3094039.7198
22,2,4,35,1,0,0.0011911,1,3094044.4037
23,1,4,65,0.068,0,5.6894,1,3094046.4745
24,1,7,25,0.068,0,3.77,1,3094054.2184
25,2,15,35,0.068,0,2.0915,1,3094060.0808
26,1,15,90,0.068,1,2.1004,1,3094064.232
27,2,18,75,0.068,0,4.7892,0,3094068.4391
28,1,7,25,0.5,0,0.36114,1,3094075.7392
29,1,18,18,1,1,18.4811,1,3094079.1475
30,2,4,65,0.068,0,4.7018,0,3094099.7501
31,1,7,25,0.068,1,2.7211,0,3094106.5159
32,2,7,25,0.068,1,3.9313,0,3094111.353
33,2,15,90,0.068,0,2.4325,0,3094117.4115
34,1,4,75,0.5,0,1.691,1,3094122.3295
35,1,10,65,0.068,1,3.2709,0,3094126.1251
36,2,7,25,0.5,1,4.4027,0,3094131.9132
37,1,18,75,1,1,3.3263,1,3094139.3576
38,1,15,35,0.5,1,0.34977,1,3094145.1661
39,2,18,18,1,0,0.2325,1,3094148.5241
40,1,10,65,1,1,1.8985,0,3094151.7694
41,2,7,25,0.068,0,2.3493,1,3094155.7906
42,1,18,35,1,1,1.8586,1,3094161.1465
43,2,4,75,0.5,0,1.7094,0,3094165.5265
44,2,10,65,0.068,0,2.7733,0,3094169.3347
45,1,10,18,1,1,2.5017,0,3094175.1428
46,2,18,75,1,0,2.8853,0,3094180.6314
47,1,7,25,1,1,1.3517,0,3094186.5802
48,2,15,35,0.5,1,1.8994,0,3094190.4566
49,2,10,65,1,0,1.2318,0,3094195.3881
50,2,18,35,1,1,2.6443,0,3094199.6566
51,2,10,18,1,1,1.9044,0,3094205.3645
52,2,7,25,1,1,1.1312,0,3094210.3297
53,2,21,90,1,0,0.67181,0,3094214.5086
54,1,21,90,1,0,0.61745,0,3094218.1465
55,2,15,75,1,0,0.88565,0,3094221.743
56,2,15,90,0.5,1,0.51805,1,3094225.1268
57,1,15,75,1,1,11.704,1,3094228.6927
58,2,21,90,0.068,0,2.5582,0,3094242.4457
59,1,15,90,0.5,1,2.8377,1,3094247.5353
