Trial Number,TrialTypeN1S2,Nvalue,Svalue,time,KeyPressZsmallMgreater,ReactionTime,Accuracy,displaytime
1,1,21,75,0.5,1,2.8648,1,22751.5506
2,1,18,35,0.5,1,1.3896,1,22756.9783
3,2,21,75,0.5,1,2.1818,1,22760.8821
4,2,18,35,0.5,0,1.2083,1,22765.6231
5,2,18,75,0.068,1,1.4921,1,22768.9233
6,1,18,75,0.068,1,2.5375,1,22772.5424
7,2,10,35,0.5,0,1.0794,1,22777.6168
8,1,10,35,0.5,0,1.4861,1,22781.2182
9,1,18,18,0.068,1,1.6549,1,22784.7694
10,2,18,18,0.068,0,1.1982,1,22788.53
11,2,7,25,0.5,0,1.2785,1,22792.2259
12,2,15,25,0.068,0,0.93214,1,22795.6039
13,2,21,90,1,1,0.71965,1,22799.5125
14,1,7,25,0.5,0,1.2576,1,22802.7266
15,1,15,25,0.068,1,1.1164,1,22806.0676
16,2,4,35,0.068,0,1.0542,1,22809.258
17,1,21,90,1,1,1.671,1,22813.2732
18,1,4,35,0.068,0,0.81808,1,22817.0133
19,1,4,35,1,0,0.6052,1,22820.8111
20,1,15,35,0.068,1,1.7204,1,22823.4798
21,1,18,75,0.068,1,2.1874,1,22827.228
22,2,4,35,1,0,0.98841,1,22832.4349
23,1,4,65,0.068,0,1.1045,1,22835.4869
24,1,7,25,0.068,0,1.243,1,22838.6451
25,2,15,35,0.068,0,0.98865,1,22841.9787
26,1,15,90,0.068,0,1.1945,0,22845.0129
27,2,18,75,0.068,1,1.2244,1,22848.3116
28,1,7,25,0.5,0,0.8943,1,22852.0418
29,1,18,18,1,1,1.1027,1,22855.9772
30,2,4,65,0.068,0,0.96094,0,22859.2071
31,1,7,25,0.068,0,2.9552,1,22862.2287
32,2,7,25,0.068,0,0.9671,1,22867.2971
33,2,15,90,0.068,1,0.98758,1,22870.3886
34,1,4,75,0.5,0,1.0168,1,22873.855
35,1,10,65,0.068,0,1.0273,1,22876.9731
36,2,7,25,0.5,0,1.0079,1,22880.5122
37,1,18,75,1,1,1.4053,1,22884.5547
38,1,15,35,0.5,1,0.82485,1,22888.4392
39,2,18,18,1,0,0.62627,1,22892.237
40,1,10,65,1,0,0.92474,1,22895.8758
41,2,7,25,0.068,0,1.5036,1,22898.9206
42,1,18,35,1,0,2.0085,0,22903.4308
43,2,4,75,0.5,1,2.0357,1,22907.9556
44,2,10,65,0.068,1,1.4589,1,22912.085
45,1,10,18,1,1,1.9654,0,22916.5708
46,2,18,75,1,1,0.85987,1,22921.5162
47,1,7,25,1,0,0.54631,1,22925.4296
48,2,15,35,0.5,0,1.3787,1,22928.4933
49,2,10,65,1,1,1.5886,1,22932.8997
50,2,18,35,1,0,0.93602,1,22937.5201
51,2,10,18,1,0,0.94326,1,22941.512
52,2,7,25,1,0,0.88435,1,22945.5078
53,2,21,90,1,1,0.66222,1,22949.4339
54,1,21,90,1,1,1.0705,1,22953.0575
55,2,15,75,1,1,1.3068,1,22957.1006
56,2,15,90,0.5,1,0.89262,1,22960.8987
57,1,15,75,1,1,2.8541,1,22964.8332
58,2,21,90,0.068,1,0.90648,1,22969.7336
59,1,15,90,0.5,0,5.8354,0,22973.1649
60,1,21,90,0.068,1,1.1227,1,22981.0614
61,1,4,75,0.068,0,0.93072,1,22984.2293
62,1,10,18,0.068,0,0.82715,1,22987.2041
63,1,15,75,1,1,1.5614,1,22990.9986
64,1,4,35,1,0,0.75258,1,22995.5356
65,1,10,35,0.068,0,0.89689,1,22998.3831
66,2,4,75,0.068,0,2.936,0,23001.4073
67,2,10,18,0.068,0,1.5011,1,23006.4266
68,2,15,75,1,1,0.70702,1,23010.9412
69,1,18,18,0.5,1,0.79139,1,23014.1919
70,1,15,25,1,1,0.81305,1,23017.9622
71,2,4,35,1,0,0.66017,1,23021.8121
72,2,10,35,0.068,0,1.429,1,23024.539
73,1,7,25,1,0,0.71512,1,23029.0129
74,1,4,35,0.5,0,0.87719,1,23032.2821
75,2,18,18,0.5,0,1.0025,1,23035.6693
76,2,15,25,1,0,0.96405,1,23039.644
77,1,10,65,1,0,1.0726,1,23043.6475
78,1,18,75,1,1,0.9382,1,23047.7331
79,1,15,75,0.068,1,1.3819,1,23050.7373
80,1,7,25,1,0,0.96072,1,23055.1026
81,1,4,18,0.068,0,3.0056,1,23058.1385
82,1,4,65,0.5,0,1.3152,1,23063.6927
83,1,10,35,0.5,0,1.0561,1,23067.4877
84,1,10,90,0.068,0,0.9841,1,23070.6152
85,1,18,75,0.5,1,1.1662,1,23074.0814
86,2,7,25,1,0,0.66431,1,23078.2878
87,1,21,65,0.068,1,1.2987,1,23080.9805
88,1,7,25,0.068,0,1.18,1,23084.3873
89,2,4,35,0.5,0,0.76585,1,23088.0982
90,1,4,35,0.068,0,0.76229,1,23090.9098
91,2,10,65,1,1,0.65401,1,23094.6573
92,2,18,75,1,1,0.52261,1,23098.3014
93,2,15,75,0.068,1,0.69982,1,23100.9077
94,2,7,25,1,0,0.73546,1,23104.5837
95,2,4,18,0.068,0,0.58741,1,23107.4439
96,2,4,65,0.5,0,1.0706,0,23110.5129
97,2,10,35,0.5,0,1.1203,1,23114.1435
98,1,18,18,1,1,0.66457,1,23118.2873
99,2,10,90,0.068,0,3.9181,0,23121.034
100,2,18,75,0.5,1,0.86152,1,23127.4977
101,1,10,35,0.068,0,0.88914,1,23130.4469
102,1,21,65,1,1,0.91904,1,23134.369
103,2,21,65,0.068,1,1.1366,1,23137.3998
104,2,7,25,0.068,0,6.2245,1,23140.6473
105,1,10,35,1,0,2.0066,1,23149.8405
106,1,15,35,1,1,0.43098,1,23154.8732
107,1,18,18,0.5,1,0.74712,1,23157.8281
108,2,4,35,0.068,0,0.94414,1,23160.6958
109,1,4,65,1,0,1.6745,1,23164.6534
110,2,18,18,1,0,1.0986,1,23169.3412
111,1,10,90,0.5,0,0.69399,1,23172.9692
112,1,10,65,0.5,0,2.0611,1,23176.147
113,2,10,35,0.068,0,1.0285,1,23180.3306
114,1,21,90,1,1,1.2678,1,23184.3322
115,1,15,75,0.5,1,0.85773,1,23188.1582
116,1,21,90,0.068,0,2.3853,0,23191.0706
117,2,21,65,1,1,0.8558,1,23196.464
118,2,10,35,1,0,1.5461,1,23200.3257
119,2,15,35,1,0,1.7251,1,23204.931
120,2,18,18,0.5,0,0.56396,1,23209.1793
121,2,4,65,1,0,0.66394,0,23212.792
122,1,4,65,0.068,0,0.89946,1,23215.5317
123,1,7,90,1,0,0.69925,1,23219.484
124,1,7,25,0.5,0,0.61919,1,23222.7407
125,2,10,90,0.5,1,0.66481,1,23225.839
126,1,21,65,0.5,1,1.0656,1,23228.9744
127,1,10,65,0.068,0,0.75865,1,23232.1292
128,1,7,90,0.5,0,0.72917,1,23235.43
129,1,7,25,0.5,0,0.48192,1,23238.6461
130,1,18,35,0.068,0,2.3693,0,23241.1739
131,1,4,65,1,0,0.47554,1,23246.5236
132,2,10,65,0.5,1,0.54774,1,23249.4682
133,1,7,25,0.5,0,0.89216,1,23252.5319
134,2,21,90,1,1,0.88854,1,23256.4634
135,2,15,75,0.5,1,0.99541,1,23259.9005
136,1,21,75,0.068,1,1.3483,1,23262.9791
137,2,21,90,0.068,1,0.89081,1,23266.4043
138,1,21,75,1,1,1.3518,1,23270.264
139,2,4,65,0.068,0,1.0311,0,23273.6888
140,1,10,90,1,0,1.2162,1,23277.7588
141,2,7,90,1,1,0.94124,1,23282.0266
142,2,7,25,0.5,0,1.0431,1,23285.5
143,2,21,65,0.5,1,1.1231,1,23289.084
144,2,10,65,0.068,1,1.4653,1,23292.2787
145,2,7,90,0.5,1,0.92315,1,23296.2608
146,1,7,25,1,0,0.4593,1,23300.2286
147,1,15,75,0.068,0,1.2958,0,23302.8081
148,1,18,18,1,1,1.6658,1,23307.0862
149,2,7,25,0.5,0,0.76754,1,23311.2243
150,2,18,35,0.068,0,1.2702,1,23314.1128
151,1,18,75,0.5,1,1.1506,1,23317.9212
152,1,15,25,0.5,1,1.7248,1,23321.5631
153,1,4,18,0.5,0,2.2095,1,23325.8224
154,1,21,90,0.5,1,0.90102,1,23330.5786
155,1,10,65,0.5,0,0.83569,1,23333.9795
156,2,4,65,1,0,1.1245,0,23337.8665
157,2,7,25,0.5,0,0.93685,1,23341.519
158,2,21,75,0.068,1,1.1145,1,23344.5166
159,1,21,65,1,1,1.0962,1,23348.6549
160,2,21,75,1,1,0.78153,1,23352.7465
161,1,15,75,0.5,1,0.91129,1,23356.0244
162,2,10,90,1,1,1.1235,1,23359.9716
163,2,7,25,1,0,0.83564,1,23364.1074
164,1,21,90,0.5,1,0.80365,1,23367.4443
165,1,21,90,0.5,1,0.95313,1,23370.7339
166,2,15,75,0.068,1,1.1305,1,23373.8054
167,1,15,18,0.5,1,2.2809,1,23377.4308
168,1,7,25,0.068,0,0.77768,1,23381.8302
169,2,18,18,1,0,1.1039,1,23385.6472
170,1,4,35,0.5,0,0.78356,1,23389.2482
