Trial Number,TrialTypeN1S2,Nvalue,Svalue,time,KeyPressZsmallMgreater,ReactionTime,Accuracy
1,2,10,35,1,0,3.7523,1
2,1,10,35,1,0,1.548,1
3,1,21,25,0.068,1,2.4717,1
4,2,21,25,0.068,0,1.7936,1
5,1,18,75,0.068,0,5.3159,0
6,1,15,65,0.5,1,6.1757,1
7,2,18,75,0.068,1,1.0642,1
8,2,15,65,0.5,1,0.45588,1
9,1,15,25,0.068,1,2.813,1
10,2,15,25,0.068,0,0.90867,1
11,2,4,18,0.068,0,1.2715,1
12,1,4,18,0.068,0,1.9195,1
13,1,21,35,1,1,1.3154,1
14,2,21,35,1,0,1.2967,1
15,1,4,25,0.5,0,1.2665,1
16,2,4,25,0.5,0,1.0632,1
17,1,7,65,0.5,0,1.5851,1
18,1,18,35,0.5,0,3.9017,0
19,1,21,18,1,1,1.3949,1
20,2,7,65,0.5,1,2.0508,1
21,1,4,25,0.068,0,1.0925,1
22,2,18,35,0.5,0,1.574,1
23,1,7,90,1,0,1.4227,1
24,1,21,75,0.068,0,1.7746,0
25,2,21,18,1,0,0.95879,1
26,1,10,90,0.068,0,1.214,1
27,2,4,25,0.068,0,1.2425,1
28,2,7,90,1,0,1.3797,0
29,1,7,90,1,0,1.0277,1
30,1,21,25,0.5,1,1.7064,1
31,1,7,90,0.068,0,2.1581,1
32,2,21,75,0.068,1,0.9603,1
33,2,10,90,0.068,1,0.82183,1
34,1,15,25,1,0,2.3238,0
35,2,7,90,1,1,1.1108,1
36,2,21,25,0.5,0,0.92421,1
37,1,10,35,1,0,1.2898,1
38,2,7,90,0.068,1,1.1913,1
39,2,15,25,1,0,0.81137,1
40,1,15,18,0.5,0,1.5706,0
41,2,10,35,1,0,1.1242,1
42,2,15,18,0.5,0,0.78284,1
43,2,7,25,0.068,0,0.85299,1
44,2,4,18,0.5,0,1.0179,1
45,1,7,25,0.068,0,1.462,1
46,2,10,65,0.5,0,0.92158,0
47,2,10,65,1,0,0.4362,0
48,2,10,65,0.068,0,1.1712,0
49,2,15,90,0.068,1,1.0486,1
50,2,21,90,1,1,0.49215,1
51,2,7,65,0.068,0,1.8301,0
52,2,10,90,0.5,1,0.74415,1
53,2,21,18,0.068,0,0.58314,1
54,1,4,18,0.5,0,0.48984,1
55,1,10,65,0.5,0,1.0225,1
56,2,15,35,0.068,0,1.7625,1
57,2,10,35,0.5,0,0.95249,1
58,1,10,65,1,0,3.6442,1
59,1,10,65,0.068,0,1.706,1
60,2,15,90,1,1,0.3825,1
61,2,21,90,0.5,1,0.6323,1
62,2,7,25,0.5,0,0.70552,1
63,1,15,90,0.068,1,0.56371,1
64,2,21,18,1,0,0.49867,1
65,1,21,90,1,1,1.1615,1
66,1,7,65,0.068,0,0.95191,1
67,1,10,90,0.5,0,1.0251,1
68,1,21,18,0.068,1,1.7061,1
69,1,15,35,0.068,0,1.1941,0
70,1,10,35,0.5,0,2.7952,1
71,1,15,90,1,1,0.67116,1
72,1,21,90,0.5,1,0.59674,1
73,1,7,25,0.5,0,0.44179,1
74,1,21,18,1,1,1.2553,1
75,1,21,25,1,1,0.86163,1
76,1,7,90,0.5,0,0.4805,1
77,1,18,35,0.068,1,2.1193,1
78,2,21,25,1,0,0.88923,1
79,1,4,75,0.068,0,0.99603,1
80,2,7,90,0.5,1,1.1146,1
81,2,18,35,0.068,0,1.724,1
82,2,4,75,0.068,0,1.5809,0
83,2,15,25,0.5,0,0.40244,1
84,1,15,25,0.5,1,0.89136,1
85,2,18,18,1,0,0.67945,1
86,2,4,25,0.5,0,0.41909,1
87,2,18,75,0.068,0,1.5655,0
88,1,18,18,1,0,1.1075,0
89,1,4,25,0.5,0,0.46689,1
90,1,18,75,0.068,0,1.1506,0
91,1,7,65,0.068,0,0.52895,1
92,2,7,65,0.068,1,1.0027,1
93,1,15,90,0.5,0,0.68154,0
94,1,15,65,1,0,0.743,0
95,1,21,18,0.5,0,0.49215,0
96,1,7,90,0.068,0,0.60476,1
97,1,15,35,0.5,0,4.1276,0
98,1,21,75,1,1,0.9391,1
99,1,21,35,0.068,1,0.93407,1
100,2,15,90,0.5,1,0.77246,1
101,1,7,65,1,0,0.54124,1
102,1,15,18,0.068,1,0.98672,1
103,1,10,25,1,0,0.36541,1
104,2,15,65,1,1,0.51457,1
105,2,21,18,0.5,0,0.96889,1
106,1,4,75,0.068,1,2.1208,0
107,2,7,90,0.068,1,0.69757,1
108,1,21,90,0.068,0,1.0982,0
109,1,18,75,0.5,1,0.76581,1
110,1,4,25,1,0,0.57338,1
111,2,15,35,0.5,1,0.96602,0
112,2,21,75,1,0,0.99683,0
113,1,18,75,1,0,0.71015,0
114,2,21,35,0.068,0,0.98883,1
115,1,15,90,1,1,0.78281,1
116,2,7,65,1,0,0.97778,0
117,1,4,75,0.5,0,0.8801,1
118,2,15,18,0.068,0,0.94292,1
119,1,18,18,0.5,0,1.1437,0
120,2,10,25,1,0,1.6366,1
121,1,15,90,0.068,0,0.004934,0
122,1,10,35,0.068,0,13.1748,1
123,2,4,75,0.068,1,0.82517,1
124,1,7,65,0.068,0,1.2507,1
125,2,21,90,0.068,1,0.5474,1
126,1,4,18,1,0,0.50863,1
127,2,18,75,0.5,1,0.044676,1
128,2,4,25,1,0,1.0811,1
129,2,18,75,1,0,8.1078,0
130,2,15,90,1,1,0.84386,1
131,1,4,25,0.068,0,0.74601,1
132,2,4,75,0.5,1,0.80681,1
133,1,18,35,0.5,0,0.47934,0
134,2,18,18,0.5,0,0.87312,1
135,2,15,90,0.068,1,0.8957,1
136,1,7,90,0.5,0,0.78281,1
137,1,10,65,0.068,1,0.78232,0
138,2,10,35,0.068,0,3.6952,1
139,2,7,65,0.068,1,1.0062,1
140,1,18,75,0.068,1,2.3288,1
141,2,4,18,1,0,0.88257,1
142,2,4,25,0.068,0,1.464,1
143,2,18,35,0.5,0,2.8485,1
144,2,7,90,0.5,1,1.7607,1
145,2,10,65,0.068,1,1.0324,1
146,2,18,75,0.068,1,0.53082,1
147,2,21,18,0.068,0,0.68497,1
148,2,4,75,1,1,0.80023,1
149,2,15,65,0.068,1,1.0531,1
150,2,7,65,0.5,1,1.1889,1
151,2,10,25,0.5,0,0.65269,1
152,2,10,65,0.5,0,2.9066,0
153,1,21,18,0.068,1,0.98133,1
154,1,4,75,1,0,1.1381,1
155,1,15,65,0.068,1,0.8667,1
156,2,7,65,1,0,0.78275,0
157,2,21,18,0.5,0,1.559,1
158,2,4,25,1,0,0.95861,1
159,2,10,35,0.5,0,1.0512,1
160,1,7,65,0.5,0,1.1295,1
161,2,10,65,1,1,0.56032,1
162,2,18,35,1,0,0.69049,1
163,2,4,18,0.068,0,1.2118,1
164,2,18,75,1,1,0.3692,1
165,1,10,25,0.5,0,0.81134,1
166,2,18,35,1,0,0.88478,1
167,1,10,65,0.5,1,0.38535,0
168,1,7,65,1,0,0.2847,1
169,1,21,18,0.5,0,0.43868,0
170,2,4,75,0.5,1,0.8152,1
171,2,18,18,0.068,0,0.97547,1
172,1,4,25,1,0,1.4085,1
173,2,15,90,0.5,1,0.55851,1
174,2,21,35,0.5,0,0.82194,1
175,2,18,75,0.5,1,1.3211,1
176,2,18,35,0.068,1,7.7606,0
177,2,10,25,0.068,0,4.178,1
178,2,15,18,1,0,0.0021174,1
179,1,10,35,0.5,0,0.54816,1
180,1,10,65,1,1,1.5932,0
181,1,18,35,1,0,0.59774,0
182,1,4,18,0.068,0,1.0978,1
183,1,18,75,1,1,2.3819,1
184,1,18,35,1,1,1.3398,1
185,2,10,90,1,1,0.98025,1
186,2,4,18,1,0,0.48429,1
187,1,4,75,0.5,1,5.1933,0
188,1,18,18,0.068,0,0.78587,0
189,2,10,35,0.068,0,2.0873,1
190,1,15,90,0.5,1,0.64892,1
191,1,21,35,0.5,0,0.57087,0
192,1,18,75,0.5,1,3.3568,1
193,2,7,65,1,1,1.3428,1
194,1,18,35,0.068,0,1.6891,0
195,2,15,35,1,0,1.1452,1
196,1,10,25,0.068,1,1.5261,0
197,1,15,18,1,1,3.0596,1
198,2,18,75,1,0,5.205,0
199,2,7,65,0.5,1,2.1552,1
200,1,10,90,1,0,1.3198,1
201,1,4,18,1,0,1.3654,1
202,2,4,18,0.5,0,1.367,1
203,1,10,35,0.068,0,8.3631,1
204,1,7,65,1,0,0.74852,1
205,1,15,35,1,1,0.92144,1
206,2,7,25,1,0,2.1256,1
207,2,4,75,1,1,2.1021,1
208,1,18,75,1,0,1.8346,0
209,1,7,65,0.5,1,11.6154,0
210,1,4,18,0.5,0,0.28877,1
211,2,21,75,0.5,1,0.0039466,1
212,1,7,25,1,1,0.0020585,0
213,1,4,75,1,0,0.096493,1
214,1,21,75,0.5,1,0.17613,1
215,1,18,75,0.5,0,0.0020429,0
216,2,18,75,0.5,1,0.017525,1
