Trial Number,TrialTypeN1S2,Nvalue,Svalue,time,KeyPressZsmallMgreater,ReactionTime,Accuracy
1,1,18,35,1,1,1.834,1
2,1,15,90,0.068,0,2.0413,0
3,2,18,35,1,0,1.8806,1
4,1,15,25,0.068,1,1.6876,1
5,1,4,65,0.5,0,2.3652,1
6,1,4,90,0.068,0,1.2727,1
7,1,7,65,0.5,1,0.90169,0
8,2,15,90,0.068,1,0.82089,1
9,2,15,25,0.068,0,0.81889,1
10,2,4,65,0.5,1,0.64867,1
11,1,15,90,1,1,0.87597,1
12,1,15,75,0.068,0,1.6388,0
13,2,4,90,0.068,1,1.2792,1
14,1,21,65,1,1,0.94598,1
15,2,7,65,0.5,0,1.2814,0
16,1,18,90,0.068,1,0.88565,1
17,2,15,90,1,1,1.9819,1
18,2,15,75,0.068,1,1.4534,1
19,2,21,65,1,0,1.1306,0
20,2,18,90,0.068,1,1.5746,1
21,2,7,65,1,1,0.67116,1
22,2,10,35,1,0,0.53325,1
23,1,7,65,1,1,1.148,0
24,2,10,75,0.5,1,0.82947,1
25,2,15,90,0.068,1,1.016,1
26,2,15,25,0.5,0,0.75063,1
27,1,10,35,1,1,3.6094,0
28,1,10,75,0.5,0,2.1911,1
29,2,21,18,1,0,0.80086,1
30,1,15,90,0.068,0,1.907,0
31,1,15,25,0.5,1,1.0505,1
32,2,10,35,0.068,1,1.3774,0
33,1,21,18,1,0,0.61147,0
34,2,18,75,0.5,1,0.51651,1
35,1,10,35,0.068,0,0.95448,1
36,1,18,75,0.5,1,0.5419,1
37,1,15,90,0.5,1,0.29578,1
38,2,15,90,0.5,1,0.36103,1
39,1,7,18,1,0,0.51078,1
40,1,15,75,0.068,1,1.2404,1
41,2,7,18,1,0,0.82634,1
42,2,15,75,0.068,1,0.90188,1
43,2,10,90,0.5,1,1.2997,1
44,2,21,25,1,0,1.0759,1
45,1,10,90,0.5,1,3.1257,0
46,1,21,25,1,1,1.4208,1
47,1,18,25,0.5,1,1.8002,1
48,1,10,75,1,0,1.4011,1
49,2,18,25,0.5,0,1.3847,1
50,2,10,75,1,1,2.2883,1
51,2,4,35,1,0,1.0172,1
52,2,15,75,0.5,1,1.0649,1
53,2,21,18,0.5,0,0.84262,1
54,2,21,65,0.5,1,0.60524,1
55,2,18,90,1,1,1.5619,1
56,2,4,18,1,0,0.8682,1
57,1,4,35,1,0,1.6308,1
58,2,15,75,0.5,1,0.7979,1
59,2,10,35,0.5,0,0.83015,1
60,2,21,25,0.068,1,1.7023,0
61,2,7,90,1,1,0.76579,1
62,2,15,75,0.5,1,0.95538,1
63,2,4,65,0.5,0,1.1306,0
64,2,21,25,0.068,0,1.8051,1
65,1,15,75,0.5,1,0.98111,1
66,1,21,18,0.5,1,0.54371,1
67,2,18,18,0.5,0,0.78596,1
68,2,7,65,1,1,1.3839,1
69,1,21,65,0.5,1,0.73212,1
70,1,18,90,1,1,0.97993,1
71,2,21,18,0.5,0,0.14711,1
72,2,7,90,0.068,1,1.0626,1
73,1,4,18,1,0,0.71676,1
74,2,4,90,1,1,1.8236,1
75,2,7,18,0.068,0,1.3307,1
76,1,15,75,0.5,1,1.4527,1
77,1,10,35,0.5,1,2.1195,0
78,1,21,25,0.068,1,1.9837,1
79,1,7,90,1,0,3.4173,1
80,1,15,75,0.5,1,2.0546,1
81,2,10,65,0.5,0,3.4568,0
82,1,4,65,0.5,0,1.3382,1
83,1,21,25,0.068,1,48.4961,1
84,1,18,18,0.5,1,1.1178,1
85,1,7,65,1,0,1.3083,1
86,1,21,18,0.5,1,1.2953,1
87,2,18,90,0.5,1,2.41,1
88,1,7,90,0.068,1,1.1278,0
89,2,21,25,1,0,1.3116,1
90,2,18,18,0.068,0,1.3692,1
